;ENSCAFT00000004031_90_90;ENST00000308924_90_90;ENST00000450554_90_90;ENST00000587196_90_90;ENST00000590551_90_90;ENST00000592874_90_90;ENSMUST00000005041_90_90;ENSMUST00000165399_90_90;ENSMUST00000207097_90_90;ENSMUST00000207498_90_90;ENSMUST00000209099_90_90
ENSCAFT00000004031_90_90;1.0;0.868;0.866;0.105;0.373;0.114;0.439;0.373;0.211;0.11;0.453
ENST00000308924_90_90;0.868;1.0;0.951;0.123;0.391;0.136;0.477;0.391;0.168;0.132;0.521
ENST00000450554_90_90;0.866;0.951;1.0;0.134;0.401;0.141;0.49;0.401;0.18;0.137;0.477
ENST00000587196_90_90;0.105;0.123;0.134;1.0;0.0;0.0;0.0;0.0;0.097;0.0;0.0
ENST00000590551_90_90;0.373;0.391;0.401;0.0;1.0;0.0;0.493;1.0;0.0;0.0;0.46
ENST00000592874_90_90;0.114;0.136;0.141;0.0;0.0;1.0;0.202;0.0;0.0;0.786;0.181
ENSMUST00000005041_90_90;0.439;0.477;0.49;0.0;0.493;0.202;1.0;0.493;0.087;0.267;0.905
ENSMUST00000165399_90_90;0.373;0.391;0.401;0.0;1.0;0.0;0.493;1.0;0.0;0.0;0.46
ENSMUST00000207097_90_90;0.211;0.168;0.18;0.097;0.0;0.0;0.087;0.0;1.0;0.0;0.084
ENSMUST00000207498_90_90;0.11;0.132;0.137;0.0;0.0;0.786;0.267;0.0;0.0;1.0;0.236
ENSMUST00000209099_90_90;0.453;0.521;0.477;0.0;0.46;0.181;0.905;0.46;0.084;0.236;1.0
