;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.879;0.873;0.981;0.997;0.385;0.111;0.997;0.438;0.155;0.528;0.881;0.854;0.568;0.848;0.456;0.857;0.881;0.848;0.568;0.027;0.018;0.209;0.145;0.0;0.14;0.848;0.84;0.878;0.848;0.379;0.379;0.998;0.945;0.961;0.103;0.21;0.982;0.998;0.849;0.858;0.885;0.845;0.885;0.882;0.878;0.858;0.843;0.873;0.836;0.07;0.022;0.106;0.873;0.843;0.106
ENSCAFT00000019817_90_90;0.879;1.0;0.84;0.862;0.876;0.316;0.115;0.876;0.345;0.162;0.451;0.848;0.828;0.596;0.818;0.482;0.826;0.848;0.818;0.596;0.03;0.02;0.221;0.152;0.0;0.148;0.955;0.947;0.988;0.955;0.414;0.414;0.878;0.857;0.849;0.086;0.221;0.864;0.878;0.818;0.827;0.847;0.82;0.847;0.849;0.845;0.827;0.954;0.987;0.946;0.082;0.029;0.121;0.987;0.954;0.121
ENSCAFT00000022132_90_90;0.873;0.84;1.0;0.864;0.87;0.334;0.103;0.87;0.369;0.145;0.462;0.986;0.935;0.549;0.93;0.438;0.918;0.986;0.93;0.549;0.048;0.02;0.202;0.181;0.0;0.136;0.81;0.803;0.839;0.81;0.361;0.361;0.873;0.845;0.852;0.084;0.197;0.867;0.873;0.931;0.919;0.971;0.948;0.971;0.988;0.984;0.919;0.806;0.834;0.799;0.065;0.02;0.1;0.834;0.806;0.1
ENST00000257414_90_90;0.981;0.862;0.864;1.0;0.984;0.377;0.109;0.984;0.432;0.152;0.52;0.872;0.848;0.558;0.835;0.449;0.844;0.872;0.835;0.558;0.03;0.018;0.206;0.145;0.0;0.138;0.834;0.824;0.861;0.834;0.373;0.373;0.98;0.93;0.943;0.1;0.207;0.997;0.98;0.836;0.845;0.869;0.84;0.869;0.873;0.871;0.845;0.829;0.857;0.82;0.069;0.021;0.104;0.857;0.829;0.104
ENST00000343348_90_90;0.997;0.876;0.87;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.878;0.854;0.567;0.848;0.456;0.857;0.878;0.848;0.567;0.027;0.018;0.209;0.143;0.0;0.14;0.847;0.837;0.875;0.847;0.379;0.379;0.996;0.946;0.958;0.102;0.21;0.98;0.996;0.849;0.858;0.883;0.845;0.883;0.879;0.877;0.858;0.842;0.87;0.833;0.07;0.022;0.106;0.87;0.842;0.106
ENST00000503865_90_90;0.385;0.316;0.334;0.377;0.383;1.0;0.0;0.383;0.853;0.0;0.718;0.338;0.354;0.016;0.356;0.0;0.36;0.338;0.356;0.016;0.0;0.0;0.0;0.165;0.0;0.0;0.324;0.328;0.315;0.324;0.075;0.075;0.385;0.404;0.394;0.003;0.0;0.378;0.385;0.356;0.36;0.343;0.349;0.343;0.338;0.337;0.36;0.32;0.312;0.324;0.0;0.0;0.0;0.312;0.32;0.0
ENST00000509665_90_90;0.111;0.115;0.103;0.109;0.111;0.0;1.0;0.111;0.0;0.714;0.0;0.104;0.11;0.187;0.111;0.234;0.112;0.104;0.111;0.187;0.0;0.162;0.506;0.0;0.0;0.747;0.119;0.12;0.115;0.119;0.205;0.205;0.111;0.117;0.113;0.0;0.527;0.109;0.111;0.111;0.112;0.106;0.109;0.106;0.104;0.105;0.112;0.118;0.115;0.119;0.599;0.184;0.869;0.115;0.118;0.869
ENST00000510263_90_90;0.997;0.876;0.87;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.878;0.854;0.567;0.848;0.456;0.857;0.878;0.848;0.567;0.027;0.018;0.209;0.143;0.0;0.14;0.847;0.837;0.875;0.847;0.379;0.379;0.996;0.946;0.958;0.102;0.21;0.98;0.996;0.849;0.858;0.883;0.845;0.883;0.879;0.877;0.858;0.842;0.87;0.833;0.07;0.022;0.106;0.87;0.842;0.106
ENST00000513137_90_90;0.438;0.345;0.369;0.432;0.439;0.853;0.0;0.439;1.0;0.0;0.661;0.373;0.338;0.027;0.34;0.0;0.344;0.373;0.34;0.027;0.0;0.0;0.0;0.242;0.0;0.0;0.316;0.358;0.344;0.316;0.072;0.071;0.437;0.385;0.448;0.104;0.0;0.43;0.437;0.34;0.344;0.379;0.335;0.379;0.373;0.371;0.344;0.312;0.341;0.354;0.0;0.0;0.0;0.341;0.312;0.0
ENST00000515009_90_90;0.155;0.162;0.145;0.152;0.155;0.0;0.714;0.155;0.0;1.0;0.0;0.147;0.155;0.263;0.156;0.33;0.158;0.147;0.156;0.263;0.0;0.117;0.712;0.0;0.0;0.891;0.168;0.169;0.162;0.168;0.289;0.289;0.155;0.164;0.159;0.0;0.738;0.152;0.155;0.156;0.158;0.149;0.153;0.149;0.147;0.147;0.158;0.167;0.162;0.169;0.435;0.134;0.64;0.162;0.167;0.64
