;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.857;0.742;0.258;0.742;0.667;0.767;0.207;0.071;0.214;0.241;0.75;0.233;0.097;0.69;0.793;0.767;0.296;0.25
ENSCAFT00000047054_90_90;0.857;1.0;0.677;0.156;0.677;0.6;0.7;0.269;0.077;0.231;0.308;0.88;0.167;0.103;0.679;0.786;0.759;0.32;0.32
ENST00000265459_90_90;0.742;0.677;1.0;0.258;1.0;0.852;0.963;0.296;0.071;0.259;0.241;0.75;0.233;0.097;0.75;0.857;0.893;0.25;0.25
ENST00000301894_90_90;0.258;0.156;0.258;1.0;0.258;0.25;0.267;0.0;0.25;0.0;0.0;0.172;0.833;0.462;0.214;0.233;0.226;0.0;0.0
ENST00000377551_90_90;0.742;0.677;1.0;0.258;1.0;0.852;0.963;0.296;0.071;0.259;0.241;0.75;0.233;0.097;0.75;0.857;0.893;0.25;0.25
ENST00000377559_90_90;0.667;0.6;0.852;0.25;0.852;1.0;0.885;0.292;0.083;0.25;0.231;0.667;0.222;0.111;0.875;0.778;0.75;0.24;0.24
ENST00000409571_90_90;0.767;0.7;0.963;0.267;0.963;0.885;1.0;0.308;0.074;0.269;0.25;0.778;0.241;0.1;0.778;0.889;0.857;0.259;0.259
ENST00000417749_90_90;0.207;0.269;0.296;0.0;0.296;0.292;0.308;1.0;0.0;0.667;0.545;0.304;0.0;0.0;0.25;0.269;0.259;0.455;0.778
ENST00000423049_90_90;0.071;0.077;0.071;0.25;0.071;0.083;0.074;0.0;1.0;0.0;0.0;0.087;0.3;0.429;0.087;0.077;0.074;0.0;0.0
ENST00000437746_90_90;0.214;0.231;0.259;0.0;0.259;0.25;0.269;0.667;0.0;1.0;0.333;0.261;0.0;0.0;0.208;0.231;0.222;0.667;0.5
ENST00000442300_90_90;0.241;0.308;0.241;0.0;0.241;0.231;0.25;0.545;0.0;0.333;1.0;0.348;0.0;0.0;0.292;0.308;0.296;0.417;0.7
ENSMUST00000077182_90_90;0.75;0.88;0.75;0.172;0.75;0.667;0.778;0.304;0.087;0.261;0.348;1.0;0.185;0.115;0.76;0.88;0.846;0.364;0.364
ENSMUST00000113458_90_90;0.233;0.167;0.233;0.833;0.233;0.222;0.241;0.0;0.3;0.0;0.0;0.185;1.0;0.545;0.231;0.25;0.241;0.0;0.0
ENSMUST00000113459_90_90;0.097;0.103;0.097;0.462;0.097;0.111;0.1;0.0;0.429;0.0;0.0;0.115;0.545;1.0;0.115;0.103;0.1;0.0;0.0
ENSMUST00000113461_90_90;0.69;0.679;0.75;0.214;0.75;0.875;0.778;0.25;0.087;0.208;0.292;0.76;0.231;0.115;1.0;0.88;0.846;0.304;0.304
ENSMUST00000113462_90_90;0.793;0.786;0.857;0.233;0.857;0.778;0.889;0.269;0.077;0.231;0.308;0.88;0.25;0.103;0.88;1.0;0.962;0.32;0.32
ENSMUST00000137166_90_90;0.767;0.759;0.893;0.226;0.893;0.75;0.857;0.259;0.074;0.222;0.296;0.846;0.241;0.1;0.846;0.962;1.0;0.308;0.308
ENSMUST00000137821_90_90;0.296;0.32;0.25;0.0;0.25;0.24;0.259;0.455;0.0;0.667;0.417;0.364;0.0;0.0;0.304;0.32;0.308;1.0;0.6
ENSMUST00000155158_90_90;0.25;0.32;0.25;0.0;0.25;0.24;0.259;0.778;0.0;0.5;0.7;0.364;0.0;0.0;0.304;0.32;0.308;0.6;1.0
