;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;;0.558;0.454;0.476;0.479;0.446;0.257;0.944;0.659;0.042;0.34;0.059;0.476;0.457;0.457;0.463;0.0;0.438;0.22;0.208;0.153;0.222;0.44;0.414;0.487;0.235;0.231;0.285;0.228;0.433;0.459;0.453;0.44;0.39;0.472;0.0;0.913;0.643
ENSCAFT00000018571_90_90;0.558;;0.635;0.681;0.668;0.631;0.422;0.538;0.564;0.038;0.329;0.0;0.677;0.635;0.639;0.651;0.0;0.595;0.29;0.24;0.217;0.263;0.597;0.561;0.694;0.281;0.277;0.354;0.274;0.59;0.646;0.629;0.607;0.522;0.672;0.0;0.516;0.548
ENSCAFT00000021391_90_90;0.454;0.635;;;;0.589;0.22;0.432;0.448;0.0;0.199;0.0;0.923;0.928;0.883;0.955;0.072;0.887;0.291;0.347;0.217;0.372;0.883;0.73;0.881;0.417;0.425;0.422;0.422;0.896;0.964;0.937;0.923;0.812;0.932;0.082;0.414;0.433
ENSCAFT00000021394_90_90;0.476;0.681;;;;0.644;0.257;0.454;0.471;0.0;0.21;0.0;0.877;0.817;0.815;0.843;0.0;0.756;0.316;0.386;0.236;0.415;0.76;0.729;0.909;0.357;0.366;0.458;0.362;0.749;0.835;0.809;0.775;0.67;0.869;0.0;0.434;0.456
ENSCAFT00000021397_90_90;0.479;0.668;;;;0.569;0.218;0.456;0.473;0.0;0.204;0.0;0.852;0.906;0.81;0.881;0.0;0.863;0.327;0.399;0.244;0.429;0.867;0.84;0.954;0.367;0.376;0.474;0.372;0.855;0.873;0.897;0.831;0.768;0.844;0.0;0.436;0.458
ENST00000227348_90_90;0.446;0.631;0.589;0.644;0.569;;;0.426;0.443;0.041;0.251;0.0;0.631;0.588;0.596;0.605;0.037;0.551;0.248;0.362;0.193;0.392;0.554;0.468;0.595;0.331;0.341;0.408;0.337;0.546;0.6;0.583;0.564;0.479;0.627;0.037;0.411;0.433
ENST00000533709_90_90;0.257;0.422;0.22;0.257;0.218;;;0.262;0.277;0.082;0.589;0.0;0.258;0.212;0.213;0.231;0.0;0.166;0.0;0.0;0.0;0.0;0.167;0.108;0.246;0.0;0.0;0.0;0.0;0.165;0.229;0.21;0.184;0.101;0.257;0.0;0.267;0.286
ENST00000252483_90_90;0.944;0.538;0.432;0.454;0.456;0.426;0.262;;;;;;0.454;0.435;0.435;0.441;0.0;0.415;0.209;0.197;0.158;0.212;0.417;0.391;0.465;0.218;0.215;0.266;0.212;0.412;0.438;0.431;0.418;0.368;0.451;0.0;0.966;0.653
ENST00000252485_90_90;0.659;0.564;0.448;0.471;0.473;0.443;0.277;;;;;;0.47;0.45;0.45;0.456;0.0;0.429;0.215;0.201;0.162;0.217;0.431;0.403;0.481;0.223;0.22;0.274;0.216;0.425;0.453;0.446;0.432;0.378;0.467;0.0;0.641;0.949
ENST00000585601_90_90;0.042;0.038;0.0;0.0;0.0;0.041;0.082;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.044;0.085
ENST00000591581_90_90;0.34;0.329;0.199;0.21;0.204;0.251;0.589;;;;;;0.224;0.194;0.194;0.205;0.0;0.163;0.0;0.0;0.0;0.0;0.164;0.116;0.219;0.0;0.0;0.0;0.0;0.162;0.203;0.193;0.172;0.107;0.223;0.0;0.357;0.417
ENST00000592018_90_90;0.059;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.061;0.0
ENST00000331581_90_90;0.476;0.677;0.923;0.877;0.852;0.631;0.258;0.454;0.47;0.0;0.224;0.0;;;;;;;;;;;;;;0.4;0.408;0.412;0.404;0.87;0.958;0.931;0.897;0.789;0.991;0.067;0.436;0.456
ENST00000452722_90_90;0.457;0.635;0.928;0.817;0.906;0.588;0.212;0.435;0.45;0.0;0.194;0.0;;;;;;;;;;;;;;0.42;0.429;0.438;0.425;0.925;0.964;0.99;0.901;0.838;0.931;0.071;0.416;0.435
ENST00000536727_90_90;0.457;0.639;0.883;0.815;0.81;0.596;0.213;0.435;0.45;0.0;0.194;0.0;;;;;;;;;;;;;;0.421;0.429;0.439;0.426;0.927;0.897;0.87;0.955;0.839;0.93;0.071;0.416;0.435
ENST00000537058_90_90;0.463;0.651;0.955;0.843;0.881;0.605;0.231;0.441;0.456;0.0;0.205;0.0;;;;;;;;;;;;;;0.41;0.419;0.426;0.415;0.901;0.99;0.964;0.927;0.816;0.958;0.069;0.422;0.442
ENST00000540951_90_90;0.0;0.0;0.072;0.0;0.0;0.037;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;0.143;0.14;0.0;0.141;0.074;0.068;0.07;0.073;0.08;0.067;0.553;0.0;0.0
ENST00000542447_90_90;0.438;0.595;0.887;0.756;0.863;0.551;0.166;0.415;0.429;0.0;0.163;0.0;;;;;;;;;;;;;;0.444;0.453;0.468;0.449;0.99;0.901;0.925;0.961;0.895;0.87;0.076;0.396;0.413
ENST00000542450_90_90;0.22;0.29;0.291;0.316;0.327;0.248;0.0;0.209;0.215;0.0;0.0;0.0;;;;;;;;;;;;;;0.378;0.37;0.574;0.373;0.32;0.291;0.299;0.311;0.342;0.281;0.0;0.184;0.193
ENST00000543249_90_90;0.208;0.24;0.347;0.386;0.399;0.362;0.0;0.197;0.201;0.0;0.0;0.0;;;;;;;;;;;;;;0.359;0.371;0.531;0.366;0.391;0.357;0.366;0.38;0.416;0.345;0.0;0.186;0.194
ENST00000543540_90_90;0.153;0.217;0.217;0.236;0.244;0.193;0.0;0.158;0.162;0.0;0.0;0.0;;;;;;;;;;;;;;0.282;0.275;0.424;0.277;0.239;0.217;0.224;0.233;0.256;0.211;0.0;0.146;0.153
ENST00000545094_90_90;0.222;0.263;0.372;0.415;0.429;0.392;0.0;0.212;0.217;0.0;0.0;0.0;;;;;;;;;;;;;;0.408;0.42;0.587;0.415;0.419;0.383;0.393;0.408;0.447;0.369;0.0;0.202;0.21
ENST00000545380_90_90;0.44;0.597;0.883;0.76;0.867;0.554;0.167;0.417;0.431;0.0;0.164;0.0;;;;;;;;;;;;;;0.44;0.449;0.47;0.445;0.984;0.895;0.921;0.956;0.89;0.865;0.071;0.397;0.415
ENST00000612235_90_90;0.414;0.561;0.73;0.729;0.84;0.468;0.108;0.391;0.403;0.0;0.116;0.0;;;;;;;;;;;;;;0.406;0.415;0.539;0.411;0.815;0.742;0.762;0.791;0.867;0.718;0.0;0.37;0.387
ENST00000616271_90_90;0.487;0.694;0.881;0.909;0.954;0.595;0.246;0.465;0.481;0.0;0.219;0.0;;;;;;;;;;;;;;0.357;0.365;0.457;0.362;0.825;0.915;0.889;0.853;0.742;0.885;0.0;0.445;0.467
ENSMUST00000034519_90_90;0.235;0.281;0.417;0.357;0.367;0.331;0.0;0.218;0.223;0.0;0.0;0.0;0.4;0.42;0.421;0.41;0.143;0.444;0.378;0.359;0.282;0.408;0.44;0.406;0.357;;;;;0.447;0.413;0.422;0.436;0.47;0.402;0.12;0.2;0.207
ENSMUST00000180384_90_90;0.231;0.277;0.425;0.366;0.376;0.341;0.0;0.215;0.22;0.0;0.0;0.0;0.408;0.429;0.429;0.419;0.14;0.453;0.37;0.371;0.275;0.42;0.449;0.415;0.365;;;;;0.455;0.421;0.431;0.445;0.478;0.41;0.118;0.198;0.204
ENSMUST00000180872_90_90;0.285;0.354;0.422;0.458;0.474;0.408;0.0;0.266;0.274;0.0;0.0;0.0;0.412;0.438;0.439;0.426;0.0;0.468;0.574;0.531;0.424;0.587;0.47;0.539;0.457;;;;;0.463;0.422;0.433;0.45;0.492;0.409;0.0;0.243;0.256
ENSMUST00000188848_90_90;0.228;0.274;0.422;0.362;0.372;0.337;0.0;0.212;0.216;0.0;0.0;0.0;0.404;0.425;0.426;0.415;0.141;0.449;0.373;0.366;0.277;0.415;0.445;0.411;0.362;;;;;0.452;0.418;0.427;0.441;0.475;0.407;0.118;0.194;0.201
ENSMUST00000034581_90_90;0.433;0.59;0.896;0.749;0.855;0.546;0.165;0.412;0.425;0.0;0.162;0.0;0.87;0.925;0.927;0.901;0.074;0.99;0.32;0.391;0.239;0.419;0.984;0.815;0.825;0.447;0.455;0.463;0.452;;;;;;;;0.392;0.41
ENSMUST00000085909_90_90;0.459;0.646;0.964;0.835;0.873;0.6;0.229;0.438;0.453;0.0;0.203;0.0;0.958;0.964;0.897;0.99;0.068;0.901;0.291;0.357;0.217;0.383;0.895;0.742;0.915;0.413;0.421;0.422;0.418;;;;;;;;0.419;0.438
ENSMUST00000114547_90_90;0.453;0.629;0.937;0.809;0.897;0.583;0.21;0.431;0.446;0.0;0.193;0.0;0.931;0.99;0.87;0.964;0.07;0.925;0.299;0.366;0.224;0.393;0.921;0.762;0.889;0.422;0.431;0.433;0.427;;;;;;;;0.413;0.432
ENSMUST00000114548_90_90;0.44;0.607;0.923;0.775;0.831;0.564;0.184;0.418;0.432;0.0;0.172;0.0;0.897;0.901;0.955;0.927;0.073;0.961;0.311;0.38;0.233;0.408;0.956;0.791;0.853;0.436;0.445;0.45;0.441;;;;;;;;0.399;0.417
ENSMUST00000143026_90_90;0.39;0.522;0.812;0.67;0.768;0.479;0.101;0.368;0.378;0.0;0.107;0.0;0.789;0.838;0.839;0.816;0.08;0.895;0.342;0.416;0.256;0.447;0.89;0.867;0.742;0.47;0.478;0.492;0.475;;;;;;;;0.349;0.363
ENSMUST00000152459_90_90;0.472;0.672;0.932;0.869;0.844;0.627;0.257;0.451;0.467;0.0;0.223;0.0;0.991;0.931;0.93;0.958;0.067;0.87;0.281;0.345;0.211;0.369;0.865;0.718;0.885;0.402;0.41;0.409;0.407;;;;;;;;0.432;0.453
ENSMUST00000214542_90_90;0.0;0.0;0.082;0.0;0.0;0.037;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.071;0.071;0.069;0.553;0.076;0.0;0.0;0.0;0.0;0.071;0.0;0.0;0.12;0.118;0.0;0.118;;;;;;;;0.0;0.0
