;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript7_ENSMSIG00000000513;1.0;0.996;0.996;0.761;0.757;0.761;0.801;0.756;0.751;0.761;0.788;0.758;0.757;0.755;0.755;0.762;0.755;0.712;0.747;0.78;0.743;0.683
transcript7_MGP-SPRETEiJ-G0021131;0.996;1.0;0.993;0.758;0.755;0.758;0.798;0.752;0.749;0.758;0.785;0.76;0.755;0.757;0.753;0.765;0.757;0.714;0.749;0.782;0.741;0.682
transcript7_ENSMUSG00000054036;0.996;0.993;1.0;0.758;0.754;0.758;0.797;0.754;0.751;0.76;0.785;0.755;0.755;0.753;0.752;0.76;0.752;0.709;0.745;0.777;0.743;0.681
transcript50_ENSMSIG00000000513;0.761;0.758;0.758;1.0;0.994;1.0;0.958;0.859;0.853;0.876;0.969;0.715;0.714;0.712;0.712;0.733;0.727;0.688;0.74;0.711;0.758;0.84
transcript50_MGP-CAROLIEiJ-G0020234;0.757;0.755;0.754;0.994;1.0;0.994;0.951;0.854;0.859;0.871;0.962;0.712;0.718;0.709;0.716;0.73;0.723;0.685;0.736;0.708;0.754;0.835
transcript50_MGP-PahariEiJ-G0020237;0.761;0.758;0.758;1.0;0.994;1.0;0.957;0.859;0.854;0.876;0.968;0.715;0.715;0.713;0.712;0.734;0.727;0.688;0.74;0.712;0.758;0.84
transcript55_ENSMSIG00000000513;0.801;0.798;0.797;0.958;0.951;0.957;1.0;0.845;0.839;0.918;0.985;0.704;0.704;0.702;0.702;0.767;0.76;0.722;0.753;0.745;0.772;0.854
transcript60_ENSMSIG00000000513;0.756;0.752;0.754;0.859;0.854;0.859;0.845;1.0;0.993;0.92;0.832;0.714;0.714;0.712;0.712;0.668;0.661;0.621;0.674;0.645;0.703;0.721
transcript60_MGP-CAROLIEiJ-G0020234;0.751;0.749;0.751;0.853;0.859;0.854;0.839;0.993;1.0;0.915;0.826;0.711;0.718;0.709;0.716;0.665;0.658;0.618;0.671;0.642;0.7;0.717
transcript64_ENSMSIG00000000513;0.761;0.758;0.76;0.876;0.871;0.876;0.918;0.92;0.915;1.0;0.904;0.668;0.668;0.666;0.666;0.732;0.725;0.686;0.718;0.71;0.709;0.783
transcript67_ENSMSIG00000000513;0.788;0.785;0.785;0.969;0.962;0.968;0.985;0.832;0.826;0.904;1.0;0.695;0.694;0.692;0.692;0.757;0.753;0.712;0.743;0.735;0.781;0.863
transcript59_MGP-SPRETEiJ-G0021131;0.758;0.76;0.755;0.715;0.712;0.715;0.704;0.714;0.711;0.668;0.695;1.0;0.988;0.997;0.986;0.93;0.922;0.879;0.94;0.905;0.856;0.829
transcript59_MGP-CAROLIEiJ-G0020234;0.757;0.755;0.755;0.714;0.718;0.715;0.704;0.714;0.718;0.668;0.694;0.988;1.0;0.986;0.997;0.919;0.912;0.869;0.929;0.895;0.852;0.825
transcript61_MGP-SPRETEiJ-G0021131;0.755;0.757;0.753;0.712;0.709;0.713;0.702;0.712;0.709;0.666;0.692;0.997;0.986;1.0;0.988;0.928;0.92;0.877;0.937;0.903;0.854;0.827
transcript61_MGP-CAROLIEiJ-G0020234;0.755;0.753;0.752;0.712;0.716;0.712;0.702;0.712;0.716;0.666;0.692;0.986;0.997;0.988;1.0;0.917;0.909;0.866;0.927;0.892;0.849;0.823
transcript62_MGP-SPRETEiJ-G0021131;0.762;0.765;0.76;0.733;0.73;0.734;0.767;0.668;0.665;0.732;0.757;0.93;0.919;0.928;0.917;1.0;0.992;0.949;0.985;0.975;0.857;0.891
transcript69_MGP-SPRETEiJ-G0021131;0.755;0.757;0.752;0.727;0.723;0.727;0.76;0.661;0.658;0.725;0.753;0.922;0.912;0.92;0.909;0.992;1.0;0.941;0.977;0.967;0.85;0.884
