;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.906;0.614;0.93;0.843;0.793;0.897;0.989;0.912;0.998;0.933;0.927;0.998
ENST00000297620_90_90;0.906;1.0;0.425;0.838;0.929;0.791;0.988;0.897;0.82;0.908;0.935;0.929;1.0
ENST00000379078_90_90;0.614;0.425;1.0;0.456;0.378;0.433;0.429;0.504;0.539;0.5;0.51;0.513;0.575
ENST00000379080_90_90;0.93;0.838;0.456;1.0;0.896;0.669;0.847;0.94;0.851;0.93;0.987;0.994;0.923
ENST00000379081_90_90;0.843;0.929;0.378;0.896;1.0;0.736;0.928;0.842;0.764;0.843;0.994;0.987;0.929
ENST00000379084_90_90;0.793;0.791;0.433;0.669;0.736;1.0;0.79;0.724;0.789;0.725;0.732;0.727;0.791
ENST00000379087_90_90;0.897;0.988;0.429;0.847;0.928;0.79;1.0;0.907;0.819;0.897;0.923;0.928;0.988
ENST00000379089_90_90;0.989;0.897;0.504;0.94;0.842;0.724;0.907;1.0;0.911;0.989;0.923;0.928;0.988
ENST00000422409_90_90;0.912;0.82;0.539;0.851;0.764;0.789;0.819;0.911;1.0;0.912;0.837;0.831;0.903
ENST00000445726_90_90;0.998;0.908;0.5;0.93;0.843;0.725;0.897;0.989;0.912;1.0;0.935;0.929;1.0
ENSMUST00000108049_90_90;0.933;0.935;0.51;0.987;0.994;0.732;0.923;0.923;0.837;0.935;1.0;0.994;0.935
ENSMUST00000108050_90_90;0.927;0.929;0.513;0.994;0.987;0.727;0.928;0.928;0.831;0.929;0.994;1.0;0.929
ENSMUST00000108052_90_90;0.998;1.0;0.575;0.923;0.929;0.791;0.988;0.988;0.903;1.0;0.935;0.929;1.0
