;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript18_ENSPCIG00000036398;1.0;0.536;0.495;0.495;0.495;0.495;0.8;0.812;1.0;1.0;0.558;0.558;0.562;0.505;0.075;0.057;0.075;0.562;0.562;0.562;0.562;0.562;0.562;0.551;0.51
transcript8_ENSMUNG00000002377;0.536;1.0;0.917;0.917;0.917;0.917;0.543;0.549;0.536;0.536;0.706;0.706;0.885;0.794;0.065;0.052;0.065;0.885;0.885;0.885;0.885;0.885;0.885;0.874;0.784
transcript23_ENSMUNG00000002377;0.495;0.917;1.0;1.0;0.976;0.976;0.602;0.609;0.495;0.495;0.652;0.652;0.819;0.866;0.06;0.048;0.06;0.819;0.819;0.819;0.819;0.819;0.819;0.809;0.856
transcript15_ENSMUNG00000002377;0.495;0.917;1.0;1.0;0.976;0.976;0.602;0.609;0.495;0.495;0.652;0.652;0.819;0.866;0.06;0.048;0.06;0.819;0.819;0.819;0.819;0.819;0.819;0.809;0.856
transcript16_ENSMUNG00000002377;0.495;0.917;0.976;0.976;1.0;0.976;0.602;0.591;0.495;0.495;0.652;0.652;0.819;0.866;0.06;0.048;0.06;0.819;0.819;0.819;0.819;0.819;0.819;0.809;0.856
transcript22_ENSMUNG00000002377;0.495;0.917;0.976;0.976;0.976;1.0;0.602;0.591;0.495;0.495;0.652;0.652;0.819;0.866;0.06;0.048;0.06;0.819;0.819;0.819;0.819;0.819;0.819;0.809;0.856
transcript3_ENSPCIG00000036398;0.8;0.543;0.602;0.602;0.602;0.602;1.0;0.985;0.8;0.8;0.547;0.547;0.567;0.636;0.077;0.062;0.077;0.567;0.567;0.567;0.567;0.567;0.567;0.557;0.643
transcript15_ENSPCIG00000036398;0.812;0.549;0.609;0.609;0.591;0.591;0.985;1.0;0.812;0.812;0.553;0.553;0.573;0.626;0.078;0.062;0.078;0.573;0.573;0.573;0.573;0.573;0.573;0.562;0.633
transcript7_ENSPCIG00000036398;1.0;0.536;0.495;0.495;0.495;0.495;0.8;0.812;1.0;1.0;0.558;0.558;0.562;0.505;0.075;0.057;0.075;0.562;0.562;0.562;0.562;0.562;0.562;0.551;0.51
transcript8_ENSPCIG00000036398;1.0;0.536;0.495;0.495;0.495;0.495;0.8;0.812;1.0;1.0;0.558;0.558;0.562;0.505;0.075;0.057;0.075;0.562;0.562;0.562;0.562;0.562;0.562;0.551;0.51
