;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.798;1.0;0.269;0.221;0.999;0.699;0.797;0.66;0.999;0.861;0.389;0.758;0.338
ENST00000331224_90_90;0.798;1.0;0.804;0.365;0.275;0.788;0.866;0.998;0.813;0.788;0.92;0.46;0.945;0.273
ENST00000341267_90_90;1.0;0.804;1.0;0.293;0.226;0.998;0.685;0.788;0.643;0.998;0.855;0.364;0.747;0.352
ENST00000392848_90_90;0.269;0.365;0.293;1.0;0.633;0.241;0.353;0.305;0.381;0.241;0.281;0.4;0.323;0.0
ENST00000556051_90_90;0.221;0.275;0.226;0.633;1.0;0.19;0.274;0.239;0.293;0.19;0.221;0.273;0.251;0.0
ENSMUST00000056110_90_90;0.999;0.788;0.998;0.241;0.19;1.0;0.723;0.811;0.689;1.0;0.871;0.408;0.778;0.314
ENSMUST00000109841_90_90;0.699;0.866;0.685;0.353;0.274;0.723;1.0;0.891;0.951;0.723;0.83;0.553;0.849;0.195
ENSMUST00000109842_90_90;0.797;0.998;0.788;0.305;0.239;0.811;0.891;1.0;0.849;0.811;0.931;0.496;0.959;0.247
ENSMUST00000109843_90_90;0.66;0.813;0.643;0.381;0.293;0.689;0.951;0.849;1.0;0.689;0.791;0.582;0.884;0.156
ENSMUST00000109844_90_90;0.999;0.788;0.998;0.241;0.19;1.0;0.723;0.811;0.689;1.0;0.871;0.408;0.778;0.314
ENSMUST00000109846_90_90;0.861;0.92;0.855;0.281;0.221;0.871;0.83;0.931;0.791;0.871;1.0;0.465;0.893;0.314
ENSMUST00000124293_90_90;0.389;0.46;0.364;0.4;0.273;0.408;0.553;0.496;0.582;0.408;0.465;1.0;0.517;0.0
ENSMUST00000173539_90_90;0.758;0.945;0.747;0.323;0.251;0.778;0.849;0.959;0.884;0.778;0.893;0.517;1.0;0.211
ENSMUST00000173812_90_90;0.338;0.273;0.352;0.0;0.0;0.314;0.195;0.247;0.156;0.314;0.314;0.0;0.211;1.0
