;transcript30_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript30_ENSCCNG00000000226;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843;transcript35_ENSCPOG00000024843;transcript29_ENSCPOG00000024843;transcript1_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript31_ENSSTOG00000019743;transcript1_ENSMLUG00000027828;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828
transcript30_ENSSTOG00000019743;1.0;0.9;0.956;1.0;0.935;0.955;0.955;1.0;0.955;1.0;0.978;0.961;0.906;0.906;0.897
transcript9_ENSSTOG00000019743;0.9;1.0;0.855;0.894;0.839;0.86;0.86;0.9;0.86;0.9;0.878;0.862;0.99;0.99;0.98
transcript1_ENSCCNG00000000226;0.956;0.855;1.0;0.961;0.975;1.0;1.0;0.961;1.0;0.956;0.934;1.0;0.867;0.867;0.854
transcript30_ENSCCNG00000000226;1.0;0.894;0.961;1.0;0.936;0.961;0.961;1.0;0.956;1.0;0.977;0.965;0.899;0.899;0.885
transcript36_ENSCPOG00000024843;0.935;0.839;0.975;0.936;1.0;0.978;0.978;0.938;0.979;0.935;0.955;0.972;0.844;0.844;0.853
transcript37_ENSCPOG00000024843;0.955;0.86;1.0;0.961;0.978;1.0;1.0;0.959;1.0;0.955;0.935;1.0;0.872;0.872;0.862
transcript35_ENSCPOG00000024843;0.955;0.86;1.0;0.961;0.978;1.0;1.0;0.959;1.0;0.955;0.935;1.0;0.872;0.872;0.862
transcript29_ENSCPOG00000024843;1.0;0.9;0.961;1.0;0.938;0.959;0.959;1.0;0.955;1.0;0.978;0.962;0.906;0.906;0.896
transcript1_ENSSTOG00000019743;0.955;0.86;1.0;0.956;0.979;1.0;1.0;0.955;1.0;0.955;0.935;1.0;0.871;0.871;0.862
transcript29_ENSSTOG00000019743;1.0;0.9;0.956;1.0;0.935;0.955;0.955;1.0;0.955;1.0;0.978;0.961;0.906;0.906;0.897
transcript31_ENSSTOG00000019743;0.978;0.878;0.934;0.977;0.955;0.935;0.935;0.978;0.935;0.978;1.0;0.935;0.879;0.879;0.887
transcript1_ENSMLUG00000027828;0.961;0.862;1.0;0.965;0.972;1.0;1.0;0.962;1.0;0.961;0.935;1.0;0.872;0.872;0.862
transcript10_ENSMLUG00000027828;0.906;0.99;0.867;0.899;0.844;0.872;0.872;0.906;0.871;0.906;0.879;0.872;1.0;1.0;0.988
transcript16_ENSMLUG00000027828;0.906;0.99;0.867;0.899;0.844;0.872;0.872;0.906;0.871;0.906;0.879;0.872;1.0;1.0;0.988
transcript28_ENSMLUG00000027828;0.897;0.98;0.854;0.885;0.853;0.862;0.862;0.896;0.862;0.897;0.887;0.862;0.988;0.988;1.0
