;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.55;0.6;0.1;0.45;0.2;0.8;0.25;0.8;0.3;0.35;0.35;0.619;0.952;0.381;0.381
ENST00000320694_90_90;0.55;1.0;0.8;0.133;0.6;0.0;0.571;0.385;0.571;0.4;0.467;0.538;0.733;0.579;0.615;0.538
ENST00000336483_90_90;0.6;0.8;1.0;0.286;0.562;0.0;0.545;0.357;0.545;0.375;0.438;0.5;0.929;0.55;0.467;0.5
ENST00000517698_90_90;0.1;0.133;0.286;1.0;0.154;0.0;0.091;0.0;0.091;0.2;0.182;0.0;0.214;0.05;0.091;0.1
ENST00000519025_90_90;0.45;0.6;0.562;0.154;1.0;0.0;0.409;0.455;0.409;0.267;0.333;0.5;0.643;0.5;0.5;0.7
ENST00000520675_90_90;0.2;0.0;0.0;0.0;0.0;1.0;0.13;0.0;0.13;0.0;0.0;0.0;0.0;0.167;0.0;0.0
ENST00000521381_90_90;0.8;0.571;0.545;0.091;0.409;0.13;1.0;0.25;1.0;0.4;0.45;0.35;0.579;0.889;0.389;0.412
ENST00000521409_90_90;0.25;0.385;0.357;0.0;0.455;0.0;0.25;1.0;0.25;0.083;0.167;0.714;0.357;0.278;0.273;0.444
ENST00000521657_90_90;0.8;0.571;0.545;0.091;0.409;0.13;1.0;0.25;1.0;0.4;0.45;0.35;0.579;0.889;0.389;0.412
ENST00000522084_90_90;0.3;0.4;0.375;0.2;0.267;0.0;0.4;0.083;0.4;1.0;0.889;0.071;0.333;0.333;0.5;0.4
ENST00000523807_90_90;0.35;0.467;0.438;0.182;0.333;0.0;0.45;0.167;0.45;0.889;1.0;0.143;0.4;0.389;0.6;0.5
ENST00000523872_90_90;0.35;0.538;0.5;0.0;0.5;0.0;0.35;0.714;0.35;0.071;0.143;1.0;0.5;0.389;0.231;0.364
ENSMUST00000035532_90_90;0.619;0.733;0.929;0.214;0.643;0.0;0.579;0.357;0.579;0.333;0.4;0.5;1.0;0.522;0.533;0.571
ENSMUST00000055518_90_90;0.952;0.579;0.55;0.05;0.5;0.167;0.889;0.278;0.889;0.333;0.389;0.389;0.522;1.0;0.364;0.381
ENSMUST00000185795_90_90;0.381;0.615;0.467;0.091;0.5;0.0;0.389;0.273;0.389;0.5;0.6;0.231;0.533;0.364;1.0;0.7
ENSMUST00000187009_90_90;0.381;0.538;0.5;0.1;0.7;0.0;0.412;0.444;0.412;0.4;0.5;0.364;0.571;0.381;0.7;1.0
