;ENSCAFT00000004367_90_90;ENSCAFT00000004373_90_90;ENST00000333896_90_90;ENST00000356805_90_90;ENST00000389980_90_90;ENST00000615901_90_90;ENSMUST00000006629_90_90;ENSMUST00000011877_90_90;ENSMUST00000102838_90_90;ENSMUST00000124231_90_90
ENSCAFT00000004367_90_90;1.0;0.857;0.799;1.0;0.246;0.95;1.0;1.0;0.785;0.776
ENSCAFT00000004373_90_90;0.857;1.0;0.903;0.891;0.179;0.845;0.882;0.882;0.897;0.675
ENST00000333896_90_90;0.799;0.903;1.0;0.738;0.187;0.663;0.748;0.748;1.0;0.714
ENST00000356805_90_90;1.0;0.891;0.738;1.0;0.282;0.883;1.0;1.0;0.748;0.776
ENST00000389980_90_90;0.246;0.179;0.187;0.282;1.0;0.271;0.257;0.257;0.196;0.332
ENST00000615901_90_90;0.95;0.845;0.663;0.883;0.271;1.0;0.944;0.944;0.703;0.72
ENSMUST00000006629_90_90;1.0;0.882;0.748;1.0;0.257;0.944;1.0;1.0;0.722;0.792
ENSMUST00000011877_90_90;1.0;0.882;0.748;1.0;0.257;0.944;1.0;1.0;0.722;0.792
ENSMUST00000102838_90_90;0.785;0.897;1.0;0.748;0.196;0.703;0.722;0.722;1.0;0.691
ENSMUST00000124231_90_90;0.776;0.675;0.714;0.776;0.332;0.72;0.792;0.792;0.691;1.0
