;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript59_ENSMUGG00000013649;1.0;0.847;0.768;0.746;0.846;0.867;0.88;0.579;0.66;0.814;0.713;0.862;0.846;0.795;0.59;0.795;0.589;0.846;0.795;0.59;0.706;0.735;0.83;0.762;0.762;0.737;0.76;0.76;0.682;0.548;0.805;0.862;0.862;0.948;0.431;0.623
transcript39_ENSPEMG00000024651;0.847;1.0;0.885;0.699;0.786;0.787;0.956;0.65;0.578;0.764;0.64;0.789;0.786;0.753;0.57;0.753;0.566;0.786;0.753;0.57;0.661;0.691;0.752;0.71;0.71;0.816;0.851;0.851;0.766;0.618;0.737;0.789;0.789;0.89;0.416;0.566
transcript37_ENSPEMG00000024651;0.768;0.885;1.0;0.777;0.887;0.868;0.846;0.742;0.659;0.861;0.735;0.864;0.883;0.831;0.649;0.831;0.649;0.883;0.831;0.649;0.724;0.782;0.828;0.787;0.787;0.909;0.938;0.938;0.868;0.706;0.82;0.864;0.864;0.8;0.453;0.597
transcript65_ENSCGRG00000018457;0.746;0.699;0.777;1.0;0.852;0.869;0.689;0.584;0.663;0.824;0.72;0.871;0.852;0.88;0.682;0.88;0.678;0.852;0.88;0.682;0.761;0.819;0.915;0.982;0.982;0.829;0.819;0.819;0.742;0.617;0.922;0.871;0.871;0.76;0.467;0.652
transcript37_ENSCGRG00001010245;0.846;0.786;0.887;0.852;1.0;0.979;0.752;0.659;0.767;0.964;0.837;0.974;0.996;0.923;0.697;0.923;0.697;0.996;0.923;0.697;0.811;0.855;0.936;0.869;0.869;0.808;0.835;0.835;0.772;0.628;0.9;0.974;0.974;0.881;0.477;0.662
transcript54_ENSCGRG00015005362;0.867;0.787;0.868;0.869;0.979;1.0;0.77;0.677;0.788;0.947;0.84;0.994;0.979;0.918;0.696;0.918;0.695;0.979;0.918;0.696;0.804;0.858;0.953;0.885;0.885;0.825;0.849;0.849;0.773;0.627;0.921;0.994;0.994;0.88;0.478;0.673
transcript59_ENSPEMG00000024651;0.88;0.956;0.846;0.689;0.752;0.77;1.0;0.631;0.561;0.73;0.62;0.772;0.752;0.726;0.559;0.726;0.555;0.752;0.726;0.559;0.641;0.681;0.742;0.699;0.699;0.813;0.843;0.843;0.758;0.61;0.733;0.772;0.772;0.851;0.409;0.557
transcript57_ENSPEMG00000024651;0.579;0.65;0.742;0.584;0.659;0.677;0.631;1.0;0.855;0.655;0.751;0.673;0.659;0.622;0.438;0.622;0.436;0.659;0.622;0.438;0.561;0.576;0.639;0.595;0.595;0.693;0.722;0.722;0.637;0.473;0.625;0.673;0.673;0.591;0.344;0.512
transcript57_ENSMUGG00000013649;0.66;0.578;0.659;0.663;0.767;0.788;0.561;0.855;1.0;0.755;0.866;0.783;0.767;0.712;0.495;0.712;0.495;0.767;0.712;0.495;0.649;0.652;0.747;0.679;0.679;0.616;0.643;0.643;0.567;0.424;0.709;0.783;0.783;0.672;0.379;0.591
transcript37_ENSMUGG00000013592;0.814;0.764;0.861;0.824;0.964;0.947;0.73;0.655;0.755;1.0;0.868;0.942;0.967;0.895;0.685;0.895;0.684;0.967;0.895;0.685;0.783;0.83;0.905;0.841;0.841;0.789;0.814;0.814;0.757;0.617;0.872;0.942;0.942;0.848;0.47;0.646
transcript51_ENSMUGG00000013592;0.713;0.64;0.735;0.72;0.837;0.84;0.62;0.751;0.866;0.868;1.0;0.836;0.84;0.773;0.564;0.773;0.563;0.84;0.773;0.564;0.689;0.725;0.801;0.737;0.737;0.678;0.704;0.704;0.647;0.495;0.765;0.836;0.836;0.727;0.412;0.609
transcript26_ENSSTOG00000019743;0.862;0.789;0.864;0.871;0.974;0.994;0.772;0.673;0.783;0.942;0.836;1.0;0.974;0.92;0.698;0.92;0.695;0.974;0.92;0.698;0.807;0.86;0.955;0.887;0.887;0.821;0.851;0.851;0.775;0.63;0.916;1.0;1.0;0.882;0.481;0.676
transcript37_ENSSTOG00000019743;0.846;0.786;0.883;0.852;0.996;0.979;0.752;0.659;0.767;0.967;0.84;0.974;1.0;0.923;0.697;0.923;0.697;1.0;0.923;0.697;0.811;0.855;0.936;0.869;0.869;0.808;0.835;0.835;0.772;0.628;0.9;0.974;0.974;0.881;0.479;0.665
transcript38_ENSCGRG00015005362;0.795;0.753;0.831;0.88;0.923;0.918;0.726;0.622;0.712;0.895;0.773;0.92;0.923;1.0;0.766;1.0;0.762;0.923;1.0;0.766;0.873;0.915;0.965;0.896;0.896;0.768;0.856;0.856;0.806;0.672;0.842;0.92;0.92;0.829;0.513;0.662
transcript8_ENSCGRG00000018457;0.59;0.57;0.649;0.682;0.697;0.696;0.559;0.438;0.495;0.685;0.564;0.698;0.697;0.766;1.0;0.766;0.995;0.697;0.766;1.0;0.711;0.683;0.739;0.673;0.673;0.602;0.674;0.674;0.62;0.877;0.637;0.698;0.698;0.604;0.666;0.53
transcript38_ENSCGRG00000018457;0.795;0.753;0.831;0.88;0.923;0.918;0.726;0.622;0.712;0.895;0.773;0.92;0.923;1.0;0.766;1.0;0.762;0.923;1.0;0.766;0.873;0.915;0.965;0.896;0.896;0.768;0.856;0.856;0.806;0.672;0.842;0.92;0.92;0.829;0.513;0.662
transcript8_ENSCGRG00015005362;0.589;0.566;0.649;0.678;0.697;0.695;0.555;0.436;0.495;0.684;0.563;0.695;0.697;0.762;0.995;0.762;1.0;0.697;0.762;0.995;0.707;0.679;0.735;0.67;0.67;0.602;0.671;0.671;0.616;0.872;0.637;0.695;0.695;0.6;0.661;0.526
transcript37_ENSMUGG00000013649;0.846;0.786;0.883;0.852;0.996;0.979;0.752;0.659;0.767;0.967;0.84;0.974;1.0;0.923;0.697;0.923;0.697;1.0;0.923;0.697;0.811;0.855;0.936;0.869;0.869;0.808;0.835;0.835;0.772;0.628;0.9;0.974;0.974;0.881;0.479;0.665
transcript38_ENSSTOG00000019743;0.795;0.753;0.831;0.88;0.923;0.918;0.726;0.622;0.712;0.895;0.773;0.92;0.923;1.0;0.766;1.0;0.762;0.923;1.0;0.766;0.873;0.915;0.965;0.896;0.896;0.768;0.856;0.856;0.806;0.672;0.842;0.92;0.92;0.829;0.513;0.662
transcript8_ENSSTOG00000019743;0.59;0.57;0.649;0.682;0.697;0.696;0.559;0.438;0.495;0.685;0.564;0.698;0.697;0.766;1.0;0.766;0.995;0.697;0.766;1.0;0.711;0.683;0.739;0.673;0.673;0.602;0.674;0.674;0.62;0.877;0.637;0.698;0.698;0.604;0.666;0.53
transcript38_ENSRNOG00000031503;0.706;0.661;0.724;0.761;0.811;0.804;0.641;0.561;0.649;0.783;0.689;0.807;0.811;0.873;0.711;0.873;0.707;0.811;0.873;0.711;1.0;0.793;0.843;0.774;0.774;0.662;0.742;0.742;0.693;0.616;0.731;0.807;0.807;0.733;0.463;0.56
transcript56_ENSCGRG00000018457;0.735;0.691;0.782;0.819;0.855;0.858;0.681;0.576;0.652;0.83;0.725;0.86;0.855;0.915;0.683;0.915;0.679;0.855;0.915;0.683;0.793;1.0;0.904;0.835;0.835;0.723;0.811;0.811;0.879;0.608;0.781;0.86;0.86;0.749;0.481;0.644
transcript9_ENSCGRG00015005362;0.83;0.752;0.828;0.915;0.936;0.953;0.742;0.639;0.747;0.905;0.801;0.955;0.936;0.965;0.739;0.965;0.735;0.936;0.965;0.739;0.843;0.904;1.0;0.931;0.931;0.783;0.87;0.87;0.794;0.648;0.876;0.955;0.955;0.843;0.495;0.691
transcript52_ENSCGRG00000018457;0.762;0.71;0.787;0.982;0.869;0.885;0.699;0.595;0.679;0.841;0.737;0.887;0.869;0.896;0.673;0.896;0.67;0.869;0.896;0.673;0.774;0.835;0.931;1.0;1.0;0.84;0.829;0.829;0.752;0.606;0.939;0.887;0.887;0.776;0.462;0.66
transcript52_ENSCGRG00001010245;0.762;0.71;0.787;0.982;0.869;0.885;0.699;0.595;0.679;0.841;0.737;0.887;0.869;0.896;0.673;0.896;0.67;0.869;0.896;0.673;0.774;0.835;0.931;1.0;1.0;0.84;0.829;0.829;0.752;0.606;0.939;0.887;0.887;0.776;0.462;0.66
transcript58_ENSPEMG00000024651;0.737;0.816;0.909;0.829;0.808;0.825;0.813;0.693;0.616;0.789;0.678;0.821;0.808;0.768;0.602;0.768;0.602;0.808;0.768;0.602;0.662;0.723;0.783;0.84;0.84;1.0;0.886;0.886;0.801;0.654;0.896;0.821;0.821;0.739;0.436;0.578
transcript9_ENSPEMG00000024651;0.76;0.851;0.938;0.819;0.835;0.849;0.843;0.722;0.643;0.814;0.704;0.851;0.835;0.856;0.674;0.856;0.671;0.835;0.856;0.674;0.742;0.811;0.87;0.829;0.829;0.886;1.0;1.0;0.913;0.745;0.801;0.851;0.851;0.771;0.472;0.625
transcript33_ENSPEMG00000024651;0.76;0.851;0.938;0.819;0.835;0.849;0.843;0.722;0.643;0.814;0.704;0.851;0.835;0.856;0.674;0.856;0.671;0.835;0.856;0.674;0.742;0.811;0.87;0.829;0.829;0.886;1.0;1.0;0.913;0.745;0.801;0.851;0.851;0.771;0.472;0.625
transcript56_ENSPEMG00000024651;0.682;0.766;0.868;0.742;0.772;0.773;0.758;0.637;0.567;0.757;0.647;0.775;0.772;0.806;0.62;0.806;0.616;0.772;0.806;0.62;0.693;0.879;0.794;0.752;0.752;0.801;0.913;0.913;1.0;0.686;0.724;0.775;0.775;0.694;0.454;0.586
transcript8_ENSPEMG00000024651;0.548;0.618;0.706;0.617;0.628;0.627;0.61;0.473;0.424;0.617;0.495;0.63;0.628;0.672;0.877;0.672;0.872;0.628;0.672;0.877;0.616;0.608;0.648;0.606;0.606;0.654;0.745;0.745;0.686;1.0;0.591;0.63;0.63;0.56;0.616;0.486
transcript58_ENSMUGG00000013649;0.805;0.737;0.82;0.922;0.9;0.921;0.733;0.625;0.709;0.872;0.765;0.916;0.9;0.842;0.637;0.842;0.637;0.9;0.842;0.637;0.731;0.781;0.876;0.939;0.939;0.896;0.801;0.801;0.724;0.591;1.0;0.916;0.916;0.801;0.448;0.632
transcript40_ENSSTOG00000019743;0.862;0.789;0.864;0.871;0.974;0.994;0.772;0.673;0.783;0.942;0.836;1.0;0.974;0.92;0.698;0.92;0.695;0.974;0.92;0.698;0.807;0.86;0.955;0.887;0.887;0.821;0.851;0.851;0.775;0.63;0.916;1.0;1.0;0.882;0.481;0.676
transcript29_ENSSTOG00000019743;0.862;0.789;0.864;0.871;0.974;0.994;0.772;0.673;0.783;0.942;0.836;1.0;0.974;0.92;0.698;0.92;0.695;0.974;0.92;0.698;0.807;0.86;0.955;0.887;0.887;0.821;0.851;0.851;0.775;0.63;0.916;1.0;1.0;0.882;0.481;0.676
