;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;1.0;0.969;0.97;0.887;1.0;0.804;0.624;1.0;1.0;1.0;1.0;1.0;0.893;1.0
transcript6_ENSECAG00000007947;1.0;1.0;0.966;0.962;0.882;1.0;0.807;0.61;1.0;1.0;1.0;1.0;1.0;0.905;1.0
transcript7_ENSECAG00000007947;0.969;0.966;1.0;1.0;0.849;0.966;0.773;0.571;0.962;0.962;0.962;0.967;0.951;0.867;0.966
transcript7_ENSMLUG00000027828;0.97;0.962;1.0;1.0;0.857;0.962;0.8;0.587;0.965;0.965;0.965;0.97;0.956;0.885;0.968
transcript19_ENSECAG00000007947;0.887;0.882;0.849;0.857;1.0;0.882;0.914;0.505;1.0;1.0;1.0;1.0;1.0;0.905;0.882
transcript20_ENSECAG00000007947;1.0;1.0;0.966;0.962;0.882;1.0;0.807;0.61;1.0;1.0;1.0;1.0;1.0;0.905;1.0
transcript21_ENSECAG00000007947;0.804;0.807;0.773;0.8;0.914;0.807;1.0;0.535;0.914;0.914;0.914;0.901;0.951;0.99;0.807
transcript13_ENSMLUG00000027828;0.624;0.61;0.571;0.587;0.505;0.61;0.535;1.0;0.575;0.575;0.575;0.576;0.578;0.625;0.619
transcript15_ENSCGRG00015005362;1.0;1.0;0.962;0.965;1.0;1.0;0.914;0.575;1.0;1.0;1.0;1.0;1.0;0.896;1.0
transcript15_ENSCGRG00000018457;1.0;1.0;0.962;0.965;1.0;1.0;0.914;0.575;1.0;1.0;1.0;1.0;1.0;0.896;1.0
transcript15_ENSCGRG00001010245;1.0;1.0;0.962;0.965;1.0;1.0;0.914;0.575;1.0;1.0;1.0;1.0;1.0;0.896;1.0
transcript15_ENSPEMG00000024651;1.0;1.0;0.967;0.97;1.0;1.0;0.901;0.576;1.0;1.0;1.0;1.0;1.0;0.882;1.0
transcript15_ENSSTOG00000019743;1.0;1.0;0.951;0.956;1.0;1.0;0.951;0.578;1.0;1.0;1.0;1.0;1.0;0.919;1.0
transcript36_ENSCGRG00000018457;0.893;0.905;0.867;0.885;0.905;0.905;0.99;0.625;0.896;0.896;0.896;0.882;0.919;1.0;0.896
transcript25_ENSCPOG00000024843;1.0;1.0;0.966;0.968;0.882;1.0;0.807;0.619;1.0;1.0;1.0;1.0;1.0;0.896;1.0
