;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.571;0.7;0.6;0.6;0.556;0.333;0.636;0.6;0.636;0.333
ENSCAFT00000047065_90_90;0.571;1.0;0.4;0.636;0.8;0.6;0.556;0.818;0.636;0.818;0.556
ENSCAFT00000050191_90_90;0.7;0.4;1.0;0.667;0.5;0.625;0.222;0.545;0.667;0.545;0.222
ENST00000260506_90_90;0.6;0.636;0.667;1.0;0.571;0.667;0.286;0.846;1.0;0.846;0.308
ENST00000271234_90_90;0.6;0.8;0.5;0.571;1.0;0.818;0.636;0.714;0.615;0.769;0.6
ENST00000370253_90_90;0.556;0.6;0.625;0.667;0.818;1.0;0.455;0.571;0.727;0.615;0.4
ENST00000424449_90_90;0.333;0.556;0.222;0.286;0.636;0.455;1.0;0.429;0.308;0.462;1.0
ENST00000604705_90_90;0.636;0.818;0.545;0.846;0.714;0.571;0.429;1.0;0.846;1.0;0.462
ENSMUST00000162409_90_90;0.6;0.636;0.667;1.0;0.615;0.727;0.308;0.846;1.0;0.846;0.286
ENSMUST00000162947_90_90;0.636;0.818;0.545;0.846;0.769;0.615;0.462;1.0;0.846;1.0;0.429
ENSMUST00000197259_90_90;0.333;0.556;0.222;0.308;0.6;0.4;1.0;0.462;0.286;0.429;1.0
