;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.89;0.936;0.123;0.145;0.097;0.834;0.881;0.787;0.325;0.152
ENST00000318445_90_90;0.89;1.0;0.834;0.121;0.143;0.095;0.936;0.784;0.778;0.321;0.15
ENST00000424469_90_90;0.936;0.834;1.0;0.123;0.145;0.097;0.784;0.881;0.787;0.325;0.152
ENST00000553304_90_90;0.123;0.121;0.123;1.0;0.0;0.0;0.121;0.123;0.142;0.375;0.645
ENST00000555210_90_90;0.145;0.143;0.145;0.0;1.0;0.651;0.143;0.145;0.167;0.0;0.0
ENST00000555892_90_90;0.097;0.095;0.097;0.0;0.651;1.0;0.095;0.097;0.111;0.0;0.0
ENSMUST00000026897_90_90;0.834;0.936;0.784;0.121;0.143;0.095;1.0;0.834;0.725;0.321;0.15
ENSMUST00000098371_90_90;0.881;0.784;0.881;0.123;0.145;0.097;0.834;1.0;0.735;0.325;0.152
ENSMUST00000107453_90_90;0.787;0.778;0.787;0.142;0.167;0.111;0.725;0.735;1.0;0.374;0.173
ENSMUST00000134539_90_90;0.325;0.321;0.325;0.375;0.0;0.0;0.321;0.325;0.374;1.0;0.412
ENSMUST00000138099_90_90;0.152;0.15;0.152;0.645;0.0;0.0;0.15;0.152;0.173;0.412;1.0
