;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.924;0.924;0.724;0.724;0.253;0.118;0.195;0.724;0.137;0.162;0.162;0.025;0.59;0.655;0.051;0.045;0.112;0.784;0.785;0.719;0.719;0.694;0.016;0.308
ENSCAFT00000021597_90_90;0.924;1.0;1.0;0.655;0.655;0.276;0.129;0.213;0.655;0.15;0.177;0.177;0.028;0.521;0.703;0.056;0.049;0.123;0.724;0.726;0.778;0.778;0.744;0.018;0.34
ENSCAFT00000021600_90_90;0.924;1.0;1.0;0.655;0.655;0.276;0.129;0.213;0.655;0.15;0.177;0.177;0.028;0.521;0.703;0.056;0.049;0.123;0.724;0.726;0.778;0.778;0.744;0.018;0.34
ENST00000324432_90_90;0.724;0.655;0.655;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.975;0.977;0.911;0.911;0.558;0.013;0.247
ENST00000413936_90_90;0.724;0.655;0.655;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.975;0.977;0.911;0.911;0.558;0.013;0.247
ENST00000423646_90_90;0.253;0.276;0.276;0.225;0.225;1.0;0.464;0.771;0.225;0.0;0.637;0.637;0.1;0.079;0.243;0.202;0.179;0.443;0.228;0.228;0.244;0.244;0.409;0.057;0.923
ENST00000425780_90_90;0.118;0.129;0.129;0.105;0.105;0.464;1.0;0.602;0.105;0.0;0.725;0.725;0.215;0.0;0.113;0.436;0.385;0.954;0.106;0.106;0.114;0.114;0.19;0.123;0.43
ENST00000429179_90_90;0.195;0.213;0.213;0.174;0.174;0.771;0.602;1.0;0.174;0.0;0.825;0.825;0.13;0.027;0.188;0.262;0.231;0.574;0.176;0.176;0.188;0.188;0.315;0.074;0.711
ENST00000430490_90_90;0.724;0.655;0.655;1.0;1.0;0.225;0.105;0.174;1.0;0.123;0.144;0.144;0.023;0.854;0.924;0.046;0.04;0.1;0.975;0.977;0.911;0.911;0.558;0.013;0.247
ENST00000435251_90_90;0.137;0.15;0.15;0.123;0.123;0.0;0.0;0.0;0.123;1.0;0.0;0.0;0.0;0.144;0.133;0.0;0.0;0.0;0.122;0.123;0.132;0.132;0.088;0.0;0.0
ENST00000435861_90_90;0.162;0.177;0.177;0.144;0.144;0.637;0.725;0.825;0.144;0.0;1.0;1.0;0.156;0.0;0.155;0.316;0.279;0.691;0.146;0.146;0.156;0.156;0.262;0.09;0.59
ENST00000438930_90_90;0.162;0.177;0.177;0.144;0.144;0.637;0.725;0.825;0.144;0.0;1.0;1.0;0.156;0.0;0.155;0.316;0.279;0.691;0.146;0.146;0.156;0.156;0.262;0.09;0.59
ENST00000442516_90_90;0.025;0.028;0.028;0.023;0.023;0.1;0.215;0.13;0.023;0.0;0.156;0.156;1.0;0.0;0.024;0.494;0.56;0.226;0.023;0.023;0.024;0.024;0.041;0.571;0.093
ENST00000446600_90_90;0.59;0.521;0.521;0.854;0.854;0.079;0.0;0.027;0.854;0.144;0.0;0.0;0.0;1.0;0.778;0.0;0.0;0.0;0.829;0.83;0.764;0.764;0.41;0.0;0.099
ENST00000446820_90_90;0.655;0.703;0.703;0.924;0.924;0.243;0.113;0.188;0.924;0.133;0.155;0.155;0.024;0.778;1.0;0.049;0.043;0.108;0.918;0.92;0.985;0.985;0.588;0.014;0.268
