;ENSCAFT00000023830_90_90;ENST00000318386_90_90;ENST00000429429_90_90;ENST00000480936_90_90;ENST00000483348_90_90;ENST00000488267_90_90;ENST00000489418_90_90;ENSMUST00000057551_90_90;ENSMUST00000075670_90_90;ENSMUST00000101354_90_90;ENSMUST00000139518_90_90;ENSMUST00000151081_90_90
ENSCAFT00000023830_90_90;1.0;0.85;0.706;0.429;0.74;0.715;0.825;0.796;0.728;0.726;0.797;0.195
ENST00000318386_90_90;0.85;1.0;0.845;0.319;0.742;0.835;0.952;0.589;0.611;0.526;0.739;0.229
ENST00000429429_90_90;0.706;0.845;1.0;0.302;0.672;0.767;0.889;0.429;0.446;0.365;0.57;0.221
ENST00000480936_90_90;0.429;0.319;0.302;1.0;0.23;0.227;0.33;0.647;0.671;0.571;0.617;0.238
ENST00000483348_90_90;0.74;0.742;0.672;0.23;1.0;0.881;0.778;0.444;0.463;0.379;0.589;0.14
ENST00000488267_90_90;0.715;0.835;0.767;0.227;0.881;1.0;0.877;0.436;0.454;0.372;0.578;0.138
ENST00000489418_90_90;0.825;0.952;0.889;0.33;0.778;0.877;1.0;0.555;0.576;0.492;0.705;0.186
ENSMUST00000057551_90_90;0.796;0.589;0.429;0.647;0.444;0.436;0.555;1.0;0.821;0.94;0.657;0.156
ENSMUST00000075670_90_90;0.728;0.611;0.446;0.671;0.463;0.454;0.576;0.821;1.0;0.763;0.717;0.173
ENSMUST00000101354_90_90;0.726;0.526;0.365;0.571;0.379;0.372;0.492;0.94;0.763;1.0;0.603;0.097
ENSMUST00000139518_90_90;0.797;0.739;0.57;0.617;0.589;0.578;0.705;0.657;0.717;0.603;1.0;0.177
ENSMUST00000151081_90_90;0.195;0.229;0.221;0.238;0.14;0.138;0.186;0.156;0.173;0.097;0.177;1.0
