;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.952;0.749;0.076;0.586;0.798;0.859;0.686;0.854;0.849;0.849;0.701;0.085;0.518;0.849;0.844;0.844;0.884;0.826;0.754;0.631;0.585;0.896;0.896;0.726;0.819;0.067;0.626;0.799;0.861;0.1
transcript13_ENSMLUG00000027828;0.952;1.0;0.803;0.072;0.586;0.84;0.903;0.73;0.89;0.894;0.894;0.746;0.085;0.491;0.883;0.886;0.886;0.838;0.868;0.798;0.676;0.557;0.935;0.935;0.769;0.86;0.064;0.618;0.838;0.898;0.098
transcript22_ENSMLUG00000027828;0.749;0.803;1.0;0.096;0.469;0.669;0.72;0.915;0.734;0.737;0.737;0.56;0.109;0.392;0.725;0.727;0.727;0.674;0.707;0.63;0.879;0.434;0.747;0.747;0.561;0.663;0.085;0.455;0.649;0.717;0.098
transcript9_ENSMLUG00000027828;0.076;0.072;0.096;1.0;0.119;0.071;0.073;0.085;0.07;0.071;0.071;0.084;0.864;0.125;0.068;0.069;0.069;0.073;0.07;0.078;0.089;0.122;0.066;0.066;0.085;0.074;0.933;0.125;0.074;0.068;0.942
transcript7_ENSCCNG00000000226;0.586;0.586;0.469;0.119;1.0;0.701;0.599;0.489;0.607;0.607;0.607;0.82;0.199;0.937;0.604;0.604;0.604;0.604;0.615;0.487;0.469;0.972;0.608;0.608;0.783;0.504;0.117;0.934;0.645;0.595;0.186
transcript26_ENSCCNG00000000226;0.798;0.84;0.669;0.071;0.701;1.0;0.927;0.706;0.851;0.846;0.846;0.743;0.108;0.556;0.863;0.858;0.858;0.799;0.841;0.757;0.656;0.618;0.887;0.887;0.709;0.799;0.069;0.686;0.91;0.851;0.11
transcript24_ENSCCNG00000000226;0.859;0.903;0.72;0.073;0.599;0.927;1.0;0.749;0.904;0.898;0.898;0.792;0.095;0.459;0.908;0.903;0.903;0.838;0.884;0.903;0.683;0.524;0.944;0.944;0.752;0.944;0.071;0.588;0.845;0.903;0.113
transcript32_ENSCPOG00000024843;0.686;0.73;0.915;0.085;0.489;0.706;0.749;1.0;0.756;0.753;0.753;0.58;0.109;0.404;0.757;0.754;0.754;0.694;0.735;0.642;0.923;0.453;0.801;0.801;0.586;0.702;0.083;0.471;0.685;0.748;0.093
transcript10_ENSECAG00000007947;0.854;0.89;0.734;0.07;0.607;0.851;0.904;0.756;1.0;0.995;0.995;0.751;0.09;0.501;0.889;0.885;0.885;0.828;0.866;0.798;0.7;0.563;0.923;0.923;0.757;0.85;0.066;0.618;0.83;0.874;0.097
transcript17_ENSECAG00000007947;0.849;0.894;0.737;0.071;0.607;0.846;0.898;0.753;0.995;1.0;1.0;0.746;0.09;0.504;0.885;0.889;0.889;0.833;0.871;0.802;0.703;0.565;0.918;0.918;0.752;0.845;0.067;0.618;0.824;0.869;0.097
