;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.963;0.917;0.348;0.522;1.0;0.952;0.4;0.952;0.1;0.2;0.3;0.19;0.15;0.15;0.35
ENSCAFT00000047049_90_90;0.963;1.0;0.958;0.333;0.5;0.958;1.0;0.381;1.0;0.095;0.19;0.286;0.238;0.143;0.143;0.333
ENST00000257118_90_90;0.917;0.958;1.0;0.32;0.462;0.923;0.957;0.364;0.957;0.091;0.182;0.273;0.273;0.136;0.136;0.318
ENST00000373418_90_90;0.348;0.333;0.32;1.0;0.615;0.32;0.348;1.0;0.348;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENST00000373422_90_90;0.522;0.5;0.462;0.615;1.0;0.52;0.565;0.615;0.565;0.154;0.308;0.462;0.0;0.231;0.231;0.538
ENST00000431992_90_90;1.0;0.958;0.923;0.32;0.52;1.0;0.957;0.364;0.957;0.091;0.182;0.273;0.217;0.136;0.136;0.318
ENSMUST00000030588_90_90;0.952;1.0;0.957;0.348;0.565;0.957;1.0;0.32;1.0;0.08;0.16;0.24;0.28;0.12;0.12;0.28
ENSMUST00000106079_90_90;0.4;0.381;0.364;1.0;0.615;0.364;0.32;1.0;0.32;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENSMUST00000106080_90_90;0.952;1.0;0.957;0.348;0.565;0.957;1.0;0.32;1.0;0.08;0.16;0.24;0.28;0.12;0.12;0.28
ENSMUST00000120946_90_90;0.1;0.095;0.091;0.25;0.154;0.091;0.08;0.25;0.08;1.0;0.5;0.333;0.0;0.25;0.25;0.286
ENSMUST00000133439_90_90;0.2;0.19;0.182;0.5;0.308;0.182;0.16;0.5;0.16;0.5;1.0;0.667;0.0;0.4;0.4;0.571
ENSMUST00000134421_90_90;0.3;0.286;0.273;0.75;0.462;0.273;0.24;0.75;0.24;0.333;0.667;1.0;0.0;0.5;0.5;0.857
ENSMUST00000136377_90_90;0.19;0.238;0.273;0.0;0.0;0.217;0.28;0.0;0.28;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.15;0.143;0.136;0.375;0.231;0.136;0.12;0.375;0.12;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000143632_90_90;0.15;0.143;0.136;0.375;0.231;0.136;0.12;0.375;0.12;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000147572_90_90;0.35;0.333;0.318;0.875;0.538;0.318;0.28;0.875;0.28;0.286;0.571;0.857;0.0;0.429;0.429;1.0
