;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;;0.872;0.454;0.809;0.243;0.652;0.582;0.836;0.778;0.778;0.836;0.422;0.606;0.78
ENST00000246194_90_90;0.872;;;;;;;0.957;0.898;0.898;0.957;0.373;0.595;0.901
ENST00000333552_90_90;0.454;;;;;;;0.509;0.45;0.45;0.509;0.269;0.583;0.538
ENST00000375114_90_90;0.809;;;;;;;0.898;0.955;0.955;0.898;0.397;0.633;0.843
ENST00000413297_90_90;0.243;;;;;;;0.209;0.222;0.222;0.209;0.567;0.354;0.221
ENST00000442805_90_90;0.652;;;;;;;0.747;0.794;0.794;0.747;0.479;0.762;0.791
ENST00000448364_90_90;0.582;;;;;;;0.49;0.431;0.431;0.49;0.723;0.676;0.518
ENSMUST00000029120_90_90;0.836;0.957;0.509;0.898;0.209;0.747;0.49;;;;;;;
ENSMUST00000058089_90_90;0.778;0.898;0.45;0.955;0.222;0.794;0.431;;;;;;;
ENSMUST00000109701_90_90;0.778;0.898;0.45;0.955;0.222;0.794;0.431;;;;;;;
ENSMUST00000116389_90_90;0.836;0.957;0.509;0.898;0.209;0.747;0.49;;;;;;;
ENSMUST00000125872_90_90;0.422;0.373;0.269;0.397;0.567;0.479;0.723;;;;;;;
ENSMUST00000129137_90_90;0.606;0.595;0.583;0.633;0.354;0.762;0.676;;;;;;;
ENSMUST00000140713_90_90;0.78;0.901;0.538;0.843;0.221;0.791;0.518;;;;;;;
