;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.405;0.405;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;0.705;1.0
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.425;0.423;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.901;0.901;1.0;0.697;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.405;0.405;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;0.705;1.0
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.405;0.405;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;0.705;1.0
transcript37_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.405;0.402;0.311;0.326;0.311;0.323;0.311;0.311;0.317;0.317;0.323;0.308;0.322;0.322;0.323;0.306;0.303;0.28;0.283;0.303;0.213;0.303
transcript38_MGP-PahariEiJ-G0020237;0.405;0.425;0.405;0.405;0.405;1.0;1.0;0.405;0.405;0.405;0.411;0.405;0.405;0.405;0.405;0.405;0.405;0.411;0.411;0.411;0.394;0.405;0.307;0.307;0.405;0.111;0.405
transcript38_ENSCGRG00001010245;0.405;0.423;0.405;0.405;0.402;1.0;1.0;0.125;0.131;0.125;0.131;0.125;0.125;0.128;0.127;0.13;0.124;0.131;0.131;0.132;0.12;0.122;0.094;0.095;0.122;0.032;0.122
transcript32_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.311;0.405;0.125;1.0;0.955;1.0;1.0;1.0;1.0;0.981;0.983;0.937;0.983;0.972;0.972;0.998;1.0;1.0;0.974;0.974;1.0;0.908;1.0
transcript33_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.326;0.405;0.131;0.955;1.0;0.955;0.972;0.955;0.955;0.936;0.937;0.982;0.937;0.944;0.944;0.97;0.932;0.955;0.906;0.906;0.955;0.862;0.955
transcript22_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.311;0.405;0.125;1.0;0.955;1.0;1.0;1.0;1.0;0.981;0.983;0.937;0.983;0.972;0.972;0.998;1.0;1.0;0.974;0.974;1.0;0.908;1.0
