;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.516;0.456;0.493;0.362;0.236;0.526;0.48;0.052;0.974;0.67
ENST00000360057_90_90;0.516;1.0;0.625;0.84;0.088;0.283;0.54;0.784;0.304;0.431;0.495
ENST00000378098_90_90;0.456;0.625;1.0;0.735;0.117;0.407;0.415;0.783;0.083;0.517;0.609
ENST00000378099_90_90;0.493;0.84;0.735;1.0;0.099;0.33;0.622;0.652;0.159;0.451;0.52
ENST00000482940_90_90;0.362;0.088;0.117;0.099;1.0;0.183;0.336;0.104;0.0;0.354;0.099
ENST00000489798_90_90;0.236;0.283;0.407;0.33;0.183;1.0;0.296;0.347;0.0;0.23;0.231
ENST00000538212_90_90;0.526;0.54;0.415;0.622;0.336;0.296;1.0;0.379;0.151;0.487;0.297
ENST00000552881_90_90;0.48;0.784;0.783;0.652;0.104;0.347;0.379;1.0;0.232;0.464;0.536
ENST00000639328_90_90;0.052;0.304;0.083;0.159;0.0;0.0;0.151;0.232;1.0;0.067;0.103
ENSMUST00000067888_90_90;0.974;0.431;0.517;0.451;0.354;0.23;0.487;0.464;0.067;1.0;0.719
ENSMUST00000114644_90_90;0.67;0.495;0.609;0.52;0.099;0.231;0.297;0.536;0.103;0.719;1.0
