;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;1.0;0.923;0.231;1.0;0.154;0.923;0.154;0.231;0.077;0.154;0.615;0.154;0.154;0.154;0.385;0.154;0.077;0.154;0.538;0.154;1.0;0.769;0.923
ENST00000269137_90_90;0.923;1.0;0.308;0.929;0.231;0.786;0.214;0.214;0.071;0.214;0.615;0.214;0.214;0.214;0.385;0.214;0.071;0.214;0.538;0.214;0.929;0.714;1.0
ENST00000269138_90_90;0.231;0.308;1.0;0.286;0.4;0.143;0.6;0.143;0.2;0.6;0.2;0.6;0.6;0.6;0.286;0.6;0.2;0.6;0.222;0.6;0.286;0.364;0.308
ENST00000415083_90_90;1.0;0.929;0.286;1.0;0.214;0.857;0.2;0.2;0.067;0.2;0.571;0.2;0.2;0.2;0.357;0.2;0.067;0.2;0.5;0.2;1.0;0.786;0.929
ENST00000539244_90_90;0.154;0.231;0.4;0.214;1.0;0.071;0.4;0.167;0.0;0.4;0.1;0.4;0.4;0.4;0.143;0.4;0.0;0.4;0.111;0.4;0.214;0.273;0.231
ENST00000542420_90_90;0.923;0.786;0.143;0.857;0.071;1.0;0.067;0.231;0.077;0.067;0.667;0.067;0.067;0.067;0.417;0.067;0.077;0.067;0.583;0.067;0.857;0.643;0.786
ENST00000577572_90_90;0.154;0.214;0.6;0.2;0.4;0.067;1.0;0.143;0.5;0.6;0.091;0.6;0.6;0.6;0.125;0.6;0.2;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000577636_90_90;0.231;0.214;0.143;0.2;0.167;0.231;0.143;1.0;0.2;0.143;0.333;0.143;0.143;0.143;0.5;0.143;0.2;0.143;0.375;0.143;0.214;0.273;0.231
ENST00000578700_90_90;0.077;0.071;0.2;0.067;0.0;0.077;0.5;0.2;1.0;0.2;0.111;0.2;0.2;0.2;0.167;0.2;0.333;0.2;0.125;0.2;0.071;0.091;0.077
ENST00000578954_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;1.0;0.091;0.6;0.6;1.0;0.125;1.0;0.2;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000579061_90_90;0.615;0.615;0.2;0.571;0.1;0.667;0.091;0.333;0.111;0.091;1.0;0.091;0.091;0.091;0.625;0.091;0.111;0.091;0.875;0.091;0.571;0.462;0.615
ENST00000579640_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;0.6;0.091;1.0;1.0;0.6;0.125;0.6;0.5;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000580642_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;0.6;0.091;1.0;1.0;0.6;0.125;0.6;0.5;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000580751_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;1.0;0.091;0.6;0.6;1.0;0.125;1.0;0.2;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000581021_90_90;0.385;0.385;0.286;0.357;0.143;0.417;0.125;0.5;0.167;0.125;0.625;0.125;0.125;0.125;1.0;0.125;0.167;0.125;0.714;0.125;0.357;0.455;0.385
ENST00000581570_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;1.0;0.091;0.6;0.6;1.0;0.125;1.0;0.2;0.6;0.1;0.6;0.214;0.273;0.231
ENST00000582448_90_90;0.077;0.071;0.2;0.067;0.0;0.077;0.2;0.2;0.333;0.2;0.111;0.5;0.5;0.2;0.167;0.2;1.0;0.2;0.125;0.2;0.071;0.091;0.077
ENST00000582792_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;0.6;0.091;0.6;0.6;0.6;0.125;0.6;0.2;1.0;0.1;0.6;0.214;0.273;0.231
ENST00000584083_90_90;0.538;0.538;0.222;0.5;0.111;0.583;0.1;0.375;0.125;0.1;0.875;0.1;0.1;0.1;0.714;0.1;0.125;0.1;1.0;0.1;0.5;0.5;0.538
ENST00000585121_90_90;0.154;0.214;0.6;0.2;0.4;0.067;0.6;0.143;0.2;0.6;0.091;0.6;0.6;0.6;0.125;0.6;0.2;0.6;0.1;1.0;0.214;0.273;0.231
ENSMUST00000040924_90_90;1.0;0.929;0.286;1.0;0.214;0.857;0.214;0.214;0.071;0.214;0.571;0.214;0.214;0.214;0.357;0.214;0.071;0.214;0.5;0.214;1.0;0.786;0.929
ENSMUST00000040964_90_90;0.769;0.714;0.364;0.786;0.273;0.643;0.273;0.273;0.091;0.273;0.462;0.273;0.273;0.273;0.455;0.273;0.091;0.273;0.5;0.273;0.786;1.0;0.714
ENSMUST00000092041_90_90;0.923;1.0;0.308;0.929;0.231;0.786;0.231;0.231;0.077;0.231;0.615;0.231;0.231;0.231;0.385;0.231;0.077;0.231;0.538;0.231;0.929;0.714;1.0
