;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.559;0.386;0.363;0.389;0.316;0.321;0.355;0.336;0.349;0.328;0.365;0.371;0.381;0.37;0.343;0.334;0.49;0.504;0.361;0.384;0.511;0.521;0.42;0.394;0.402;0.495;0.412;0.4;0.393;0.377;0.489;0.498;0.514;0.549;0.524;0.634;0.0
ENSCAFT00000003727_90_90;0.559;1.0;0.272;0.629;0.677;0.611;0.624;0.683;0.656;0.67;0.574;0.705;0.721;0.661;0.642;0.602;0.585;0.791;0.82;0.595;0.683;0.752;0.768;0.674;0.703;0.718;0.804;0.661;0.641;0.629;0.669;0.795;0.811;0.838;0.81;0.856;0.416;0.128
ENST00000502815_90_90;0.386;0.272;1.0;0.328;0.352;0.472;0.482;0.32;0.51;0.314;0.494;0.33;0.336;0.345;0.334;0.522;0.505;0.257;0.264;0.317;0.283;0.267;0.271;0.308;0.29;0.295;0.26;0.303;0.295;0.29;0.279;0.257;0.261;0.268;0.284;0.272;0.393;0.0
ENST00000504896_90_90;0.363;0.629;0.328;1.0;0.904;0.771;0.748;0.924;0.693;0.951;0.805;0.887;0.861;0.933;0.972;0.748;0.78;0.649;0.674;0.837;0.777;0.702;0.679;0.791;0.778;0.754;0.658;0.817;0.815;0.839;0.8;0.673;0.651;0.651;0.657;0.629;0.261;0.121
ENST00000506700_90_90;0.389;0.677;0.352;0.904;1.0;0.693;0.708;0.883;0.75;0.861;0.723;0.918;0.946;0.968;0.93;0.765;0.74;0.659;0.685;0.796;0.771;0.657;0.67;0.859;0.797;0.817;0.636;0.838;0.809;0.791;0.754;0.629;0.643;0.702;0.709;0.677;0.278;0.138
ENST00000506720_90_90;0.316;0.611;0.472;0.771;0.693;1.0;0.974;0.789;0.915;0.814;0.956;0.758;0.735;0.716;0.748;0.897;0.93;0.6;0.621;0.68;0.671;0.615;0.594;0.609;0.671;0.649;0.639;0.631;0.632;0.653;0.692;0.652;0.631;0.6;0.574;0.611;0.225;0.108
ENST00000506746_90_90;0.321;0.624;0.482;0.748;0.708;0.974;1.0;0.808;0.939;0.789;0.93;0.735;0.752;0.693;0.765;0.871;0.954;0.58;0.6;0.694;0.683;0.594;0.606;0.621;0.649;0.661;0.618;0.609;0.644;0.632;0.671;0.631;0.643;0.612;0.585;0.624;0.228;0.112
ENST00000507164_90_90;0.355;0.683;0.32;0.924;0.883;0.789;0.808;1.0;0.752;0.972;0.748;0.909;0.934;0.861;0.95;0.693;0.765;0.667;0.692;0.817;0.839;0.651;0.665;0.771;0.8;0.818;0.676;0.754;0.794;0.777;0.822;0.692;0.706;0.707;0.643;0.684;0.254;0.12
ENST00000507625_90_90;0.336;0.656;0.51;0.693;0.75;0.915;0.939;0.752;1.0;0.735;0.871;0.776;0.795;0.732;0.708;0.925;0.893;0.606;0.629;0.642;0.661;0.574;0.585;0.653;0.681;0.695;0.617;0.639;0.621;0.609;0.649;0.611;0.624;0.642;0.615;0.656;0.237;0.122
ENST00000508693_90_90;0.349;0.67;0.314;0.951;0.861;0.814;0.789;0.972;0.735;1.0;0.771;0.936;0.909;0.887;0.924;0.716;0.748;0.689;0.715;0.8;0.822;0.673;0.651;0.754;0.824;0.8;0.698;0.778;0.777;0.8;0.845;0.714;0.692;0.692;0.629;0.67;0.25;0.115
ENST00000508946_90_90;0.328;0.574;0.494;0.805;0.723;0.956;0.93;0.748;0.871;0.771;1.0;0.716;0.693;0.748;0.78;0.939;0.973;0.564;0.585;0.709;0.632;0.638;0.617;0.635;0.631;0.609;0.602;0.657;0.659;0.68;0.653;0.615;0.594;0.563;0.596;0.574;0.233;0.113
ENST00000509896_90_90;0.365;0.705;0.33;0.887;0.918;0.758;0.735;0.909;0.776;0.936;0.716;1.0;0.97;0.948;0.861;0.757;0.693;0.723;0.754;0.744;0.8;0.652;0.629;0.797;0.871;0.845;0.701;0.823;0.754;0.778;0.824;0.693;0.67;0.729;0.662;0.706;0.261;0.126
ENST00000511324_90_90;0.371;0.721;0.336;0.861;0.946;0.735;0.752;0.934;0.795;0.909;0.693;0.97;1.0;0.918;0.883;0.732;0.708;0.7;0.729;0.76;0.818;0.629;0.643;0.817;0.845;0.866;0.677;0.797;0.771;0.754;0.8;0.67;0.684;0.746;0.677;0.721;0.266;0.131
ENST00000512091_90_90;0.381;0.661;0.345;0.933;0.968;0.716;0.693;0.861;0.732;0.887;0.748;0.948;0.918;1.0;0.904;0.792;0.723;0.681;0.71;0.78;0.754;0.68;0.657;0.838;0.823;0.797;0.659;0.865;0.791;0.817;0.778;0.652;0.629;0.685;0.692;0.662;0.273;0.133
ENST00000514157_90_90;0.37;0.642;0.334;0.972;0.93;0.748;0.765;0.95;0.708;0.924;0.78;0.861;0.883;0.904;1.0;0.723;0.8;0.628;0.651;0.857;0.794;0.679;0.693;0.809;0.754;0.771;0.635;0.791;0.833;0.815;0.777;0.651;0.665;0.664;0.67;0.643;0.265;0.126
ENST00000514591_90_90;0.343;0.602;0.522;0.748;0.765;0.897;0.871;0.693;0.925;0.716;0.939;0.757;0.732;0.792;0.723;1.0;0.911;0.59;0.613;0.656;0.609;0.619;0.596;0.667;0.662;0.639;0.6;0.691;0.635;0.657;0.631;0.595;0.574;0.59;0.626;0.602;0.243;0.122
ENST00000514996_90_90;0.334;0.585;0.505;0.78;0.74;0.93;0.954;0.765;0.893;0.748;0.973;0.693;0.708;0.723;0.8;0.911;1.0;0.544;0.563;0.724;0.644;0.617;0.629;0.647;0.609;0.621;0.581;0.635;0.67;0.659;0.632;0.594;0.606;0.574;0.609;0.585;0.237;0.117
ENSMUST00000036068_90_90;0.49;0.791;0.257;0.649;0.659;0.6;0.58;0.667;0.606;0.689;0.564;0.723;0.7;0.681;0.628;0.59;0.544;1.0;0.91;0.611;0.727;0.8;0.778;0.723;0.789;0.765;0.851;0.746;0.686;0.709;0.749;0.841;0.819;0.885;0.818;0.861;0.419;0.107
ENSMUST00000072521_90_90;0.504;0.82;0.264;0.674;0.685;0.621;0.6;0.692;0.629;0.715;0.585;0.754;0.729;0.71;0.651;0.613;0.563;0.91;1.0;0.661;0.794;0.872;0.847;0.798;0.869;0.843;0.926;0.824;0.752;0.776;0.819;0.916;0.89;0.972;0.898;0.945;0.432;0.146
