;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.326;1.0;0.864;0.955;0.955;0.886;0.886;0.349;0.75;0.465;0.279;0.705;0.659;0.568;0.727;0.442;0.636;0.545;0.591;0.614;0.886;1.0;0.667;0.9;0.886;0.955;0.886;0.886;0.864;0.886;0.512;0.14;1.0;0.9
ENSCAFT00000006413_90_90;0.326;1.0;0.433;0.385;0.349;0.349;0.375;0.375;0.0;0.289;0.0;0.0;0.237;0.184;0.079;0.263;0.0;0.158;0.053;0.105;0.132;0.375;0.433;0.269;0.481;0.375;0.349;0.375;0.375;0.385;0.375;0.0;0.0;0.433;0.481
ENSCAFT00000011282_90_90;1.0;0.433;1.0;0.867;0.967;0.967;0.9;0.9;0.3;0.767;0.4;0.267;0.7;0.633;0.5;0.733;0.367;0.6;0.467;0.533;0.567;0.9;1.0;0.629;0.886;0.9;0.967;0.9;0.9;0.867;0.9;0.433;0.167;1.0;0.886
ENST00000229471_90_90;0.864;0.385;0.867;1.0;0.886;0.886;0.951;0.951;0.385;0.872;0.513;0.308;0.821;0.769;0.667;0.846;0.487;0.744;0.641;0.692;0.718;0.951;0.867;0.769;0.767;0.951;0.886;0.951;0.951;1.0;0.951;0.564;0.154;0.867;0.767
ENST00000354650_90_90;0.955;0.349;0.967;0.886;1.0;1.0;0.848;0.848;0.341;0.773;0.455;0.273;0.727;0.682;0.591;0.75;0.432;0.659;0.568;0.614;0.636;0.848;0.967;0.69;0.867;0.848;1.0;0.848;0.848;0.886;0.848;0.5;0.136;0.967;0.867
ENST00000368667_90_90;0.955;0.349;0.967;0.886;1.0;1.0;0.848;0.848;0.341;0.773;0.455;0.273;0.727;0.682;0.591;0.75;0.432;0.659;0.568;0.614;0.636;0.848;0.967;0.69;0.867;0.848;1.0;0.848;0.848;0.886;0.848;0.5;0.136;0.967;0.867
ENST00000368678_90_90;0.886;0.375;0.9;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.9;0.741;0.8;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.9;0.8
ENST00000368682_90_90;0.886;0.375;0.9;0.951;0.848;0.848;1.0;1.0;0.366;0.829;0.488;0.293;0.78;0.732;0.634;0.805;0.463;0.707;0.61;0.659;0.683;1.0;0.9;0.741;0.8;1.0;0.848;1.0;1.0;0.951;1.0;0.537;0.146;0.9;0.8
ENST00000462598_90_90;0.349;0.0;0.3;0.385;0.341;0.341;0.366;0.366;1.0;0.441;0.75;0.8;0.469;0.5;0.577;0.455;0.789;0.517;0.6;0.556;0.536;0.366;0.3;0.45;0.2;0.366;0.341;0.366;0.366;0.385;0.366;0.682;0.4;0.3;0.2
ENST00000462856_90_90;0.75;0.289;0.767;0.872;0.773;0.773;0.829;0.829;0.441;1.0;0.588;0.353;0.941;0.882;0.765;0.971;0.559;0.853;0.735;0.794;0.824;0.829;0.767;0.87;0.667;0.829;0.773;0.829;0.829;0.872;0.829;0.647;0.176;0.767;0.667
ENST00000484067_90_90;0.465;0.0;0.4;0.513;0.455;0.455;0.488;0.488;0.75;0.588;1.0;0.6;0.625;0.667;0.769;0.606;0.95;0.69;0.8;0.741;0.714;0.488;0.4;0.6;0.3;0.488;0.455;0.488;0.488;0.513;0.488;0.909;0.3;0.4;0.3
ENST00000487824_90_90;0.279;0.0;0.267;0.308;0.273;0.273;0.293;0.293;0.8;0.353;0.6;1.0;0.375;0.4;0.462;0.364;0.632;0.414;0.48;0.444;0.429;0.293;0.267;0.4;0.167;0.293;0.273;0.293;0.293;0.308;0.293;0.545;0.5;0.267;0.167
