;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.75;0.75;1.0;0.333;0.5;0.5;0.5;1.0;0.75
ENSCAFT00000046942_90_90;0.75;1.0;1.0;0.75;0.25;0.75;0.75;0.75;0.75;1.0
ENST00000229395_90_90;0.75;1.0;1.0;0.75;0.25;0.6;0.6;0.6;0.75;1.0
ENST00000327214_90_90;1.0;0.75;0.75;1.0;0.333;0.4;0.4;0.4;1.0;0.75
ENST00000544111_90_90;0.333;0.25;0.25;0.333;1.0;0.25;0.25;0.25;0.333;0.25
ENST00000546072_90_90;0.5;0.75;0.6;0.4;0.25;1.0;1.0;1.0;0.4;0.6
ENSMUST00000037836_90_90;0.5;0.75;0.6;0.4;0.25;1.0;1.0;1.0;0.4;0.6
ENSMUST00000058245_90_90;0.5;0.75;0.6;0.4;0.25;1.0;1.0;1.0;0.4;0.6
ENSMUST00000067404_90_90;1.0;0.75;0.75;1.0;0.333;0.4;0.4;0.4;1.0;0.75
ENSMUST00000111663_90_90;0.75;1.0;1.0;0.75;0.25;0.6;0.6;0.6;0.75;1.0
