;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.465;0.478;0.345;0.0;0.117;0.348;0.0;0.0;0.353;0.0;0.317;0.305;0.666;0.31;0.129;0.309
ENSCAFT00000023892_90_90;0.465;1.0;0.787;0.42;0.0;0.298;0.424;0.0;0.0;0.431;0.237;0.402;0.387;0.742;0.393;0.217;0.393
ENSCAFT00000043832_90_90;0.478;0.787;1.0;0.306;0.0;0.491;0.309;0.0;0.0;0.314;0.17;0.394;0.381;0.696;0.386;0.214;0.386
ENST00000292476_90_90;0.345;0.42;0.306;1.0;0.309;0.113;0.903;0.473;0.655;0.767;0.584;0.604;0.845;0.162;0.716;0.662;0.746
ENST00000412686_90_90;0.0;0.0;0.0;0.309;1.0;0.0;0.342;0.141;0.462;0.225;0.239;0.233;0.321;0.0;0.367;0.455;0.357
ENST00000430038_90_90;0.117;0.298;0.491;0.113;0.0;1.0;0.123;0.0;0.0;0.141;0.075;0.082;0.059;0.348;0.071;0.045;0.067
ENST00000436336_90_90;0.348;0.424;0.309;0.903;0.342;0.123;1.0;0.394;0.725;0.849;0.636;0.67;0.746;0.183;0.795;0.631;0.828
ENST00000440514_90_90;0.0;0.0;0.0;0.473;0.141;0.0;0.394;1.0;0.492;0.344;0.401;0.427;0.585;0.0;0.458;0.446;0.487
ENST00000441580_90_90;0.0;0.0;0.0;0.655;0.462;0.0;0.725;0.492;1.0;0.574;0.612;0.482;0.578;0.0;0.609;0.651;0.642
ENST00000451876_90_90;0.353;0.431;0.314;0.767;0.225;0.141;0.849;0.344;0.574;1.0;0.508;0.795;0.604;0.228;0.692;0.468;0.67
ENST00000452047_90_90;0.0;0.237;0.17;0.584;0.239;0.075;0.636;0.401;0.612;0.508;1.0;0.379;0.477;0.0;0.494;0.52;0.527
ENSMUST00000070487_90_90;0.317;0.402;0.394;0.604;0.233;0.082;0.67;0.427;0.482;0.795;0.379;1.0;0.767;0.255;0.875;0.54;0.849
ENSMUST00000160422_90_90;0.305;0.387;0.381;0.845;0.321;0.059;0.746;0.585;0.578;0.604;0.477;0.767;1.0;0.201;0.877;0.711;0.903
ENSMUST00000160574_90_90;0.666;0.742;0.696;0.162;0.0;0.348;0.183;0.0;0.0;0.228;0.0;0.255;0.201;1.0;0.226;0.12;0.22
ENSMUST00000160629_90_90;0.31;0.393;0.386;0.716;0.367;0.071;0.795;0.458;0.609;0.692;0.494;0.875;0.877;0.226;1.0;0.654;0.97
ENSMUST00000160762_90_90;0.129;0.217;0.214;0.662;0.455;0.045;0.631;0.446;0.651;0.468;0.52;0.54;0.711;0.12;0.654;1.0;0.683
ENSMUST00000162244_90_90;0.309;0.393;0.386;0.746;0.357;0.067;0.828;0.487;0.642;0.67;0.527;0.849;0.903;0.22;0.97;0.683;1.0
