;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.891;0.495;0.887;0.75;0.277;0.925;0.75;1.0;0.833;1.0;0.619;0.292;0.053;0.124
ENST00000360194_90_90;0.891;1.0;0.555;0.906;0.78;0.344;0.943;0.78;0.843;0.682;0.843;0.537;0.271;0.0;0.138
ENST00000525338_90_90;0.495;0.555;1.0;0.574;0.647;0.392;0.53;0.647;0.455;0.549;0.455;0.495;0.353;0.0;0.148
ENST00000528985_90_90;0.887;0.906;0.574;1.0;0.701;0.354;0.861;0.701;0.839;0.678;0.839;0.539;0.272;0.0;0.139
ENST00000529731_90_90;0.75;0.78;0.647;0.701;1.0;0.267;0.836;1.0;0.742;0.881;0.742;0.345;0.408;0.0;0.157
ENST00000530043_90_90;0.277;0.344;0.392;0.354;0.267;1.0;0.329;0.267;0.255;0.188;0.255;0.465;0.254;0.0;0.0
ENST00000533050_90_90;0.925;0.943;0.53;0.861;0.836;0.329;1.0;0.836;0.903;0.742;0.903;0.509;0.335;0.0;0.129
ENST00000627851_90_90;0.75;0.78;0.647;0.701;1.0;0.267;0.836;1.0;0.742;0.881;0.742;0.345;0.408;0.0;0.157
ENSMUST00000059057_90_90;1.0;0.843;0.455;0.839;0.742;0.255;0.903;0.742;1.0;0.839;1.0;0.593;0.306;0.048;0.117
ENSMUST00000063782_90_90;0.833;0.682;0.549;0.678;0.881;0.188;0.742;0.881;0.839;1.0;0.839;0.431;0.37;0.057;0.142
ENSMUST00000121564_90_90;1.0;0.843;0.455;0.839;0.742;0.255;0.903;0.742;1.0;0.839;1.0;0.593;0.306;0.048;0.117
ENSMUST00000125087_90_90;0.619;0.537;0.495;0.539;0.345;0.465;0.509;0.345;0.593;0.431;0.593;1.0;0.298;0.085;0.0
ENSMUST00000133739_90_90;0.292;0.271;0.353;0.272;0.408;0.254;0.335;0.408;0.306;0.37;0.306;0.298;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.048;0.057;0.048;0.085;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.124;0.138;0.148;0.139;0.157;0.0;0.129;0.157;0.117;0.142;0.117;0.0;0.0;0.0;1.0
