;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.892;0.976;0.914;0.903;0.961;0.933;0.923;0.993;0.969;0.969
transcript9_MGP-PahariEiJ-G0020237;0.892;1.0;0.87;0.976;0.988;0.855;0.828;0.818;0.886;0.864;0.864
transcript37_MGP-PahariEiJ-G0020237;0.976;0.87;1.0;0.891;0.881;0.985;0.958;0.948;0.968;0.994;0.994
transcript39_MGP-PahariEiJ-G0020237;0.914;0.976;0.891;1.0;0.988;0.876;0.848;0.839;0.907;0.885;0.885
transcript49_MGP-PahariEiJ-G0020237;0.903;0.988;0.881;0.988;1.0;0.866;0.839;0.829;0.897;0.875;0.875
transcript50_MGP-PahariEiJ-G0020237;0.961;0.855;0.985;0.876;0.866;1.0;0.943;0.933;0.954;0.978;0.978
transcript51_MGP-PahariEiJ-G0020237;0.933;0.828;0.958;0.848;0.839;0.943;1.0;0.99;0.927;0.951;0.951
transcript52_MGP-PahariEiJ-G0020237;0.923;0.818;0.948;0.839;0.829;0.933;0.99;1.0;0.917;0.942;0.942
transcript36_ENSRNOG00000031503;0.993;0.886;0.968;0.907;0.897;0.954;0.927;0.917;1.0;0.98;0.98
transcript37_ENSRNOG00000031503;0.969;0.864;0.994;0.885;0.875;0.978;0.951;0.942;0.98;1.0;1.0
transcript44_ENSRNOG00000031503;0.969;0.864;0.994;0.885;0.875;0.978;0.951;0.942;0.98;1.0;1.0
