;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript19_ENSAPOG00000016134;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.831;0.783;1.0;0.753;0.831
transcript19_ENSAPOG00000023408;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.831;0.783;1.0;0.753;0.831
transcript19_ENSAOCG00000015695;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.794;0.728;1.0;0.716;0.794
transcript22_ENSAPOG00000016134;0.92;0.92;0.92;1.0;1.0;1.0;0.615;0.567;0.425;0.43;0.696;0.757;0.92;0.92;0.92;0.699;0.62;0.696;0.767;0.75;0.699;0.92;0.825;0.75
transcript22_ENSAPOG00000023408;0.916;0.916;0.916;1.0;1.0;1.0;0.615;0.567;0.425;0.43;0.693;0.754;0.916;0.916;0.916;0.696;0.617;0.693;0.764;0.748;0.696;0.916;0.825;0.748
transcript22_ENSPNYG00000024266;0.916;0.916;0.916;1.0;1.0;1.0;0.615;0.567;0.425;0.43;0.693;0.754;0.916;0.916;0.916;0.696;0.617;0.693;0.764;0.778;0.696;0.916;0.855;0.778
transcript27_ENSAPOG00000016134;0.572;0.572;0.572;0.615;0.615;0.615;1.0;1.0;0.7;0.834;0.72;0.374;0.572;0.572;0.572;0.653;0.722;0.72;0.376;0.421;0.653;0.572;0.459;0.421
transcript27_ENSAOCG00000015695;0.531;0.531;0.531;0.567;0.567;0.567;1.0;1.0;0.7;0.834;0.617;0.348;0.531;0.531;0.531;0.75;0.8;0.617;0.347;0.383;0.615;0.531;0.418;0.383
transcript28_ENSAPOG00000016134;0.395;0.395;0.395;0.425;0.425;0.425;0.7;0.7;1.0;1.0;0.502;0.476;0.395;0.395;0.395;0.455;0.504;0.502;0.178;0.283;0.455;0.395;0.308;0.283
transcript28_ENSAOCG00000015695;0.407;0.407;0.407;0.43;0.43;0.43;0.834;0.834;1.0;1.0;0.464;0.43;0.407;0.407;0.407;0.666;0.7;0.464;0.183;0.266;0.484;0.407;0.29;0.266
transcript32_ENSAPOG00000023408;0.778;0.778;0.778;0.696;0.693;0.693;0.72;0.617;0.502;0.464;1.0;0.619;0.778;0.778;0.778;0.562;0.622;1.0;0.625;0.635;0.562;0.778;0.556;0.635
transcript33_ENSAPOG00000023408;0.84;0.84;0.84;0.757;0.754;0.754;0.374;0.348;0.476;0.43;0.619;1.0;0.84;0.84;0.84;0.623;0.541;0.619;0.685;0.7;0.623;0.84;0.621;0.7
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.794;0.728;1.0;0.716;0.794
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.861;0.783;1.0;0.784;0.861
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.683;0.674;1.0;0.621;0.683
transcript26_ENSAOCG00000015695;0.783;0.783;0.783;0.699;0.696;0.696;0.653;0.75;0.455;0.666;0.562;0.623;0.783;0.783;0.783;1.0;0.916;0.562;0.626;0.637;0.896;0.783;0.556;0.637
transcript29_ENSAOCG00000015695;0.706;0.706;0.706;0.62;0.617;0.617;0.722;0.8;0.504;0.7;0.622;0.541;0.706;0.706;0.706;0.916;1.0;0.622;0.544;0.558;0.807;0.706;0.477;0.558
transcript14_ENSPNYG00000024266;0.778;0.778;0.778;0.696;0.693;0.693;0.72;0.617;0.502;0.464;1.0;0.619;0.778;0.778;0.778;0.562;0.622;1.0;0.625;0.661;0.562;0.778;0.583;0.661
transcript21_ENSPNYG00000024266;0.85;0.85;0.85;0.767;0.764;0.764;0.376;0.347;0.178;0.183;0.625;0.685;0.85;0.85;0.85;0.626;0.544;0.625;1.0;0.728;0.626;0.85;0.649;0.728
transcript3_ENSXMAG00000026005;0.831;0.831;0.794;0.75;0.748;0.778;0.421;0.383;0.283;0.266;0.635;0.7;0.794;0.861;0.683;0.637;0.558;0.661;0.728;1.0;0.665;0.683;0.945;1.0
transcript10_ENSXMAG00000026005;0.783;0.783;0.728;0.699;0.696;0.696;0.653;0.615;0.455;0.484;0.562;0.623;0.728;0.783;0.674;0.896;0.807;0.562;0.626;0.665;1.0;0.674;0.603;0.665
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.92;0.916;0.916;0.572;0.531;0.395;0.407;0.778;0.84;1.0;1.0;1.0;0.783;0.706;0.778;0.85;0.683;0.674;1.0;0.621;0.683
transcript16_ENSXMAG00000026005;0.753;0.753;0.716;0.825;0.825;0.855;0.459;0.418;0.308;0.29;0.556;0.621;0.716;0.784;0.621;0.556;0.477;0.583;0.649;0.945;0.603;0.621;1.0;0.945
transcript17_ENSXMAG00000026005;0.831;0.831;0.794;0.75;0.748;0.778;0.421;0.383;0.283;0.266;0.635;0.7;0.794;0.861;0.683;0.637;0.558;0.661;0.728;1.0;0.665;0.683;0.945;1.0
