;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.3;0.333;0.818;0.826;0.136;0.708;0.72;0.72;0.68;0.68;0.625;0.6;0.15;0.609;0.25;0.72;0.19
ENST00000324778_90_90;0.3;1.0;0.0;0.3;0.273;0.1;0.286;0.261;0.261;0.273;0.273;0.316;0.3;0.286;0.353;0.571;0.261;0.375
ENST00000367632_90_90;0.333;0.0;1.0;0.4;0.364;0.0;0.261;0.24;0.24;0.25;0.25;0.174;0.167;0.0;0.19;0.0;0.24;0.0
ENST00000367634_90_90;0.818;0.3;0.4;1.0;0.909;0.19;0.708;0.654;0.654;0.615;0.615;0.56;0.538;0.15;0.609;0.25;0.654;0.19
ENST00000367635_90_90;0.826;0.273;0.364;0.909;1.0;0.174;0.654;0.731;0.731;0.692;0.692;0.64;0.615;0.136;0.56;0.227;0.731;0.174
ENST00000415888_90_90;0.136;0.1;0.0;0.19;0.174;1.0;0.13;0.12;0.12;0.125;0.125;0.143;0.136;0.0;0.158;0.0;0.12;0.0
ENSMUST00000027886_90_90;0.708;0.286;0.261;0.708;0.654;0.13;1.0;0.913;0.913;0.87;0.72;0.6;0.708;0.143;0.652;0.238;0.913;0.182
ENSMUST00000063199_90_90;0.72;0.261;0.24;0.654;0.731;0.12;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000171292_90_90;0.72;0.261;0.24;0.654;0.731;0.12;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000172057_90_90;0.68;0.273;0.25;0.615;0.692;0.125;0.87;0.957;0.957;1.0;0.76;0.64;0.75;0.087;0.56;0.174;0.957;0.125
ENSMUST00000185198_90_90;0.68;0.273;0.25;0.615;0.692;0.125;0.72;0.8;0.8;0.76;1.0;0.708;0.826;0.136;0.625;0.227;0.8;0.174
ENSMUST00000188656_90_90;0.625;0.316;0.174;0.56;0.64;0.143;0.6;0.68;0.68;0.64;0.708;1.0;0.773;0.158;0.895;0.263;0.68;0.2
ENSMUST00000189316_90_90;0.6;0.3;0.167;0.538;0.615;0.136;0.708;0.792;0.792;0.75;0.826;0.773;1.0;0.15;0.682;0.25;0.792;0.19
ENSMUST00000189648_90_90;0.15;0.286;0.0;0.15;0.136;0.0;0.143;0.13;0.13;0.087;0.136;0.158;0.15;1.0;0.176;0.6;0.13;0.6
ENSMUST00000190648_90_90;0.609;0.353;0.19;0.609;0.56;0.158;0.652;0.6;0.6;0.56;0.625;0.895;0.682;0.176;1.0;0.294;0.6;0.222
ENSMUST00000190762_90_90;0.25;0.571;0.0;0.25;0.227;0.0;0.238;0.217;0.217;0.174;0.227;0.263;0.25;0.6;0.294;1.0;0.217;0.667
ENSMUST00000191605_90_90;0.72;0.261;0.24;0.654;0.731;0.12;0.913;1.0;1.0;0.957;0.8;0.68;0.792;0.13;0.6;0.217;1.0;0.167
ENSMUST00000192343_90_90;0.19;0.375;0.0;0.19;0.174;0.0;0.182;0.167;0.167;0.125;0.174;0.2;0.19;0.6;0.222;0.667;0.167;1.0
