;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.5;0.545;0.9;0.727;0.545;0.3;0.222;0.875;0.875
ENSCAFT00000008903_90_90;0.5;1.0;1.0;0.636;0.8;1.0;0.333;0.25;0.75;0.75
ENST00000343600_90_90;0.545;1.0;1.0;0.636;0.8;1.0;0.3;0.25;0.667;0.75
ENST00000345429_90_90;0.9;0.636;0.636;1.0;0.818;0.636;0.364;0.2;0.889;1.0
ENST00000376673_90_90;0.727;0.8;0.8;0.818;1.0;0.8;0.25;0.2;0.778;0.875
ENST00000397601_90_90;0.545;1.0;1.0;0.636;0.8;1.0;0.3;0.25;0.667;0.75
ENST00000449284_90_90;0.3;0.333;0.3;0.364;0.25;0.3;1.0;0.0;0.444;0.333
ENST00000469707_90_90;0.222;0.25;0.25;0.2;0.2;0.25;0.0;1.0;0.222;0.25
ENSMUST00000088419_90_90;0.875;0.75;0.667;0.889;0.778;0.667;0.444;0.222;1.0;0.889
ENSMUST00000167459_90_90;0.875;0.75;0.75;1.0;0.875;0.75;0.333;0.25;0.889;1.0
