;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.938;1.0;0.938;0.238;0.59;1.0;0.716;1.0;0.698;1.0;0.932;0.131;0.446
ENSCAFT00000036937_90_90;0.938;1.0;0.938;1.0;0.252;0.635;0.938;0.764;0.932;0.748;0.932;1.0;0.14;0.473
ENST00000258180_90_90;1.0;0.938;1.0;0.943;0.229;0.605;1.0;0.699;1.0;0.664;1.0;0.932;0.131;0.446
ENST00000538274_90_90;0.938;1.0;0.943;1.0;0.241;0.647;0.943;0.738;0.932;0.707;0.932;1.0;0.14;0.473
ENST00000562564_90_90;0.238;0.252;0.229;0.241;1.0;0.41;0.229;0.102;0.25;0.114;0.25;0.267;0.0;0.0
ENST00000562580_90_90;0.59;0.635;0.605;0.647;0.41;1.0;0.605;0.394;0.572;0.34;0.572;0.619;0.0;0.092
ENST00000566428_90_90;1.0;0.938;1.0;0.943;0.229;0.605;1.0;0.699;1.0;0.664;1.0;0.932;0.131;0.446
ENST00000567328_90_90;0.716;0.764;0.699;0.738;0.102;0.394;0.699;1.0;0.664;1.0;0.664;0.707;0.175;0.597
ENSMUST00000034281_90_90;1.0;0.932;1.0;0.932;0.25;0.572;1.0;0.664;1.0;0.664;1.0;0.932;0.131;0.446
ENSMUST00000108948_90_90;0.698;0.748;0.664;0.707;0.114;0.34;0.664;1.0;0.664;1.0;0.664;0.707;0.175;0.597
ENSMUST00000108950_90_90;1.0;0.932;1.0;0.932;0.25;0.572;1.0;0.664;1.0;0.664;1.0;0.932;0.131;0.446
ENSMUST00000108951_90_90;0.932;1.0;0.932;1.0;0.267;0.619;0.932;0.707;0.932;0.707;0.932;1.0;0.14;0.473
ENSMUST00000132229_90_90;0.131;0.14;0.131;0.14;0.0;0.0;0.131;0.175;0.131;0.175;0.131;0.14;1.0;0.301
ENSMUST00000153725_90_90;0.446;0.473;0.446;0.473;0.0;0.092;0.446;0.597;0.446;0.597;0.446;0.473;0.301;1.0
