;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript7_ENSMSIG00000000513;1.0;0.915;0.516;0.531;0.328;0.538;0.538;0.542;0.534;0.534;0.469;0.469;0.265;0.273;0.306;0.306;0.333;0.544;0.274;0.275;0.325;0.325;0.32;0.34;0.312;0.255;0.255;0.255;0.314;0.303;0.247
transcript7_ENSMUSG00000054036;0.915;1.0;0.549;0.697;0.521;0.683;0.683;0.687;0.554;0.554;0.536;0.536;0.425;0.445;0.513;0.513;0.53;0.586;0.45;0.459;0.539;0.539;0.532;0.553;0.535;0.403;0.403;0.403;0.51;0.51;0.392
transcript43_MGP-CAROLIEiJ-G0020234;0.516;0.549;1.0;0.582;0.315;0.58;0.58;0.585;0.974;0.974;0.831;0.831;0.448;0.415;0.3;0.3;0.326;0.978;0.442;0.447;0.353;0.353;0.349;0.335;0.308;0.43;0.43;0.43;0.354;0.292;0.431
transcript26_MGP-PahariEiJ-G0020237;0.531;0.697;0.582;1.0;0.374;0.996;0.996;0.989;0.586;0.586;0.744;0.744;0.686;0.644;0.492;0.492;0.388;0.625;0.735;0.848;1.0;1.0;0.995;0.362;0.456;0.672;0.672;0.73;0.961;0.477;0.632
transcript33_ENSRNOG00000031503;0.328;0.521;0.315;0.374;1.0;0.239;0.239;0.24;0.321;0.321;0.295;0.295;0.718;0.742;0.841;0.841;0.923;0.473;0.719;0.707;0.578;0.578;0.581;0.928;0.846;0.748;0.748;0.748;0.614;0.895;0.696
transcript26_ENSMSIG00000000513;0.538;0.683;0.58;0.996;0.239;1.0;1.0;0.993;0.593;0.593;0.748;0.748;0.426;0.4;0.307;0.307;0.244;0.618;0.444;0.486;0.648;0.648;0.645;0.233;0.293;0.418;0.418;0.486;0.64;0.306;0.413
transcript47_ENSMSIG00000000513;0.538;0.683;0.58;0.996;0.239;1.0;1.0;0.993;0.593;0.593;0.748;0.748;0.426;0.4;0.307;0.307;0.244;0.618;0.444;0.486;0.648;0.648;0.645;0.233;0.293;0.418;0.418;0.486;0.64;0.306;0.413
transcript49_ENSMSIG00000000513;0.542;0.687;0.585;0.989;0.24;0.993;0.993;1.0;0.598;0.598;0.742;0.742;0.421;0.395;0.302;0.302;0.245;0.623;0.439;0.481;0.644;0.644;0.641;0.234;0.288;0.413;0.413;0.481;0.636;0.301;0.408
transcript41_ENSMSIG00000000513;0.534;0.554;0.974;0.586;0.321;0.593;0.593;0.598;1.0;1.0;0.853;0.853;0.446;0.414;0.3;0.3;0.325;0.978;0.449;0.454;0.358;0.358;0.354;0.343;0.316;0.435;0.435;0.435;0.358;0.297;0.43
transcript43_ENSMSIG00000000513;0.534;0.554;0.974;0.586;0.321;0.593;0.593;0.598;1.0;1.0;0.853;0.853;0.446;0.414;0.3;0.3;0.325;0.978;0.449;0.454;0.358;0.358;0.354;0.343;0.316;0.435;0.435;0.435;0.358;0.297;0.43
