;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.1;0.104;0.133;0.131;0.134;0.075;0.085;0.088;0.101;0.1;0.084;0.09;0.086
transcript49_ENSMSIG00000000513;0.1;1.0;0.961;0.86;0.872;0.849;0.698;0.631;0.65;0.509;0.517;0.523;0.618;0.518
transcript49_MGP-SPRETEiJ-G0021131;0.104;0.961;1.0;0.826;0.837;0.814;0.718;0.65;0.67;0.496;0.504;0.495;0.593;0.491
transcript60_ENSMSIG00000000513;0.133;0.86;0.826;1.0;0.965;0.941;0.617;0.554;0.569;0.547;0.556;0.562;0.68;0.573
transcript61_ENSMSIG00000000513;0.131;0.872;0.837;0.965;1.0;0.976;0.626;0.562;0.578;0.529;0.538;0.558;0.675;0.554
transcript62_ENSMSIG00000000513;0.134;0.849;0.814;0.941;0.976;1.0;0.609;0.545;0.589;0.513;0.521;0.554;0.659;0.55
transcript40_MGP-SPRETEiJ-G0021131;0.075;0.698;0.718;0.617;0.626;0.609;1.0;0.883;0.854;0.733;0.741;0.639;0.829;0.636
transcript65_MGP-SPRETEiJ-G0021131;0.085;0.631;0.65;0.554;0.562;0.545;0.883;1.0;0.755;0.643;0.652;0.578;0.732;0.574
transcript66_MGP-SPRETEiJ-G0021131;0.088;0.65;0.67;0.569;0.578;0.589;0.854;0.755;1.0;0.617;0.626;0.565;0.707;0.561
transcript7_ENSMUSG00000054036;0.101;0.509;0.496;0.547;0.529;0.513;0.733;0.643;0.617;1.0;0.99;0.624;0.803;0.635
transcript46_ENSMUSG00000054036;0.1;0.517;0.504;0.556;0.538;0.521;0.741;0.652;0.626;0.99;1.0;0.632;0.811;0.643
transcript38_MGP-CAROLIEiJ-G0020234;0.084;0.523;0.495;0.562;0.558;0.554;0.639;0.578;0.565;0.624;0.632;1.0;0.754;0.978
transcript38_MGP-PahariEiJ-G0020237;0.09;0.618;0.593;0.68;0.675;0.659;0.829;0.732;0.707;0.803;0.811;0.754;1.0;0.738
transcript47_MGP-CAROLIEiJ-G0020234;0.086;0.518;0.491;0.573;0.554;0.55;0.636;0.574;0.561;0.635;0.643;0.978;0.738;1.0
