;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.768;1.0;0.54;1.0;0.881;0.479;0.222;0.479;0.454;0.881;0.881;0.249
ENST00000288381_90_90;0.768;1.0;0.768;0.48;0.768;0.661;0.41;0.284;0.41;0.299;0.661;0.661;0.23
ENST00000372068_90_90;1.0;0.768;1.0;0.54;1.0;0.881;0.479;0.222;0.479;0.454;0.881;0.881;0.249
ENST00000372072_90_90;0.54;0.48;0.54;1.0;0.54;0.498;0.871;0.42;0.871;0.656;0.498;0.498;0.408
ENST00000372073_90_90;1.0;0.768;1.0;0.54;1.0;0.881;0.479;0.222;0.479;0.454;0.881;0.881;0.249
ENSMUST00000087333_90_90;0.881;0.661;0.881;0.498;0.881;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000101198_90_90;0.479;0.41;0.479;0.871;0.479;0.568;1.0;0.42;1.0;0.757;0.568;0.568;0.502
ENSMUST00000112888_90_90;0.222;0.284;0.222;0.42;0.222;0.23;0.42;1.0;0.42;0.452;0.23;0.23;0.108
ENSMUST00000112889_90_90;0.479;0.41;0.479;0.871;0.479;0.568;1.0;0.42;1.0;0.757;0.568;0.568;0.502
ENSMUST00000112891_90_90;0.454;0.299;0.454;0.656;0.454;0.542;0.757;0.452;0.757;1.0;0.542;0.542;0.337
ENSMUST00000112896_90_90;0.881;0.661;0.881;0.498;0.881;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000133634_90_90;0.881;0.661;0.881;0.498;0.881;1.0;0.568;0.23;0.568;0.542;1.0;1.0;0.316
ENSMUST00000151914_90_90;0.249;0.23;0.249;0.408;0.249;0.316;0.502;0.108;0.502;0.337;0.316;0.316;1.0
