;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.053;0.056;0.091;0.095;0.097;0.05;0.052;0.052;0.072;0.072;0.063;0.072;0.064
transcript49_ENSMSIG00000000513;0.053;1.0;0.995;0.628;0.598;0.599;0.892;0.929;0.939;0.841;0.846;0.854;0.847;0.835
transcript49_MGP-SPRETEiJ-G0021131;0.056;0.995;1.0;0.661;0.629;0.63;0.709;0.703;0.761;0.681;0.685;0.705;0.708;0.689
transcript60_ENSMSIG00000000513;0.091;0.628;0.661;1.0;0.962;0.946;0.765;0.715;0.716;0.779;0.785;0.782;0.788;0.779
transcript61_ENSMSIG00000000513;0.095;0.598;0.629;0.962;1.0;0.983;0.733;0.683;0.685;0.744;0.749;0.748;0.758;0.754
transcript62_ENSMSIG00000000513;0.097;0.599;0.63;0.946;0.983;1.0;0.719;0.685;0.686;0.728;0.733;0.738;0.746;0.744
transcript40_MGP-SPRETEiJ-G0021131;0.05;0.892;0.709;0.765;0.733;0.719;1.0;0.892;0.933;0.996;1.0;1.0;1.0;0.984
transcript65_MGP-SPRETEiJ-G0021131;0.052;0.929;0.703;0.715;0.683;0.685;0.892;1.0;0.926;0.932;0.936;0.947;0.942;0.93
transcript66_MGP-SPRETEiJ-G0021131;0.052;0.939;0.761;0.716;0.685;0.686;0.933;0.926;1.0;0.923;0.928;0.939;0.935;0.922
transcript7_ENSMUSG00000054036;0.072;0.841;0.681;0.779;0.744;0.728;0.996;0.932;0.923;1.0;0.996;0.996;0.996;0.987
transcript46_ENSMUSG00000054036;0.072;0.846;0.685;0.785;0.749;0.733;1.0;0.936;0.928;0.996;1.0;1.0;1.0;0.991
transcript38_MGP-CAROLIEiJ-G0020234;0.063;0.854;0.705;0.782;0.748;0.738;1.0;0.947;0.939;0.996;1.0;1.0;1.0;0.981
transcript38_MGP-PahariEiJ-G0020237;0.072;0.847;0.708;0.788;0.758;0.746;1.0;0.942;0.935;0.996;1.0;1.0;1.0;0.981
transcript47_MGP-CAROLIEiJ-G0020234;0.064;0.835;0.689;0.779;0.754;0.744;0.984;0.93;0.922;0.987;0.991;0.981;0.981;1.0
