;ENSCAFT00000012435_90_90;ENST00000278422_90_90;ENST00000378312_90_90;ENST00000524972_90_90;ENST00000525035_90_90;ENST00000528110_90_90;ENST00000529403_90_90;ENST00000530114_90_90;ENST00000533602_90_90;ENSMUST00000053664_90_90;ENSMUST00000111664_90_90;ENSMUST00000111665_90_90;ENSMUST00000152149_90_90
ENSCAFT00000012435_90_90;1.0;1.0;0.708;0.208;0.125;0.208;0.125;0.083;0.042;1.0;0.85;1.0;0.5
ENST00000278422_90_90;1.0;1.0;0.724;0.241;0.188;0.241;0.188;0.138;0.1;0.917;0.708;0.917;0.458
ENST00000378312_90_90;0.708;0.724;1.0;0.333;0.111;0.333;0.111;0.19;0.136;0.625;0.417;0.625;0.167
ENST00000524972_90_90;0.208;0.241;0.333;1.0;0.231;1.0;0.231;0.375;0.375;0.167;0.15;0.167;0.062
ENST00000525035_90_90;0.125;0.188;0.111;0.231;1.0;0.231;1.0;0.3;0.3;0.208;0.263;0.208;0.385
ENST00000528110_90_90;0.208;0.241;0.333;1.0;0.231;1.0;0.231;0.375;0.375;0.167;0.15;0.167;0.062
ENST00000529403_90_90;0.125;0.188;0.111;0.231;1.0;0.231;1.0;0.3;0.3;0.208;0.263;0.208;0.385
ENST00000530114_90_90;0.083;0.138;0.19;0.375;0.3;0.375;0.3;1.0;0.6;0.042;0.053;0.042;0.0
ENST00000533602_90_90;0.042;0.1;0.136;0.375;0.3;0.375;0.3;0.6;1.0;0.0;0.0;0.0;0.0
ENSMUST00000053664_90_90;1.0;0.917;0.625;0.167;0.208;0.167;0.208;0.042;0.0;1.0;0.771;1.0;0.514
ENSMUST00000111664_90_90;0.85;0.708;0.417;0.15;0.263;0.15;0.263;0.053;0.0;0.771;1.0;0.771;0.667
ENSMUST00000111665_90_90;1.0;0.917;0.625;0.167;0.208;0.167;0.208;0.042;0.0;1.0;0.771;1.0;0.514
ENSMUST00000152149_90_90;0.5;0.458;0.167;0.062;0.385;0.062;0.385;0.0;0.0;0.514;0.667;0.514;1.0
