;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.36;0.667;0.37;0.615;0.833;0.04;0.364;0.043;0.08;0.043;0.125;0.08;0.826;0.654
ENSCAFT00000025875_90_90;0.36;1.0;0.429;0.286;0.524;0.36;0.0;0.176;0.077;0.0;0.077;0.0;0.0;0.391;0.571
ENST00000315266_90_90;0.667;0.429;1.0;0.435;0.9;0.818;0.158;0.368;0.053;0.211;0.053;0.278;0.211;0.727;0.696
ENST00000459628_90_90;0.37;0.286;0.435;1.0;0.522;0.48;0.188;0.211;0.0;0.25;0.0;0.25;0.25;0.4;0.5
ENST00000478722_90_90;0.615;0.524;0.9;0.522;1.0;0.75;0.143;0.333;0.048;0.19;0.048;0.25;0.19;0.667;0.783
ENST00000543237_90_90;0.833;0.36;0.818;0.48;0.75;1.0;0.13;0.364;0.043;0.174;0.043;0.227;0.174;0.826;0.654
ENST00000553936_90_90;0.04;0.0;0.158;0.188;0.143;0.13;1.0;0.0;0.0;0.5;0.0;0.5;0.5;0.091;0.087
ENST00000555456_90_90;0.364;0.176;0.368;0.211;0.333;0.364;0.0;1.0;0.0;0.0;0.0;0.083;0.0;0.333;0.261
ENST00000555503_90_90;0.043;0.077;0.053;0.0;0.048;0.043;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.048;0.045
ENST00000555668_90_90;0.08;0.0;0.211;0.25;0.19;0.174;0.5;0.0;0.0;1.0;0.0;0.667;1.0;0.136;0.13
ENST00000556240_90_90;0.043;0.077;0.053;0.0;0.048;0.043;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.048;0.045
ENST00000556633_90_90;0.125;0.0;0.278;0.25;0.25;0.227;0.5;0.083;0.0;0.667;0.0;1.0;0.667;0.19;0.182
ENST00000557654_90_90;0.08;0.0;0.211;0.25;0.19;0.174;0.5;0.0;0.0;1.0;0.0;0.667;1.0;0.136;0.13
ENSMUST00000052472_90_90;0.826;0.391;0.727;0.4;0.667;0.826;0.091;0.333;0.048;0.136;0.048;0.19;0.136;1.0;0.783
ENSMUST00000110388_90_90;0.654;0.571;0.696;0.5;0.783;0.654;0.087;0.261;0.045;0.13;0.045;0.182;0.13;0.783;1.0
