;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.875;0.846;1.0;0.167;0.385;0.167;0.25;0.417;0.167;0.167;0.857;1.0;0.714
ENSCAFT00000008030_90_90;0.875;1.0;1.0;0.846;0.167;0.385;0.077;0.25;0.308;0.167;0.167;1.0;0.857;0.714
ENST00000293217_90_90;0.846;1.0;1.0;0.867;0.19;0.467;0.062;0.214;0.4;0.133;0.19;0.786;0.667;0.75
ENST00000301608_90_90;1.0;0.846;0.867;1.0;0.19;0.467;0.133;0.214;0.5;0.133;0.19;0.667;0.786;0.75
ENST00000572047_90_90;0.167;0.167;0.19;0.19;1.0;0.267;0.0;0.0;0.286;0.0;1.0;0.286;0.286;0.0
ENST00000573078_90_90;0.385;0.385;0.467;0.467;0.267;1.0;0.222;0.0;0.667;0.0;0.267;0.267;0.267;0.25
ENST00000576743_90_90;0.167;0.077;0.062;0.133;0.0;0.222;1.0;0.0;0.25;0.0;0.0;0.067;0.143;0.091
ENST00000587927_90_90;0.25;0.25;0.214;0.214;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.214;0.214;0.3
ENST00000588176_90_90;0.417;0.308;0.4;0.5;0.286;0.667;0.25;0.0;1.0;0.0;0.286;0.2;0.286;0.167
ENST00000588968_90_90;0.167;0.167;0.133;0.133;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.143;0.143;0.2
ENST00000589301_90_90;0.167;0.167;0.19;0.19;1.0;0.267;0.0;0.0;0.286;0.0;1.0;0.286;0.286;0.0
ENSMUST00000066587_90_90;0.857;1.0;0.786;0.667;0.286;0.267;0.067;0.214;0.2;0.143;0.286;1.0;0.889;0.556
ENSMUST00000072948_90_90;1.0;0.857;0.667;0.786;0.286;0.267;0.143;0.214;0.286;0.143;0.286;0.889;1.0;0.556
ENSMUST00000148601_90_90;0.714;0.714;0.75;0.75;0.0;0.25;0.091;0.3;0.167;0.2;0.0;0.556;0.556;1.0
