;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;0.78;0.593;0.603;0.0;0.158;0.0;0.927;0.86;0.432;0.351;0.585
ENST00000297737_90_90;0.78;1.0;0.792;0.796;0.109;0.096;0.109;0.775;0.696;0.265;0.1;0.713
ENST00000315769_90_90;0.593;0.792;1.0;0.587;0.144;0.126;0.144;0.59;0.51;0.328;0.119;0.502
ENST00000519406_90_90;0.603;0.796;0.587;1.0;0.132;0.109;0.132;0.598;0.645;0.331;0.123;0.493
ENST00000522623_90_90;0.0;0.109;0.144;0.132;1.0;0.304;1.0;0.0;0.0;0.0;0.0;0.0
ENST00000523188_90_90;0.158;0.096;0.126;0.109;0.304;1.0;0.304;0.137;0.15;0.253;0.503;0.0
ENST00000523542_90_90;0.0;0.109;0.144;0.132;1.0;0.304;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000042352_90_90;0.927;0.775;0.59;0.598;0.0;0.137;0.0;1.0;0.932;0.504;0.301;0.585
ENSMUST00000123412_90_90;0.86;0.696;0.51;0.645;0.0;0.15;0.0;0.932;1.0;0.547;0.324;0.517
ENSMUST00000131410_90_90;0.432;0.265;0.328;0.331;0.0;0.253;0.0;0.504;0.547;1.0;0.53;0.089
ENSMUST00000135747_90_90;0.351;0.1;0.119;0.123;0.0;0.503;0.0;0.301;0.324;0.53;1.0;0.0
ENSMUST00000207301_90_90;0.585;0.713;0.502;0.493;0.0;0.0;0.0;0.585;0.517;0.089;0.0;1.0
