;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.871;0.958;0.331;0.958;0.881;0.958;0.173;0.107;0.183;0.214;0.88;0.317;0.137;0.898;0.976;0.976;0.231;0.198
ENSCAFT00000047054_90_90;0.871;1.0;0.865;0.209;0.865;0.789;0.865;0.221;0.118;0.202;0.266;1.0;0.213;0.149;0.824;0.903;0.903;0.246;0.242
ENST00000265459_90_90;0.958;0.865;1.0;0.293;1.0;0.913;0.982;0.194;0.113;0.179;0.206;0.847;0.298;0.14;0.886;0.961;0.981;0.193;0.19
ENST00000301894_90_90;0.331;0.209;0.293;1.0;0.293;0.284;0.297;0.0;0.361;0.0;0.0;0.215;1.0;0.574;0.285;0.299;0.294;0.0;0.0
ENST00000377551_90_90;0.958;0.865;1.0;0.293;1.0;0.913;0.982;0.194;0.113;0.179;0.206;0.847;0.298;0.14;0.886;0.961;0.981;0.193;0.19
ENST00000377559_90_90;0.881;0.789;0.913;0.284;0.913;1.0;0.93;0.184;0.122;0.168;0.196;0.788;0.29;0.153;0.978;0.904;0.886;0.182;0.179
ENST00000409571_90_90;0.958;0.865;0.982;0.297;0.982;0.93;1.0;0.199;0.115;0.183;0.21;0.864;0.304;0.142;0.904;0.98;0.961;0.198;0.195
ENST00000417749_90_90;0.173;0.221;0.194;0.0;0.194;0.184;0.199;1.0;0.0;0.693;0.659;0.221;0.0;0.0;0.179;0.195;0.19;0.605;0.936
ENST00000423049_90_90;0.107;0.118;0.113;0.361;0.113;0.122;0.115;0.0;1.0;0.0;0.0;0.136;0.391;0.694;0.13;0.12;0.118;0.0;0.0
ENST00000437746_90_90;0.183;0.202;0.179;0.0;0.179;0.168;0.183;0.693;0.0;1.0;0.465;0.202;0.0;0.0;0.161;0.178;0.173;0.869;0.635
ENST00000442300_90_90;0.214;0.266;0.206;0.0;0.206;0.196;0.21;0.659;0.0;0.465;1.0;0.266;0.0;0.0;0.222;0.236;0.229;0.494;0.746
ENSMUST00000077182_90_90;0.88;1.0;0.847;0.215;0.847;0.788;0.864;0.221;0.136;0.202;0.266;1.0;0.208;0.148;0.816;0.888;0.871;0.232;0.229
ENSMUST00000113458_90_90;0.317;0.213;0.298;1.0;0.298;0.29;0.304;0.0;0.391;0.0;0.0;0.208;1.0;0.541;0.276;0.29;0.285;0.0;0.0
ENSMUST00000113459_90_90;0.137;0.149;0.14;0.574;0.14;0.153;0.142;0.0;0.694;0.0;0.0;0.148;0.541;1.0;0.142;0.133;0.131;0.0;0.0
ENSMUST00000113461_90_90;0.898;0.824;0.886;0.285;0.886;0.978;0.904;0.179;0.13;0.161;0.222;0.816;0.276;0.142;1.0;0.928;0.91;0.192;0.189
ENSMUST00000113462_90_90;0.976;0.903;0.961;0.299;0.961;0.904;0.98;0.195;0.12;0.178;0.236;0.888;0.29;0.133;0.928;1.0;0.981;0.206;0.203
ENSMUST00000137166_90_90;0.976;0.903;0.981;0.294;0.981;0.886;0.961;0.19;0.118;0.173;0.229;0.871;0.285;0.131;0.91;0.981;1.0;0.201;0.198
ENSMUST00000137821_90_90;0.231;0.246;0.193;0.0;0.193;0.182;0.198;0.605;0.0;0.869;0.494;0.232;0.0;0.0;0.192;0.206;0.201;1.0;0.656
ENSMUST00000155158_90_90;0.198;0.242;0.19;0.0;0.19;0.179;0.195;0.936;0.0;0.635;0.746;0.229;0.0;0.0;0.189;0.203;0.198;0.656;1.0
