;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.917;0.75;0.75;0.417;0.583;0.167;0.417;0.25;0.929;0.786;0.357
ENST00000301244_90_90;0.917;1.0;0.857;0.786;0.375;0.643;0.143;0.467;0.214;0.833;0.667;0.364
ENST00000454580_90_90;0.75;0.857;1.0;0.769;0.429;0.5;0.077;0.538;0.154;0.667;0.8;0.444
ENST00000587090_90_90;0.75;0.786;0.769;1.0;0.462;0.429;0.182;0.583;0.273;0.667;0.636;0.3
ENST00000587334_90_90;0.417;0.375;0.429;0.462;1.0;0.214;0.0;0.455;0.0;0.455;0.556;0.0
ENST00000587516_90_90;0.583;0.643;0.5;0.429;0.214;1.0;0.1;0.417;0.091;0.5;0.333;0.222
ENST00000590510_90_90;0.167;0.143;0.077;0.182;0.0;0.1;1.0;0.0;0.667;0.182;0.1;0.2
ENST00000590738_90_90;0.417;0.467;0.538;0.583;0.455;0.417;0.0;1.0;0.0;0.333;0.4;0.125
ENST00000592007_90_90;0.25;0.214;0.154;0.273;0.0;0.091;0.667;0.0;1.0;0.273;0.2;0.4
ENSMUST00000098604_90_90;0.929;0.833;0.667;0.667;0.455;0.5;0.182;0.333;0.273;1.0;0.857;0.25
ENSMUST00000108236_90_90;0.786;0.667;0.8;0.636;0.556;0.333;0.1;0.4;0.2;0.857;1.0;0.286
ENSMUST00000207601_90_90;0.357;0.364;0.444;0.3;0.0;0.222;0.2;0.125;0.4;0.25;0.286;1.0
