;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.995;0.997;0.99;0.454;0.452;0.452;0.454;0.983;0.996;0.991;0.617;0.675
ENST00000336604_90_90;0.995;1.0;0.998;0.995;0.453;0.454;0.453;0.453;0.984;0.999;0.993;0.618;0.673
ENST00000356896_90_90;0.997;0.998;1.0;0.993;0.455;0.453;0.453;0.455;0.986;0.997;0.992;0.617;0.675
ENST00000396840_90_90;0.99;0.995;0.993;1.0;0.448;0.448;0.456;0.448;0.979;0.993;0.999;0.621;0.671
ENST00000436152_90_90;0.454;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.453;0.448;0.087;0.668
ENST00000465801_90_90;0.452;0.454;0.453;0.448;0.996;1.0;0.0;0.996;0.447;0.454;0.448;0.087;0.666
ENST00000487279_90_90;0.452;0.453;0.453;0.456;0.0;0.0;1.0;0.0;0.446;0.453;0.456;0.681;0.134
ENST00000615885_90_90;0.454;0.453;0.455;0.448;1.0;0.996;0.0;1.0;0.448;0.453;0.448;0.087;0.668
ENST00000619571_90_90;0.983;0.984;0.986;0.979;0.448;0.447;0.446;0.448;1.0;0.983;0.978;0.608;0.666
ENSMUST00000117675_90_90;0.996;0.999;0.997;0.993;0.453;0.454;0.453;0.453;0.983;1.0;0.995;0.619;0.674
ENSMUST00000119527_90_90;0.991;0.993;0.992;0.999;0.448;0.448;0.456;0.448;0.978;0.995;1.0;0.622;0.672
ENSMUST00000144364_90_90;0.617;0.618;0.617;0.621;0.087;0.087;0.681;0.087;0.608;0.619;0.622;1.0;0.304
ENSMUST00000148835_90_90;0.675;0.673;0.675;0.671;0.668;0.666;0.134;0.668;0.666;0.674;0.672;0.304;1.0
