;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.998;1.0;1.0;0.993;0.998;0.983;0.431;0.431;0.431;0.416;0.431;0.431;0.431;0.431;0.431;0.431;0.432;0.432;0.416;0.378;0.431;0.321;0.321;0.431;0.309;0.431
transcript8_ENSRNOG00000031503;0.998;1.0;0.998;0.998;1.0;0.993;0.998;1.0;1.0;1.0;0.939;1.0;1.0;1.0;1.0;1.0;1.0;0.939;0.939;0.939;0.829;1.0;0.698;0.698;1.0;0.715;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;0.998;1.0;1.0;0.993;0.998;0.983;0.431;0.431;0.431;0.416;0.431;0.431;0.431;0.431;0.431;0.431;0.432;0.432;0.416;0.378;0.431;0.321;0.321;0.431;0.309;0.431
transcript37_MGP-PahariEiJ-G0020237;1.0;0.998;1.0;1.0;0.993;0.998;0.983;0.431;0.431;0.431;0.416;0.431;0.431;0.431;0.431;0.431;0.431;0.432;0.432;0.416;0.378;0.431;0.321;0.321;0.431;0.309;0.431
transcript37_ENSCGRG00001010245;0.993;1.0;0.993;0.993;1.0;0.983;0.998;0.38;0.38;0.38;0.367;0.38;0.38;0.382;0.385;0.382;0.382;0.364;0.364;0.367;0.322;0.365;0.274;0.275;0.365;0.26;0.365
transcript38_MGP-PahariEiJ-G0020237;0.998;0.993;0.998;0.998;0.983;1.0;0.984;0.249;0.249;0.249;0.243;0.249;0.249;0.249;0.249;0.249;0.249;0.256;0.256;0.243;0.225;0.249;0.149;0.149;0.249;0.087;0.249
transcript38_ENSCGRG00001010245;0.983;0.998;0.983;0.983;0.998;0.984;1.0;0.21;0.21;0.21;0.207;0.21;0.21;0.212;0.214;0.212;0.212;0.205;0.205;0.207;0.181;0.2;0.12;0.121;0.2;0.068;0.2
transcript32_ENSCGRG00015005362;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.949;1.0;1.0;0.983;0.964;0.996;0.997;0.915;0.915;0.947;0.877;0.979;0.853;0.854;0.979;0.921;0.979
transcript33_ENSCGRG00015005362;0.431;1.0;0.431;0.431;0.38;0.249;0.21;0.89;1.0;0.89;0.853;0.89;0.89;0.874;0.854;0.996;0.886;0.82;0.82;0.851;0.769;0.871;0.744;0.745;0.871;0.814;0.871
transcript22_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.949;1.0;1.0;0.983;0.964;0.996;0.997;0.915;0.915;0.947;0.877;0.979;0.853;0.854;0.979;0.921;0.979
transcript22_ENSPEMG00000024651;0.416;0.939;0.416;0.416;0.367;0.243;0.207;0.949;0.853;0.949;1.0;0.949;0.949;0.936;0.917;0.949;0.947;0.962;0.962;0.998;0.851;0.929;0.826;0.827;0.929;0.88;0.929
