;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript7_ENSMSIG00000000513;1.0;0.855;0.911;0.58;0.712;0.772;0.755;0.748;0.617;0.764;0.659;0.606;0.592;0.596;0.583;0.718;0.624;0.605;0.588;0.602;0.578;0.597
transcript7_ENSMUSG00000054036;0.855;1.0;0.795;0.537;0.645;0.686;0.683;0.664;0.655;0.685;0.6;0.559;0.543;0.55;0.533;0.636;0.558;0.562;0.545;0.558;0.54;0.554
transcript7_MGP-SPRETEiJ-G0021131;0.911;0.795;1.0;0.619;0.663;0.706;0.687;0.683;0.575;0.689;0.602;0.65;0.544;0.641;0.534;0.654;0.574;0.646;0.628;0.643;0.541;0.637
transcript71_MGP-SPRETEiJ-G0021131;0.58;0.537;0.619;1.0;0.603;0.611;0.594;0.594;0.687;0.512;0.447;0.865;0.647;0.856;0.639;0.595;0.519;0.973;0.956;0.956;0.788;0.965
transcript50_MGP-PahariEiJ-G0020237;0.712;0.645;0.663;0.603;1.0;0.933;0.865;0.942;0.612;0.79;0.68;0.551;0.537;0.543;0.529;0.99;0.86;0.602;0.586;0.586;0.741;0.594
transcript55_ENSMSIG00000000513;0.772;0.686;0.706;0.611;0.933;1.0;0.931;0.971;0.619;0.782;0.657;0.535;0.52;0.527;0.512;0.942;0.798;0.634;0.618;0.618;0.748;0.626
transcript64_ENSMSIG00000000513;0.755;0.683;0.687;0.594;0.865;0.931;1.0;0.903;0.579;0.84;0.705;0.516;0.513;0.508;0.504;0.874;0.748;0.617;0.602;0.602;0.696;0.609
transcript67_ENSMSIG00000000513;0.748;0.664;0.683;0.594;0.942;0.971;0.903;1.0;0.627;0.757;0.635;0.519;0.504;0.511;0.496;0.951;0.808;0.617;0.614;0.602;0.756;0.609
transcript54_ENSMUSG00000054036;0.617;0.655;0.575;0.687;0.612;0.619;0.579;0.627;1.0;0.573;0.496;0.718;0.629;0.71;0.621;0.604;0.53;0.709;0.694;0.694;0.806;0.701
transcript60_ENSMSIG00000000513;0.764;0.685;0.689;0.512;0.79;0.782;0.84;0.757;0.573;1.0;0.838;0.586;0.587;0.577;0.577;0.798;0.684;0.512;0.496;0.496;0.585;0.504
