;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.877;0.975;0.899;0.889;0.961;0.933;0.923;0.775;0.757;0.757
transcript9_MGP-PahariEiJ-G0020237;0.877;1.0;0.855;0.976;0.988;0.841;0.814;0.804;0.69;0.673;0.673
transcript37_MGP-PahariEiJ-G0020237;0.975;0.855;1.0;0.877;0.866;0.985;0.958;0.948;0.757;0.777;0.777
transcript39_MGP-PahariEiJ-G0020237;0.899;0.976;0.877;1.0;0.988;0.861;0.834;0.825;0.703;0.686;0.686
transcript49_MGP-PahariEiJ-G0020237;0.889;0.988;0.866;0.988;1.0;0.852;0.825;0.815;0.697;0.68;0.68
transcript50_MGP-PahariEiJ-G0020237;0.961;0.841;0.985;0.861;0.852;1.0;0.943;0.933;0.746;0.767;0.767
transcript51_MGP-PahariEiJ-G0020237;0.933;0.814;0.958;0.834;0.825;0.943;1.0;0.99;0.727;0.748;0.748
transcript52_MGP-PahariEiJ-G0020237;0.923;0.804;0.948;0.825;0.815;0.933;0.99;1.0;0.722;0.742;0.742
transcript36_ENSRNOG00000031503;0.775;0.69;0.757;0.703;0.697;0.746;0.727;0.722;1.0;0.98;0.98
transcript37_ENSRNOG00000031503;0.757;0.673;0.777;0.686;0.68;0.767;0.748;0.742;0.98;1.0;1.0
transcript44_ENSRNOG00000031503;0.757;0.673;0.777;0.686;0.68;0.767;0.748;0.742;0.98;1.0;1.0
