;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.997;0.749;0.749;0.59;0.143;0.626;0.209;0.48;0.149;0.67;0.406;0.406;0.406;0.64;0.516;0.143;0.149;0.992;0.992;0.946;0.763;0.402;0.406
ENST00000249647_90_90;0.997;1.0;0.749;0.749;0.592;0.143;0.628;0.209;0.48;0.149;0.673;0.404;0.404;0.404;0.642;0.518;0.143;0.149;0.992;0.992;0.943;0.763;0.402;0.406
ENST00000349777_90_90;0.749;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.752;0.752;0.715;0.522;0.53;0.542
ENST00000397138_90_90;0.749;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.752;0.752;0.715;0.522;0.53;0.542
ENST00000561526_90_90;0.59;0.592;0.456;0.456;1.0;0.228;0.373;0.32;0.543;0.243;0.443;0.665;0.665;0.665;0.382;0.875;0.228;0.243;0.593;0.593;0.563;0.77;0.66;0.685
ENST00000563765_90_90;0.143;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.143;0.143;0.137;0.182;0.28;0.312
ENST00000563830_90_90;0.626;0.628;0.391;0.391;0.373;0.0;1.0;0.274;0.163;0.0;0.848;0.186;0.186;0.186;0.87;0.296;0.0;0.0;0.621;0.621;0.592;0.551;0.185;0.179
ENST00000563873_90_90;0.209;0.209;0.266;0.266;0.32;0.0;0.274;1.0;0.316;0.0;0.246;0.387;0.387;0.387;0.248;0.355;0.0;0.0;0.21;0.21;0.201;0.261;0.384;0.389
ENST00000564153_90_90;0.48;0.48;0.625;0.625;0.543;0.224;0.163;0.316;1.0;0.239;0.204;0.655;0.655;0.655;0.166;0.6;0.224;0.239;0.482;0.482;0.46;0.443;0.65;0.675
ENST00000566035_90_90;0.149;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.149;0.149;0.142;0.191;0.303;0.341
ENST00000566327_90_90;0.67;0.673;0.422;0.422;0.443;0.0;0.848;0.246;0.204;0.0;1.0;0.236;0.236;0.236;0.875;0.359;0.0;0.0;0.666;0.666;0.633;0.638;0.235;0.231
ENST00000567094_90_90;0.406;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.395;0.522;0.957;0.883
ENST00000568331_90_90;0.406;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.395;0.522;0.957;0.883
ENST00000568451_90_90;0.406;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.395;0.522;0.957;0.883
ENST00000568841_90_90;0.64;0.642;0.4;0.4;0.382;0.0;0.87;0.248;0.166;0.0;0.875;0.191;0.191;0.191;1.0;0.303;0.0;0.0;0.635;0.635;0.605;0.565;0.19;0.184
ENST00000568859_90_90;0.516;0.518;0.496;0.496;0.875;0.255;0.296;0.355;0.6;0.274;0.359;0.754;0.754;0.754;0.303;1.0;0.255;0.274;0.518;0.518;0.492;0.673;0.747;0.784
ENST00000626061_90_90;0.143;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.143;0.143;0.137;0.182;0.28;0.312
ENST00000627440_90_90;0.149;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.149;0.149;0.142;0.191;0.303;0.341
ENSMUST00000028743_90_90;0.992;0.992;0.752;0.752;0.593;0.143;0.621;0.21;0.482;0.149;0.666;0.406;0.406;0.406;0.635;0.518;0.143;0.149;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000110711_90_90;0.992;0.992;0.752;0.752;0.593;0.143;0.621;0.21;0.482;0.149;0.666;0.406;0.406;0.406;0.635;0.518;0.143;0.149;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000116437_90_90;0.946;0.943;0.715;0.715;0.563;0.137;0.592;0.201;0.46;0.142;0.633;0.395;0.395;0.395;0.605;0.492;0.137;0.142;0.95;0.95;1.0;0.732;0.385;0.388
ENSMUST00000142278_90_90;0.763;0.763;0.522;0.522;0.77;0.182;0.551;0.261;0.443;0.191;0.638;0.522;0.522;0.522;0.565;0.673;0.182;0.191;0.77;0.77;0.732;1.0;0.519;0.53
ENSMUST00000150611_90_90;0.402;0.402;0.53;0.53;0.66;0.28;0.185;0.384;0.65;0.303;0.235;0.957;0.957;0.957;0.19;0.747;0.28;0.303;0.404;0.404;0.385;0.519;1.0;0.874
ENSMUST00000153580_90_90;0.406;0.406;0.542;0.542;0.685;0.312;0.179;0.389;0.675;0.341;0.231;0.883;0.883;0.883;0.184;0.784;0.312;0.341;0.408;0.408;0.388;0.53;0.874;1.0
