;ENSCAFT00000023990_90_90;ENST00000220429_90_90;ENST00000359031_90_90;ENST00000380877_90_90;ENST00000396464_90_90;ENST00000429662_90_90;ENST00000543881_90_90;ENST00000558335_90_90;ENST00000558970_90_90;ENST00000560825_90_90;ENST00000561010_90_90;ENSMUST00000039978_90_90;ENSMUST00000089745_90_90;ENSMUST00000103226_90_90;ENSMUST00000103227_90_90;ENSMUST00000110424_90_90;ENSMUST00000110425_90_90;ENSMUST00000124972_90_90;ENSMUST00000137335_90_90
ENSCAFT00000023990_90_90;1.0;0.998;0.87;0.967;0.87;0.902;0.806;0.273;0.241;0.837;0.487;0.68;0.776;0.68;0.671;0.671;0.67;0.177;0.102
ENST00000220429_90_90;0.998;1.0;0.776;0.894;0.776;0.877;0.813;0.25;0.227;0.753;0.504;0.699;0.782;0.698;0.689;0.689;0.688;0.179;0.117
ENST00000359031_90_90;0.87;0.776;1.0;0.866;1.0;0.892;0.596;0.295;0.268;0.97;0.419;0.586;0.676;0.585;0.575;0.575;0.574;0.219;0.144
ENST00000380877_90_90;0.967;0.894;0.866;1.0;0.866;0.776;0.707;0.284;0.256;0.838;0.403;0.569;0.65;0.569;0.559;0.559;0.558;0.21;0.138
ENST00000396464_90_90;0.87;0.776;1.0;0.866;1.0;0.892;0.596;0.295;0.268;0.97;0.419;0.586;0.676;0.585;0.575;0.575;0.574;0.219;0.144
ENST00000429662_90_90;0.902;0.877;0.892;0.776;0.892;1.0;0.698;0.261;0.237;0.869;0.522;0.716;0.81;0.716;0.705;0.705;0.704;0.188;0.123
ENST00000543881_90_90;0.806;0.813;0.596;0.707;0.596;0.698;1.0;0.063;0.04;0.573;0.611;0.503;0.569;0.503;0.496;0.496;0.496;0.0;0.0
ENST00000558335_90_90;0.273;0.25;0.295;0.284;0.295;0.261;0.063;1.0;0.914;0.305;0.0;0.33;0.377;0.329;0.32;0.32;0.32;0.651;0.425
ENST00000558970_90_90;0.241;0.227;0.268;0.256;0.268;0.237;0.04;0.914;1.0;0.275;0.0;0.297;0.347;0.297;0.288;0.288;0.287;0.703;0.46
ENST00000560825_90_90;0.837;0.753;0.97;0.838;0.97;0.869;0.573;0.305;0.275;1.0;0.396;0.586;0.677;0.586;0.575;0.575;0.575;0.219;0.144
ENST00000561010_90_90;0.487;0.504;0.419;0.403;0.419;0.522;0.611;0.0;0.0;0.396;1.0;0.316;0.358;0.316;0.313;0.313;0.313;0.0;0.0
ENSMUST00000039978_90_90;0.68;0.699;0.586;0.569;0.586;0.716;0.503;0.33;0.297;0.586;0.316;1.0;0.769;0.977;0.875;0.875;0.855;0.171;0.113
ENSMUST00000089745_90_90;0.776;0.782;0.676;0.65;0.676;0.81;0.569;0.377;0.347;0.677;0.358;0.769;1.0;0.75;0.738;0.738;0.72;0.226;0.147
ENSMUST00000103226_90_90;0.68;0.698;0.585;0.569;0.585;0.716;0.503;0.329;0.297;0.586;0.316;0.977;0.75;1.0;0.855;0.855;0.877;0.168;0.11
ENSMUST00000103227_90_90;0.671;0.689;0.575;0.559;0.575;0.705;0.496;0.32;0.288;0.575;0.313;0.875;0.738;0.855;1.0;1.0;0.977;0.162;0.106
ENSMUST00000110424_90_90;0.671;0.689;0.575;0.559;0.575;0.705;0.496;0.32;0.288;0.575;0.313;0.875;0.738;0.855;1.0;1.0;0.977;0.162;0.106
ENSMUST00000110425_90_90;0.67;0.688;0.574;0.558;0.574;0.704;0.496;0.32;0.287;0.575;0.313;0.855;0.72;0.877;0.977;0.977;1.0;0.159;0.104
ENSMUST00000124972_90_90;0.177;0.179;0.219;0.21;0.219;0.188;0.0;0.651;0.703;0.219;0.0;0.171;0.226;0.168;0.162;0.162;0.159;1.0;0.655
ENSMUST00000137335_90_90;0.102;0.117;0.144;0.138;0.144;0.123;0.0;0.425;0.46;0.144;0.0;0.113;0.147;0.11;0.106;0.106;0.104;0.655;1.0
