;transcript9_ENSAPOG00000016134;transcript14_ENSAPOG00000016134;transcript21_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript28_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript12_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript9_ENSXMAG00000026005
transcript9_ENSAPOG00000016134;1.0;0.237;0.295;0.21;0.237;0.202;0.24;0.204;0.204;0.214;0.266;0.263;0.253;0.175;0.175;0.304;0.178;0.493;0.263;0.095;0.28;0.266;0.273;0.241;0.237
transcript14_ENSAPOG00000016134;0.237;1.0;0.848;0.715;1.0;0.802;0.971;0.692;0.774;0.653;0.885;0.913;0.909;0.849;0.849;0.816;0.82;0.291;0.948;0.852;0.907;0.919;0.889;0.972;1.0
transcript21_ENSAPOG00000016134;0.295;0.848;1.0;0.83;0.848;0.933;0.819;0.805;0.899;0.76;0.897;0.929;0.758;0.859;0.859;0.823;0.827;0.243;0.929;0.826;0.884;0.898;0.867;0.82;0.848
transcript7_ENSAPOG00000023408;0.21;0.715;0.83;1.0;0.715;0.889;0.735;0.751;0.92;0.704;0.799;0.776;0.624;0.828;0.828;0.667;0.793;0.292;0.776;0.667;0.729;0.744;0.712;0.686;0.715
transcript14_ENSAPOG00000023408;0.237;1.0;0.848;0.715;1.0;0.802;0.971;0.692;0.774;0.653;0.885;0.913;0.909;0.849;0.849;0.816;0.82;0.291;0.948;0.852;0.907;0.919;0.889;0.972;1.0
transcript23_ENSAPOG00000023408;0.202;0.802;0.933;0.889;0.802;1.0;0.774;0.863;0.964;0.815;0.843;0.873;0.712;0.932;0.932;0.766;0.897;0.279;0.873;0.766;0.827;0.843;0.811;0.774;0.802
transcript28_ENSAPOG00000023408;0.24;0.971;0.819;0.735;0.971;0.774;1.0;0.663;0.796;0.625;0.856;0.884;0.881;0.821;0.821;0.787;0.791;0.294;0.918;0.822;0.877;0.889;0.859;0.943;0.971
transcript29_ENSAPOG00000023408;0.204;0.692;0.805;0.751;0.692;0.863;0.663;1.0;0.827;0.948;0.723;0.754;0.601;0.804;0.804;0.646;0.769;0.282;0.754;0.64;0.705;0.723;0.691;0.663;0.692
transcript30_ENSAPOG00000023408;0.204;0.774;0.899;0.92;0.774;0.964;0.796;0.827;1.0;0.778;0.81;0.842;0.683;0.898;0.898;0.734;0.863;0.282;0.842;0.734;0.795;0.81;0.778;0.745;0.774
transcript31_ENSAPOG00000023408;0.214;0.653;0.76;0.704;0.653;0.815;0.625;0.948;0.778;1.0;0.681;0.713;0.562;0.76;0.76;0.677;0.724;0.296;0.713;0.597;0.662;0.68;0.649;0.625;0.653
transcript7_ENSAOCG00000015695;0.266;0.885;0.897;0.799;0.885;0.843;0.856;0.723;0.81;0.681;1.0;0.968;0.794;0.899;0.899;0.863;0.867;0.222;0.968;0.868;0.925;0.938;0.906;0.857;0.885
transcript17_ENSAOCG00000015695;0.263;0.913;0.929;0.776;0.913;0.873;0.884;0.754;0.842;0.713;0.968;1.0;0.823;0.93;0.93;0.893;0.897;0.22;1.0;0.899;0.956;0.969;0.938;0.885;0.913
transcript18_ENSAOCG00000015695;0.253;0.909;0.758;0.624;0.909;0.712;0.881;0.601;0.683;0.562;0.794;0.823;1.0;0.759;0.759;0.726;0.781;0.309;0.854;0.756;0.811;0.825;0.849;0.935;0.909
transcript26_ENSAOCG00000015695;0.175;0.849;0.859;0.828;0.849;0.932;0.821;0.804;0.898;0.76;0.899;0.93;0.759;1.0;1.0;0.825;0.966;0.242;0.93;0.828;0.885;0.899;0.868;0.821;0.849
transcript27_ENSAOCG00000015695;0.175;0.849;0.859;0.828;0.849;0.932;0.821;0.804;0.898;0.76;0.899;0.93;0.759;1.0;1.0;0.825;0.966;0.242;0.93;0.828;0.885;0.899;0.868;0.821;0.849
transcript28_ENSAOCG00000015695;0.304;0.816;0.823;0.667;0.816;0.766;0.787;0.646;0.734;0.677;0.863;0.893;0.726;0.825;0.825;1.0;0.791;0.249;0.893;0.79;0.849;0.863;0.831;0.788;0.816
transcript29_ENSAOCG00000015695;0.178;0.82;0.827;0.793;0.82;0.897;0.791;0.769;0.863;0.724;0.867;0.897;0.781;0.966;0.966;0.791;1.0;0.246;0.897;0.794;0.853;0.867;0.895;0.791;0.82
