;ENSCAFT00000005965_90_90;ENSCAFT00000045237_90_90;ENST00000323906_90_90;ENST00000391859_90_90;ENST00000426897_90_90;ENST00000535669_90_90;ENST00000594743_90_90;ENST00000595660_90_90;ENST00000595725_90_90;ENST00000597602_90_90;ENST00000598095_90_90;ENSMUST00000033063_90_90;ENSMUST00000098461_90_90;ENSMUST00000209779_90_90;ENSMUST00000210078_90_90;ENSMUST00000210226_90_90;ENSMUST00000210372_90_90;ENSMUST00000211373_90_90
ENSCAFT00000005965_90_90;1.0;0.919;0.511;0.253;0.579;0.453;0.297;0.146;0.201;0.098;0.506;0.316;0.332;0.383;0.314;0.057;0.0;0.289
ENSCAFT00000045237_90_90;0.919;1.0;0.445;0.19;0.527;0.387;0.316;0.085;0.132;0.037;0.456;0.334;0.351;0.407;0.334;0.061;0.0;0.306
ENST00000323906_90_90;0.511;0.445;1.0;0.391;0.783;0.897;0.361;0.412;0.504;0.144;0.689;0.298;0.314;0.364;0.235;0.063;0.131;0.269
ENST00000391859_90_90;0.253;0.19;0.391;1.0;0.214;0.397;0.027;0.536;0.623;0.19;0.216;0.084;0.088;0.095;0.054;0.0;0.194;0.092
ENST00000426897_90_90;0.579;0.527;0.783;0.214;1.0;0.689;0.431;0.223;0.317;0.181;0.869;0.222;0.235;0.281;0.204;0.079;0.0;0.189
ENST00000535669_90_90;0.453;0.387;0.897;0.397;0.689;1.0;0.367;0.418;0.512;0.146;0.778;0.249;0.263;0.372;0.24;0.065;0.134;0.276
ENST00000594743_90_90;0.297;0.316;0.361;0.027;0.431;0.367;1.0;0.015;0.061;0.0;0.439;0.251;0.264;0.263;0.24;0.227;0.0;0.274
ENST00000595660_90_90;0.146;0.085;0.412;0.536;0.223;0.418;0.015;1.0;0.669;0.23;0.225;0.087;0.091;0.099;0.057;0.0;0.285;0.095
ENST00000595725_90_90;0.201;0.132;0.504;0.623;0.317;0.512;0.061;0.669;1.0;0.277;0.321;0.104;0.111;0.121;0.074;0.0;0.221;0.116
ENST00000597602_90_90;0.098;0.037;0.144;0.19;0.181;0.146;0.0;0.23;0.277;1.0;0.185;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000598095_90_90;0.506;0.456;0.689;0.216;0.869;0.778;0.439;0.225;0.321;0.185;1.0;0.174;0.183;0.287;0.21;0.082;0.0;0.194
ENSMUST00000033063_90_90;0.316;0.334;0.298;0.084;0.222;0.249;0.251;0.087;0.104;0.0;0.174;1.0;0.935;0.593;0.763;0.259;0.112;0.865
ENSMUST00000098461_90_90;0.332;0.351;0.314;0.088;0.235;0.263;0.264;0.091;0.111;0.0;0.183;0.935;1.0;0.63;0.728;0.276;0.12;0.924
ENSMUST00000209779_90_90;0.383;0.407;0.364;0.095;0.281;0.372;0.263;0.099;0.121;0.0;0.287;0.593;0.63;1.0;0.647;0.067;0.133;0.661
ENSMUST00000210078_90_90;0.314;0.334;0.235;0.054;0.204;0.24;0.24;0.057;0.074;0.0;0.21;0.763;0.728;0.647;1.0;0.168;0.076;0.758
ENSMUST00000210226_90_90;0.057;0.061;0.063;0.0;0.079;0.065;0.227;0.0;0.0;0.0;0.082;0.259;0.276;0.067;0.168;1.0;0.0;0.309
ENSMUST00000210372_90_90;0.0;0.0;0.131;0.194;0.0;0.134;0.0;0.285;0.221;0.0;0.0;0.112;0.12;0.133;0.076;0.0;1.0;0.127
ENSMUST00000211373_90_90;0.289;0.306;0.269;0.092;0.189;0.276;0.274;0.095;0.116;0.0;0.194;0.865;0.924;0.661;0.758;0.309;0.127;1.0
