;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;1.0;0.788;0.78;0.119;0.119;0.119;1.0;0.9;0.392;0.205;0.713
ENST00000297737_90_90;1.0;1.0;0.788;0.78;0.112;0.108;0.112;1.0;0.9;0.392;0.207;0.713
ENST00000315769_90_90;0.788;0.788;1.0;0.569;0.148;0.14;0.148;0.788;0.689;0.515;0.272;0.502
ENST00000519406_90_90;0.78;0.78;0.569;1.0;0.139;0.134;0.139;0.78;0.859;0.513;0.268;0.493
ENST00000522623_90_90;0.119;0.112;0.148;0.139;1.0;0.4;1.0;0.119;0.131;0.301;0.545;0.0
ENST00000523188_90_90;0.119;0.108;0.14;0.134;0.4;1.0;0.4;0.119;0.131;0.301;0.545;0.0
ENST00000523542_90_90;0.119;0.112;0.148;0.139;1.0;0.4;1.0;0.119;0.131;0.301;0.545;0.0
ENSMUST00000042352_90_90;1.0;1.0;0.788;0.78;0.119;0.119;0.119;1.0;0.9;0.392;0.195;0.713
ENSMUST00000123412_90_90;0.9;0.9;0.689;0.859;0.131;0.131;0.131;0.9;1.0;0.436;0.213;0.613
ENSMUST00000131410_90_90;0.392;0.392;0.515;0.513;0.301;0.301;0.301;0.392;0.436;1.0;0.445;0.105
ENSMUST00000135747_90_90;0.205;0.207;0.272;0.268;0.545;0.545;0.545;0.195;0.213;0.445;1.0;0.0
ENSMUST00000207301_90_90;0.713;0.713;0.502;0.493;0.0;0.0;0.0;0.713;0.613;0.105;0.0;1.0
