;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.964;0.964;0.784;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;1.0;1.0;1.0;1.0;0.374;0.374;0.371;1.0;1.0;0.964;0.964;0.784;0.371;0.374;0.374;0.393;1.0;0.389;0.371
transcript55_ENSMUSG00000054036;1.0;1.0;1.0;0.976;0.517;0.517;0.517;0.884;1.0;0.976;0.98;0.885;0.517;0.517;0.517;0.536;0.95;0.536;0.517
transcript42_ENSRNOG00000031503;1.0;1.0;0.976;1.0;0.421;0.421;0.419;0.92;0.969;0.969;0.969;0.883;0.419;0.421;0.523;0.541;0.841;0.539;0.419
transcript54_ENSMUGG00000013592;1.0;0.374;0.517;0.421;1.0;0.811;0.799;0.373;0.994;0.499;0.538;0.486;0.855;0.867;0.789;0.78;0.164;0.806;0.827
transcript53_ENSMUGG00000013592;1.0;0.374;0.517;0.421;0.811;1.0;0.878;0.373;0.994;0.499;0.538;0.486;0.93;0.943;0.865;0.856;0.15;0.885;0.904
transcript48_ENSMUGG00000013649;1.0;0.371;0.517;0.419;0.799;0.878;1.0;0.369;1.0;0.499;0.54;0.489;0.906;0.937;0.856;0.846;0.155;0.899;0.975
transcript8_ENSRNOG00000031503;1.0;1.0;0.884;0.92;0.373;0.373;0.369;1.0;0.969;0.969;0.889;0.795;0.369;0.373;0.467;0.484;0.868;0.479;0.369
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;0.969;0.994;0.994;1.0;0.969;1.0;1.0;1.0;0.901;1.0;0.994;0.994;0.994;0.86;1.0;1.0
transcript8_ENSMUSG00000054036;0.964;0.964;0.976;0.969;0.499;0.499;0.499;0.969;1.0;1.0;1.0;0.901;0.499;0.499;0.499;0.519;0.833;0.518;0.499
transcript42_ENSMUSG00000054036;0.964;0.964;0.98;0.969;0.538;0.538;0.54;0.889;1.0;1.0;1.0;0.917;0.54;0.538;0.538;0.556;0.808;0.559;0.54
transcript54_ENSMUSG00000054036;0.784;0.784;0.885;0.883;0.486;0.486;0.489;0.795;0.901;0.901;0.917;1.0;0.489;0.486;0.486;0.503;0.651;0.506;0.489
transcript25_ENSPEMG00000024651;1.0;0.371;0.517;0.419;0.855;0.93;0.906;0.369;1.0;0.499;0.54;0.489;1.0;0.985;0.909;0.899;0.129;0.91;0.93
transcript28_ENSMUGG00000013592;1.0;0.374;0.517;0.421;0.867;0.943;0.937;0.373;0.994;0.499;0.538;0.486;0.985;1.0;0.922;0.913;0.142;0.944;0.961
transcript52_ENSMUGG00000013592;1.0;0.374;0.517;0.523;0.789;0.865;0.856;0.467;0.994;0.499;0.538;0.486;0.909;0.922;1.0;0.99;0.154;0.983;0.882
transcript7_ENSMUGG00000013592;1.0;0.393;0.536;0.541;0.78;0.856;0.846;0.484;0.994;0.519;0.556;0.503;0.899;0.913;0.99;1.0;0.155;0.988;0.873
transcript47_ENSMUGG00000013649;1.0;1.0;0.95;0.841;0.164;0.15;0.155;0.868;0.86;0.833;0.808;0.651;0.129;0.142;0.154;0.155;1.0;0.154;0.148
transcript7_ENSMUGG00000013649;1.0;0.389;0.536;0.539;0.806;0.885;0.899;0.479;1.0;0.518;0.559;0.506;0.91;0.944;0.983;0.988;0.154;1.0;0.926
transcript44_ENSMUGG00000013649;1.0;0.371;0.517;0.419;0.827;0.904;0.975;0.369;1.0;0.499;0.54;0.489;0.93;0.961;0.882;0.873;0.148;0.926;1.0
