;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.533;0.795;0.357;0.533;0.181;0.306;0.795;0.327;0.533;0.795;0.887;0.883
ENST00000338183_90_90;0.533;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.533;0.506
ENST00000437989_90_90;0.795;0.669;1.0;0.396;0.669;0.218;0.306;1.0;0.405;0.669;0.934;0.795;0.758
ENST00000562489_90_90;0.357;0.572;0.396;1.0;0.572;0.331;0.0;0.396;0.219;0.572;0.371;0.357;0.336
ENST00000562877_90_90;0.533;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.533;0.506
ENST00000563167_90_90;0.181;0.257;0.218;0.331;0.257;1.0;0.059;0.218;0.0;0.257;0.202;0.149;0.14
ENST00000564586_90_90;0.306;0.119;0.306;0.0;0.119;0.059;1.0;0.306;0.167;0.119;0.288;0.306;0.288
ENST00000566621_90_90;0.795;0.669;1.0;0.396;0.669;0.218;0.306;1.0;0.405;0.669;0.934;0.795;0.758
ENST00000566807_90_90;0.327;0.607;0.405;0.219;0.607;0.0;0.167;0.405;1.0;0.607;0.38;0.364;0.344
ENST00000567389_90_90;0.533;1.0;0.669;0.572;1.0;0.257;0.119;0.669;0.607;1.0;0.625;0.533;0.506
ENST00000569302_90_90;0.795;0.625;0.934;0.371;0.625;0.202;0.288;0.934;0.38;0.625;1.0;0.758;0.814
ENSMUST00000110918_90_90;0.887;0.533;0.795;0.357;0.533;0.149;0.306;0.795;0.364;0.533;0.758;1.0;0.934
ENSMUST00000166472_90_90;0.883;0.506;0.758;0.336;0.506;0.14;0.288;0.758;0.344;0.506;0.814;0.934;1.0
