;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;0.786;0.714;0.5;0.0;0.214;0.0;0.882;0.765;0.471;0.471;0.471
ENST00000297737_90_90;0.786;1.0;0.917;0.667;0.077;0.059;0.077;0.786;0.643;0.286;0.125;0.727
ENST00000315769_90_90;0.714;0.917;1.0;0.583;0.083;0.062;0.083;0.714;0.571;0.308;0.133;0.636
ENST00000519406_90_90;0.5;0.667;0.583;1.0;0.111;0.077;0.111;0.5;0.583;0.4;0.167;0.364
ENST00000522623_90_90;0.0;0.077;0.083;0.111;1.0;0.143;1.0;0.0;0.0;0.0;0.0;0.0
ENST00000523188_90_90;0.214;0.059;0.062;0.077;0.143;1.0;0.143;0.188;0.214;0.333;0.714;0.0
ENST00000523542_90_90;0.0;0.077;0.083;0.111;1.0;0.143;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000042352_90_90;0.882;0.786;0.714;0.5;0.0;0.188;0.0;1.0;0.882;0.588;0.381;0.471
ENSMUST00000123412_90_90;0.765;0.643;0.571;0.583;0.0;0.214;0.0;0.882;1.0;0.667;0.421;0.353
ENSMUST00000131410_90_90;0.471;0.286;0.308;0.4;0.0;0.333;0.0;0.588;0.667;1.0;0.571;0.059
ENSMUST00000135747_90_90;0.471;0.125;0.133;0.167;0.0;0.714;0.0;0.381;0.421;0.571;1.0;0.0
ENSMUST00000207301_90_90;0.471;0.727;0.636;0.364;0.0;0.0;0.0;0.471;0.353;0.059;0.0;1.0
