;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.445;0.439;0.534;0.53;0.534;0.52;0.375;0.445;0.375;0.448;0.268;0.263;0.271;0.27;0.302;0.302;0.309;0.329;0.327;0.336;0.302;0.247;0.278;0.284;0.222;0.254;0.254;0.288;0.288
transcript7_ENSMUSG00000054036;1.0;1.0;0.445;0.439;0.534;0.53;0.534;0.52;0.375;0.445;0.375;0.448;0.268;0.263;0.271;0.27;0.302;0.302;0.309;0.329;0.327;0.336;0.302;0.247;0.278;0.284;0.222;0.254;0.254;0.288;0.288
transcript26_ENSMSIG00000000513;0.445;0.445;1.0;0.991;0.49;0.488;0.49;0.482;0.748;1.0;0.748;0.993;0.379;0.374;0.382;0.352;0.27;0.269;0.275;0.214;0.21;0.219;0.27;0.362;0.64;0.644;0.484;0.368;0.368;0.648;0.648
transcript26_MGP-PahariEiJ-G0020237;0.439;0.439;0.991;1.0;0.485;0.483;0.485;0.476;0.743;0.991;0.743;0.985;0.375;0.371;0.378;0.348;0.266;0.265;0.271;0.21;0.206;0.215;0.266;0.358;0.634;0.639;0.48;0.365;0.365;0.643;0.643
transcript41_ENSMSIG00000000513;0.534;0.534;0.49;0.485;1.0;0.996;1.0;0.982;0.655;0.49;0.655;0.493;0.449;0.443;0.454;0.411;0.297;0.297;0.304;0.323;0.321;0.33;0.297;0.43;0.316;0.314;0.375;0.435;0.435;0.318;0.318
transcript41_MGP-SPRETEiJ-G0021131;0.53;0.53;0.488;0.483;0.996;1.0;0.996;0.978;0.652;0.488;0.652;0.491;0.45;0.441;0.452;0.409;0.295;0.295;0.302;0.32;0.318;0.328;0.295;0.428;0.314;0.312;0.373;0.433;0.433;0.316;0.316
transcript43_ENSMSIG00000000513;0.534;0.534;0.49;0.485;1.0;0.996;1.0;0.982;0.655;0.49;0.655;0.493;0.449;0.443;0.454;0.411;0.297;0.297;0.304;0.323;0.321;0.33;0.297;0.43;0.316;0.314;0.375;0.435;0.435;0.318;0.318
transcript43_MGP-CAROLIEiJ-G0020234;0.52;0.52;0.482;0.476;0.982;0.978;0.982;1.0;0.643;0.482;0.643;0.485;0.441;0.447;0.446;0.414;0.3;0.289;0.296;0.325;0.312;0.321;0.3;0.428;0.31;0.308;0.368;0.427;0.427;0.312;0.312
transcript46_ENSMSIG00000000513;0.375;0.375;0.748;0.743;0.655;0.652;0.655;0.643;1.0;0.748;1.0;0.742;0.454;0.449;0.458;0.422;0.324;0.324;0.329;0.256;0.253;0.262;0.324;0.439;0.49;0.481;0.582;0.443;0.443;0.485;0.485
transcript47_ENSMSIG00000000513;0.445;0.445;1.0;0.991;0.49;0.488;0.49;0.482;0.748;1.0;0.748;0.993;0.379;0.374;0.382;0.352;0.27;0.269;0.275;0.214;0.21;0.219;0.27;0.362;0.64;0.644;0.484;0.368;0.368;0.648;0.648
transcript48_ENSMSIG00000000513;0.375;0.375;0.748;0.743;0.655;0.652;0.655;0.643;1.0;0.748;1.0;0.742;0.454;0.449;0.458;0.422;0.324;0.324;0.329;0.256;0.253;0.262;0.324;0.439;0.49;0.481;0.582;0.443;0.443;0.485;0.485
transcript49_ENSMSIG00000000513;0.448;0.448;0.993;0.985;0.493;0.491;0.493;0.485;0.742;0.993;0.742;1.0;0.374;0.37;0.378;0.347;0.265;0.264;0.27;0.215;0.211;0.22;0.265;0.357;0.636;0.64;0.48;0.364;0.364;0.644;0.644
transcript22_MGP-SPRETEiJ-G0021131;0.268;0.268;0.379;0.375;0.449;0.45;0.449;0.441;0.454;0.379;0.454;0.374;1.0;0.982;0.984;0.95;0.837;0.785;0.849;0.759;0.716;0.771;0.837;0.873;0.672;0.699;0.795;0.918;0.918;0.703;0.703
transcript22_MGP-CAROLIEiJ-G0020234;0.263;0.263;0.374;0.371;0.443;0.441;0.443;0.447;0.449;0.374;0.449;0.37;0.982;1.0;0.978;0.968;0.853;0.779;0.843;0.775;0.71;0.765;0.853;0.874;0.668;0.695;0.79;0.912;0.912;0.699;0.699
transcript36_ENSMUSG00000054036;0.271;0.271;0.382;0.378;0.454;0.452;0.454;0.446;0.458;0.382;0.458;0.378;0.984;0.978;1.0;0.946;0.833;0.796;0.845;0.755;0.712;0.767;0.833;0.884;0.67;0.696;0.791;0.914;0.914;0.7;0.7
transcript8_MGP-CAROLIEiJ-G0020234;0.27;0.27;0.352;0.348;0.411;0.409;0.411;0.414;0.422;0.352;0.422;0.347;0.95;0.968;0.946;1.0;0.881;0.805;0.871;0.8;0.733;0.791;0.881;0.842;0.645;0.672;0.763;0.881;0.881;0.677;0.677
