;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.362;0.305;0.298;0.268;0.07;0.346;0.0;0.003;0.303;0.792;0.858;0.792;0.792;0.606;0.791;0.858;0.858;0.359;0.295;0.356;0.298
ENSCAFT00000024036_90_90;0.362;1.0;0.659;0.865;0.835;0.442;0.484;0.194;0.228;0.655;0.353;0.392;0.353;0.353;0.393;0.355;0.392;0.392;0.795;0.859;0.79;0.865
ENST00000304523_90_90;0.305;0.659;1.0;0.73;0.763;0.441;0.787;0.194;0.227;0.995;0.295;0.333;0.295;0.295;0.365;0.291;0.333;0.333;0.661;0.725;0.657;0.73
ENST00000441778_90_90;0.298;0.865;0.73;1.0;0.856;0.496;0.535;0.216;0.255;0.725;0.281;0.322;0.281;0.281;0.313;0.282;0.322;0.322;0.73;0.994;0.725;1.0
ENST00000502640_90_90;0.268;0.835;0.763;0.856;1.0;0.525;0.56;0.227;0.268;0.758;0.248;0.289;0.248;0.248;0.276;0.249;0.289;0.289;0.836;0.85;0.831;0.856
ENST00000506732_90_90;0.07;0.442;0.441;0.496;0.525;1.0;0.316;0.247;0.314;0.443;0.025;0.072;0.025;0.025;0.028;0.025;0.072;0.072;0.441;0.499;0.443;0.496
ENST00000507464_90_90;0.346;0.484;0.787;0.535;0.56;0.316;1.0;0.0;0.027;0.782;0.339;0.383;0.339;0.339;0.429;0.335;0.383;0.383;0.485;0.53;0.48;0.535
ENST00000508918_90_90;0.0;0.194;0.194;0.216;0.227;0.247;0.0;1.0;0.569;0.195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.194;0.217;0.195;0.216
ENST00000512345_90_90;0.003;0.228;0.227;0.255;0.268;0.314;0.027;0.569;1.0;0.228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.227;0.256;0.228;0.255
ENST00000515064_90_90;0.303;0.655;0.995;0.725;0.758;0.443;0.782;0.195;0.228;1.0;0.292;0.331;0.292;0.292;0.362;0.289;0.331;0.331;0.657;0.728;0.66;0.725
ENST00000361198_90_90;0.792;0.353;0.295;0.281;0.248;0.025;0.339;0.0;0.0;0.292;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.349;0.278;0.347;0.281
ENST00000425280_90_90;0.858;0.392;0.333;0.322;0.289;0.072;0.383;0.0;0.0;0.331;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.388;0.319;0.386;0.322
ENSMUST00000026252_90_90;0.792;0.353;0.295;0.281;0.248;0.025;0.339;0.0;0.0;0.292;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.349;0.278;0.347;0.281
ENSMUST00000056931_90_90;0.792;0.353;0.295;0.281;0.248;0.025;0.339;0.0;0.0;0.292;1.0;0.912;1.0;1.0;0.757;0.995;0.912;0.912;0.349;0.278;0.347;0.281
ENSMUST00000137771_90_90;0.606;0.393;0.365;0.313;0.276;0.028;0.429;0.0;0.0;0.362;0.757;0.694;0.757;0.757;1.0;0.752;0.694;0.694;0.389;0.31;0.386;0.313
ENSMUST00000152946_90_90;0.791;0.355;0.291;0.282;0.249;0.025;0.335;0.0;0.0;0.289;0.995;0.908;0.995;0.995;0.752;1.0;0.908;0.908;0.351;0.279;0.348;0.282
ENSMUST00000156585_90_90;0.858;0.392;0.333;0.322;0.289;0.072;0.383;0.0;0.0;0.331;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.388;0.319;0.386;0.322
ENSMUST00000185355_90_90;0.858;0.392;0.333;0.322;0.289;0.072;0.383;0.0;0.0;0.331;0.912;1.0;0.912;0.912;0.694;0.908;1.0;1.0;0.388;0.319;0.386;0.322
ENSMUST00000070748_90_90;0.359;0.795;0.661;0.73;0.836;0.441;0.485;0.194;0.227;0.657;0.349;0.388;0.349;0.349;0.389;0.351;0.388;0.388;1.0;0.725;0.995;0.73
ENSMUST00000199256_90_90;0.295;0.859;0.725;0.994;0.85;0.499;0.53;0.217;0.256;0.728;0.278;0.319;0.278;0.278;0.31;0.279;0.319;0.319;0.725;1.0;0.728;0.994
ENSMUST00000199261_90_90;0.356;0.79;0.657;0.725;0.831;0.443;0.48;0.195;0.228;0.66;0.347;0.386;0.347;0.347;0.386;0.348;0.386;0.386;0.995;0.728;1.0;0.725
ENSMUST00000199534_90_90;0.298;0.865;0.73;1.0;0.856;0.496;0.535;0.216;0.255;0.725;0.281;0.322;0.281;0.281;0.313;0.282;0.322;0.322;0.73;0.994;0.725;1.0
