;transcript7_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.844;1.0;0.844;0.149;0.147;0.149;0.151;0.151;0.089;0.125;0.125;0.134;0.125;0.129;0.125;0.147
transcript57_MGP-CAROLIEiJ-G0020234;0.844;1.0;0.844;1.0;0.126;0.124;0.126;0.127;0.127;0.065;0.102;0.102;0.109;0.102;0.105;0.102;0.124
transcript58_MGP-CAROLIEiJ-G0020234;1.0;0.844;1.0;0.844;0.149;0.147;0.149;0.151;0.151;0.089;0.125;0.125;0.134;0.125;0.129;0.125;0.147
transcript59_MGP-CAROLIEiJ-G0020234;0.844;1.0;0.844;1.0;0.126;0.124;0.126;0.127;0.127;0.065;0.102;0.102;0.109;0.102;0.105;0.102;0.124
transcript7_ENSMUGG00000013649;0.149;0.126;0.149;0.126;1.0;0.986;1.0;0.975;0.975;0.913;0.963;0.963;0.891;0.963;0.929;0.963;0.986
transcript28_ENSMUGG00000013649;0.147;0.124;0.147;0.124;0.986;1.0;0.986;0.961;0.961;0.9;0.978;0.978;0.906;0.978;0.943;0.978;1.0
transcript42_ENSMUGG00000013649;0.149;0.126;0.149;0.126;1.0;0.986;1.0;0.975;0.975;0.913;0.963;0.963;0.891;0.963;0.929;0.963;0.986
transcript7_ENSMUGG00000013592;0.151;0.127;0.151;0.127;0.975;0.961;0.975;1.0;1.0;0.937;0.939;0.939;0.87;0.939;0.904;0.939;0.961
transcript42_ENSMUGG00000013592;0.151;0.127;0.151;0.127;0.975;0.961;0.975;1.0;1.0;0.937;0.939;0.939;0.87;0.939;0.904;0.939;0.961
transcript52_ENSMUGG00000013592;0.089;0.065;0.089;0.065;0.913;0.9;0.913;0.937;0.937;1.0;0.878;0.878;0.809;0.878;0.843;0.878;0.9
transcript7_ENSCGRG00015005362;0.125;0.102;0.125;0.102;0.963;0.978;0.963;0.939;0.939;0.878;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript52_ENSCGRG00015005362;0.125;0.102;0.125;0.102;0.963;0.978;0.963;0.939;0.939;0.878;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript53_ENSCGRG00015005362;0.134;0.109;0.134;0.109;0.891;0.906;0.891;0.87;0.87;0.809;0.927;0.927;1.0;0.927;0.892;0.927;0.906
transcript54_ENSCGRG00015005362;0.125;0.102;0.125;0.102;0.963;0.978;0.963;0.939;0.939;0.878;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript55_ENSCGRG00015005362;0.129;0.105;0.129;0.105;0.929;0.943;0.929;0.904;0.904;0.843;0.965;0.965;0.892;0.965;1.0;0.965;0.943
transcript7_ENSCGRG00000018457;0.125;0.102;0.125;0.102;0.963;0.978;0.963;0.939;0.939;0.878;1.0;1.0;0.927;1.0;0.965;1.0;0.978
transcript7_ENSPEMG00000024651;0.147;0.124;0.147;0.124;0.986;1.0;0.986;0.961;0.961;0.9;0.978;0.978;0.906;0.978;0.943;0.978;1.0
