;ENSCAFT00000015434_90_90;ENST00000306107_90_90;ENST00000465413_90_90;ENST00000472644_90_90;ENST00000486979_90_90;ENSMUST00000023312_90_90;ENSMUST00000164728_90_90;ENSMUST00000167115_90_90;ENSMUST00000168071_90_90;ENSMUST00000170035_90_90
ENSCAFT00000015434_90_90;1.0;1.0;0.588;0.978;0.913;0.993;0.945;0.582;0.224;0.971
ENST00000306107_90_90;1.0;1.0;0.588;0.978;0.913;0.993;0.945;0.582;0.224;0.971
ENST00000465413_90_90;0.588;0.588;1.0;0.566;0.644;0.583;0.536;0.985;0.0;0.561
ENST00000472644_90_90;0.978;0.978;0.566;1.0;0.89;0.971;0.923;0.56;0.229;0.993
ENST00000486979_90_90;0.913;0.913;0.644;0.89;1.0;0.906;0.858;0.638;0.137;0.884
ENSMUST00000023312_90_90;0.993;0.993;0.583;0.971;0.906;1.0;0.951;0.587;0.225;0.978
ENSMUST00000164728_90_90;0.945;0.945;0.536;0.923;0.858;0.951;1.0;0.538;0.236;0.929
ENSMUST00000167115_90_90;0.582;0.582;0.985;0.56;0.638;0.587;0.538;1.0;0.0;0.564
ENSMUST00000168071_90_90;0.224;0.224;0.0;0.229;0.137;0.225;0.236;0.0;1.0;0.23
ENSMUST00000170035_90_90;0.971;0.971;0.561;0.993;0.884;0.978;0.929;0.564;0.23;1.0
