;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.888;0.77;0.284;0.081;0.105;0.329;0.93;0.385;0.184;0.781
ENST00000260643_90_90;0.888;1.0;0.831;0.327;0.084;0.135;0.366;0.951;0.363;0.189;0.799
ENST00000406567_90_90;0.77;0.831;1.0;0.157;0.033;0.164;0.245;0.831;0.237;0.226;0.675
ENST00000430533_90_90;0.284;0.327;0.157;1.0;0.208;0.0;0.499;0.292;0.369;0.097;0.344
ENST00000441451_90_90;0.081;0.084;0.033;0.208;1.0;0.0;0.161;0.084;0.09;0.0;0.098
ENST00000444452_90_90;0.105;0.135;0.164;0.0;0.0;1.0;0.0;0.135;0.0;0.0;0.159
ENST00000456259_90_90;0.329;0.366;0.245;0.499;0.161;0.0;1.0;0.336;0.309;0.075;0.221
ENSMUST00000074840_90_90;0.93;0.951;0.831;0.292;0.084;0.135;0.336;1.0;0.394;0.189;0.845
ENSMUST00000201002_90_90;0.385;0.363;0.237;0.369;0.09;0.0;0.309;0.394;1.0;0.134;0.399
ENSMUST00000201821_90_90;0.184;0.189;0.226;0.097;0.0;0.0;0.075;0.189;0.134;1.0;0.223
ENSMUST00000202567_90_90;0.781;0.799;0.675;0.344;0.098;0.159;0.221;0.845;0.399;0.223;1.0
