;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;1.0;0.524;0.1;0.8;0.9;0.35;0.7;0.211;0.15;0.8;0.9;0.053;0.105
ENST00000554308_90_90;0.524;1.0;0.231;0.667;0.6;0.4;0.4;0.214;0.308;0.667;0.6;0.077;0.0
ENST00000554511_90_90;0.1;0.231;1.0;0.176;0.158;0.222;0.125;0.0;0.75;0.176;0.158;0.0;0.0
ENST00000554684_90_90;0.8;0.667;0.176;1.0;0.895;0.316;0.684;0.167;0.235;1.0;0.895;0.059;0.118
ENST00000554943_90_90;0.9;0.6;0.158;0.895;1.0;0.421;0.789;0.211;0.211;0.895;1.0;0.053;0.105
ENST00000555029_90_90;0.35;0.4;0.222;0.316;0.421;1.0;0.533;0.333;0.2;0.316;0.421;0.0;0.0
ENST00000555462_90_90;0.7;0.4;0.125;0.684;0.789;0.533;1.0;0.188;0.118;0.684;0.789;0.067;0.133
ENST00000555470_90_90;0.211;0.214;0.0;0.167;0.211;0.333;0.188;1.0;0.0;0.167;0.211;0.0;0.0
ENST00000557018_90_90;0.15;0.308;0.75;0.235;0.211;0.2;0.118;0.0;1.0;0.235;0.211;0.0;0.0
ENSMUST00000048305_90_90;0.8;0.667;0.176;1.0;0.895;0.316;0.684;0.167;0.235;1.0;0.895;0.059;0.118
ENSMUST00000163095_90_90;0.9;0.6;0.158;0.895;1.0;0.421;0.789;0.211;0.211;0.895;1.0;0.053;0.105
ENSMUST00000223091_90_90;0.053;0.077;0.0;0.059;0.053;0.0;0.067;0.0;0.0;0.059;0.053;1.0;0.0
ENSMUST00000223459_90_90;0.105;0.0;0.0;0.118;0.105;0.0;0.133;0.0;0.0;0.118;0.105;0.0;1.0
