;transcript18_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript7_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript9_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript7_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript12_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript9_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript18_ENSAOCG00000015695;1.0;0.812;0.773;0.778;0.825;0.216;0.897;0.282;0.161;0.97;0.969;0.905;0.15;0.839;0.839;0.652;0.828;0.756;0.752;0.709;0.7;0.96;0.916;0.809;0.471
transcript28_ENSAOCG00000015695;0.812;1.0;0.708;0.708;0.758;0.251;0.834;0.298;0.193;0.857;0.857;0.899;0.176;0.825;0.825;0.584;1.0;0.749;0.707;0.618;0.709;0.899;0.812;0.865;0.51
transcript21_ENSAPOG00000016134;0.773;0.708;1.0;1.0;0.766;0.027;0.787;0.12;0.027;0.78;0.78;0.818;0.026;0.738;0.738;0.599;0.699;0.753;0.749;0.651;0.68;0.818;0.731;0.398;0.17
transcript21_ENSPNYG00000024266;0.778;0.708;1.0;1.0;0.75;0.027;0.786;0.117;0.026;0.795;0.795;0.819;0.026;0.738;0.738;0.587;0.699;0.738;0.734;0.633;0.663;0.819;0.731;0.383;0.169
transcript23_ENSPNYG00000024266;0.825;0.758;0.766;0.75;1.0;0.256;0.837;0.236;0.215;0.841;0.841;0.866;0.191;0.932;0.932;0.788;0.749;0.95;1.0;0.87;0.903;0.866;0.815;0.668;0.679
transcript7_ENSPNYG00000024266;0.216;0.251;0.027;0.027;0.256;1.0;0.23;0.645;1.0;0.21;0.21;0.225;1.0;0.248;0.248;0.332;0.251;0.257;0.256;0.332;0.325;0.225;0.234;0.645;1.0
transcript22_ENSPNYG00000024266;0.897;0.834;0.787;0.786;0.837;0.23;1.0;0.317;0.185;0.912;0.912;0.938;0.171;0.864;0.864;0.655;0.824;0.783;0.78;0.696;0.725;0.938;0.851;0.876;0.518
transcript9_ENSAPOG00000016134;0.282;0.298;0.12;0.117;0.236;0.645;0.317;1.0;0.607;0.276;0.276;0.287;0.634;0.214;0.214;0.27;0.298;0.228;0.229;0.264;0.256;0.287;0.305;1.0;0.607
transcript7_ENSAPOG00000023408;0.161;0.193;0.027;0.026;0.215;1.0;0.185;0.607;1.0;0.155;0.155;0.169;1.0;0.188;0.188;0.225;0.193;0.213;0.215;0.225;0.224;0.169;0.18;0.607;1.0
transcript14_ENSAPOG00000016134;0.97;0.857;0.78;0.795;0.841;0.21;0.912;0.276;0.155;1.0;1.0;0.954;0.15;0.885;0.885;0.659;0.825;0.755;0.752;0.672;0.699;0.976;0.89;0.793;0.46
transcript14_ENSAPOG00000023408;0.969;0.857;0.78;0.795;0.841;0.21;0.912;0.276;0.155;1.0;1.0;0.954;0.15;0.885;0.885;0.659;0.825;0.755;0.752;0.672;0.699;0.976;0.89;0.793;0.46
transcript17_ENSAOCG00000015695;0.905;0.899;0.818;0.819;0.866;0.225;0.938;0.287;0.169;0.954;0.954;1.0;0.159;0.928;0.928;0.693;0.889;0.814;0.81;0.731;0.76;1.0;0.914;0.848;0.498
transcript7_ENSAOCG00000015695;0.15;0.176;0.026;0.026;0.191;1.0;0.171;0.634;1.0;0.15;0.15;0.159;1.0;0.171;0.171;0.231;0.176;0.19;0.191;0.231;0.228;0.159;0.168;0.634;1.0
transcript27_ENSAOCG00000015695;0.839;0.825;0.738;0.738;0.932;0.248;0.864;0.214;0.188;0.885;0.885;0.928;0.171;1.0;1.0;0.748;0.817;0.887;0.883;0.803;0.835;0.928;0.842;0.637;0.643
transcript26_ENSAOCG00000015695;0.839;0.825;0.738;0.738;0.932;0.248;0.864;0.214;0.188;0.885;0.885;0.928;0.171;1.0;1.0;0.748;0.817;0.887;0.883;0.803;0.835;0.928;0.842;0.637;0.643
transcript29_ENSAOCG00000015695;0.652;0.584;0.599;0.587;0.788;0.332;0.655;0.27;0.225;0.659;0.659;0.693;0.231;0.748;0.748;1.0;0.577;0.789;0.784;1.0;0.869;0.693;0.716;0.665;0.682
transcript28_ENSAPOG00000023408;0.828;1.0;0.699;0.699;0.749;0.251;0.824;0.298;0.193;0.825;0.825;0.889;0.176;0.817;0.817;0.577;1.0;0.74;0.7;0.61;0.703;0.889;0.803;0.865;0.51
transcript30_ENSAPOG00000023408;0.756;0.749;0.753;0.738;0.95;0.257;0.783;0.228;0.213;0.755;0.755;0.814;0.19;0.887;0.887;0.789;0.74;1.0;0.945;0.87;0.903;0.814;0.728;0.644;0.674
transcript23_ENSAPOG00000023408;0.752;0.707;0.749;0.734;1.0;0.256;0.78;0.229;0.215;0.752;0.752;0.81;0.191;0.883;0.883;0.784;0.7;0.945;1.0;0.863;0.897;0.81;0.763;0.647;0.679
transcript29_ENSAPOG00000023408;0.709;0.618;0.651;0.633;0.87;0.332;0.696;0.264;0.225;0.672;0.672;0.731;0.231;0.803;0.803;1.0;0.61;0.87;0.863;1.0;0.868;0.731;0.756;0.649;0.682
transcript31_ENSAPOG00000023408;0.7;0.709;0.68;0.663;0.903;0.325;0.725;0.256;0.224;0.699;0.699;0.76;0.228;0.835;0.835;0.869;0.703;0.903;0.897;0.868;1.0;0.76;0.671;0.644;0.674
transcript12_ENSPNYG00000024266;0.96;0.899;0.818;0.819;0.866;0.225;0.938;0.287;0.169;0.976;0.976;1.0;0.159;0.928;0.928;0.693;0.889;0.814;0.81;0.731;0.76;1.0;0.914;0.848;0.498
transcript24_ENSPNYG00000024266;0.916;0.812;0.731;0.731;0.815;0.234;0.851;0.305;0.18;0.89;0.89;0.914;0.168;0.842;0.842;0.716;0.803;0.728;0.763;0.756;0.671;0.914;1.0;0.858;0.505
transcript9_ENSXMAG00000026005;0.809;0.865;0.398;0.383;0.668;0.645;0.876;1.0;0.607;0.793;0.793;0.848;0.634;0.637;0.637;0.665;0.865;0.644;0.647;0.649;0.644;0.848;0.858;1.0;0.607
transcript7_ENSXMAG00000026005;0.471;0.51;0.17;0.169;0.679;1.0;0.518;0.607;1.0;0.46;0.46;0.498;1.0;0.643;0.643;0.682;0.51;0.674;0.679;0.682;0.674;0.498;0.505;0.607;1.0
