;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENSCAFT00000007234_90_90;1.0;0.775;0.9;0.945;0.275;0.929;0.308;0.323;0.755;0.261;0.34;0.362;0.22;0.112;0.38;0.214;0.85;0.137;0.112;0.214;0.887;0.761;0.827;0.907;0.427;0.143;0.809;0.927;0.829
ENSCAFT00000044406_90_90;0.775;1.0;0.805;0.849;0.278;0.862;0.283;0.326;0.798;0.287;0.403;0.291;0.294;0.102;0.387;0.232;0.941;0.151;0.102;0.232;0.83;0.661;0.876;0.849;0.532;0.156;0.899;0.827;0.92
ENST00000356360_90_90;0.9;0.805;1.0;0.956;0.284;0.922;0.303;0.329;0.736;0.299;0.323;0.388;0.181;0.114;0.389;0.22;0.83;0.166;0.114;0.22;0.9;0.77;0.805;0.919;0.392;0.148;0.789;0.938;0.807
ENST00000393346_90_90;0.945;0.849;0.956;1.0;0.27;0.966;0.347;0.314;0.779;0.287;0.366;0.403;0.223;0.108;0.37;0.209;0.873;0.159;0.108;0.209;0.945;0.816;0.851;0.964;0.435;0.141;0.834;0.984;0.852
ENST00000525162_90_90;0.275;0.278;0.284;0.27;1.0;0.281;0.0;0.732;0.354;0.0;0.0;0.0;0.0;0.083;0.742;0.261;0.298;0.0;0.083;0.261;0.264;0.224;0.308;0.259;0.0;0.514;0.3;0.265;0.293
ENST00000526033_90_90;0.929;0.862;0.922;0.966;0.281;1.0;0.358;0.327;0.806;0.295;0.376;0.369;0.23;0.113;0.386;0.218;0.902;0.164;0.113;0.218;0.91;0.78;0.881;0.928;0.449;0.146;0.862;0.948;0.882
ENST00000526961_90_90;0.308;0.283;0.303;0.347;0.0;0.358;1.0;0.0;0.315;0.403;0.636;0.54;0.623;0.0;0.0;0.0;0.301;0.419;0.0;0.0;0.389;0.433;0.297;0.382;0.433;0.0;0.321;0.361;0.314
ENST00000528256_90_90;0.323;0.326;0.329;0.314;0.732;0.327;0.0;1.0;0.288;0.0;0.0;0.0;0.0;0.172;0.837;0.462;0.348;0.0;0.172;0.462;0.279;0.182;0.327;0.273;0.0;0.494;0.318;0.279;0.309
ENST00000528398_90_90;0.755;0.798;0.736;0.779;0.354;0.806;0.315;0.288;1.0;0.361;0.46;0.326;0.254;0.039;0.355;0.112;0.855;0.201;0.039;0.112;0.752;0.766;0.865;0.771;0.533;0.177;0.845;0.786;0.866
ENST00000529016_90_90;0.261;0.287;0.299;0.287;0.0;0.295;0.403;0.0;0.361;1.0;0.632;0.556;0.29;0.0;0.0;0.0;0.312;0.364;0.0;0.0;0.272;0.33;0.309;0.291;0.525;0.0;0.303;0.296;0.325
ENST00000529760_90_90;0.34;0.403;0.323;0.366;0.0;0.376;0.636;0.0;0.46;0.632;1.0;0.571;0.536;0.0;0.0;0.0;0.429;0.399;0.0;0.0;0.407;0.457;0.433;0.4;0.677;0.0;0.458;0.379;0.449
ENST00000530542_90_90;0.362;0.291;0.388;0.403;0.0;0.369;0.54;0.0;0.326;0.556;0.571;1.0;0.33;0.0;0.0;0.0;0.287;0.21;0.0;0.0;0.418;0.506;0.308;0.411;0.484;0.0;0.302;0.419;0.297
ENST00000530692_90_90;0.22;0.294;0.181;0.223;0.0;0.23;0.623;0.0;0.254;0.29;0.536;0.33;1.0;0.0;0.0;0.0;0.247;0.446;0.0;0.0;0.256;0.276;0.24;0.252;0.496;0.0;0.263;0.231;0.258
ENST00000531558_90_90;0.112;0.102;0.114;0.108;0.083;0.113;0.0;0.172;0.039;0.0;0.0;0.0;0.0;1.0;0.149;0.334;0.12;0.0;1.0;0.334;0.099;0.039;0.117;0.097;0.0;0.0;0.113;0.099;0.11
ENST00000531930_90_90;0.38;0.387;0.389;0.37;0.742;0.386;0.0;0.837;0.355;0.0;0.0;0.0;0.0;0.149;1.0;0.397;0.41;0.0;0.149;0.397;0.338;0.245;0.394;0.331;0.0;0.407;0.384;0.338;0.375
ENST00000532041_90_90;0.214;0.232;0.22;0.209;0.261;0.218;0.0;0.462;0.112;0.0;0.0;0.0;0.0;0.334;0.397;1.0;0.231;0.0;0.334;1.0;0.17;0.06;0.198;0.166;0.0;0.364;0.193;0.17;0.189
ENST00000532317_90_90;0.85;0.941;0.83;0.873;0.298;0.902;0.301;0.348;0.855;0.312;0.429;0.287;0.247;0.12;0.41;0.231;1.0;0.174;0.12;0.231;0.855;0.688;0.937;0.873;0.475;0.155;0.961;0.852;0.982
ENST00000532603_90_90;0.137;0.151;0.166;0.159;0.0;0.164;0.419;0.0;0.201;0.364;0.399;0.21;0.446;0.0;0.0;0.0;0.174;1.0;0.0;0.0;0.164;0.2;0.189;0.162;0.275;0.0;0.184;0.165;0.181
ENST00000534412_90_90;0.112;0.102;0.114;0.108;0.083;0.113;0.0;0.172;0.039;0.0;0.0;0.0;0.0;1.0;0.149;0.334;0.12;0.0;1.0;0.334;0.099;0.039;0.117;0.097;0.0;0.0;0.113;0.099;0.11
ENST00000630913_90_90;0.214;0.232;0.22;0.209;0.261;0.218;0.0;0.462;0.112;0.0;0.0;0.0;0.0;0.334;0.397;1.0;0.231;0.0;0.334;1.0;0.17;0.06;0.198;0.166;0.0;0.364;0.193;0.17;0.189
ENSMUST00000049537_90_90;0.887;0.83;0.9;0.945;0.264;0.91;0.389;0.279;0.752;0.272;0.407;0.418;0.256;0.099;0.338;0.17;0.855;0.164;0.099;0.17;1.0;0.78;0.87;0.982;0.402;0.151;0.891;0.962;0.875
ENSMUST00000207084_90_90;0.761;0.661;0.77;0.816;0.224;0.78;0.433;0.182;0.766;0.33;0.457;0.506;0.276;0.039;0.245;0.06;0.688;0.2;0.039;0.06;0.78;1.0;0.686;0.767;0.492;0.083;0.672;0.781;0.661
ENSMUST00000207225_90_90;0.827;0.876;0.805;0.851;0.308;0.881;0.297;0.327;0.865;0.309;0.433;0.308;0.24;0.117;0.394;0.198;0.937;0.189;0.117;0.198;0.87;0.686;1.0;0.856;0.453;0.174;0.977;0.873;0.957
ENSMUST00000207484_90_90;0.907;0.849;0.919;0.964;0.259;0.928;0.382;0.273;0.771;0.291;0.4;0.411;0.252;0.097;0.331;0.166;0.873;0.162;0.097;0.166;0.982;0.767;0.856;1.0;0.419;0.148;0.875;0.98;0.893
ENSMUST00000208089_90_90;0.427;0.532;0.392;0.435;0.0;0.449;0.433;0.0;0.533;0.525;0.677;0.484;0.496;0.0;0.0;0.0;0.475;0.275;0.0;0.0;0.402;0.492;0.453;0.419;1.0;0.0;0.444;0.426;0.463
ENSMUST00000208684_90_90;0.143;0.156;0.148;0.141;0.514;0.146;0.0;0.494;0.177;0.0;0.0;0.0;0.0;0.0;0.407;0.364;0.155;0.0;0.0;0.364;0.151;0.083;0.174;0.148;0.0;1.0;0.17;0.151;0.167
ENSMUST00000208730_90_90;0.809;0.899;0.789;0.834;0.3;0.862;0.321;0.318;0.845;0.303;0.458;0.302;0.263;0.113;0.384;0.193;0.961;0.184;0.113;0.193;0.891;0.672;0.977;0.875;0.444;0.17;1.0;0.856;0.98
ENSMUST00000208742_90_90;0.927;0.827;0.938;0.984;0.265;0.948;0.361;0.279;0.786;0.296;0.379;0.419;0.231;0.099;0.338;0.17;0.852;0.165;0.099;0.17;0.962;0.781;0.873;0.98;0.426;0.151;0.856;1.0;0.873
ENSMUST00000209068_90_90;0.829;0.92;0.807;0.852;0.293;0.882;0.314;0.309;0.866;0.325;0.449;0.297;0.258;0.11;0.375;0.189;0.982;0.181;0.11;0.189;0.875;0.661;0.957;0.893;0.463;0.167;0.98;0.873;1.0
