;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.252;0.838;0.054;0.025;0.954;0.215;0.537;0.909;0.117;0.523;0.09;0.873;0.812;0.774;0.774;0.95;0.226;0.851;0.774
ENST00000297447_90_90;0.252;1.0;0.18;0.075;0.0;0.209;0.873;0.0;0.22;0.0;0.177;0.317;0.185;0.294;0.246;0.246;0.239;0.873;0.206;0.246
ENST00000312046_90_90;0.838;0.18;1.0;0.172;0.104;0.724;0.186;0.509;0.756;0.112;0.558;0.091;0.78;0.833;0.871;0.871;0.78;0.229;0.885;0.871
ENST00000435082_90_90;0.054;0.075;0.172;1.0;0.39;0.026;0.082;0.0;0.028;0.0;0.0;0.0;0.029;0.046;0.048;0.048;0.036;0.112;0.069;0.048
ENST00000438229_90_90;0.025;0.0;0.104;0.39;1.0;0.021;0.0;0.03;0.022;0.089;0.0;0.0;0.023;0.0;0.0;0.0;0.028;0.0;0.06;0.0
ENST00000442977_90_90;0.954;0.209;0.724;0.026;0.021;1.0;0.177;0.484;0.901;0.106;0.528;0.087;0.869;0.796;0.756;0.756;0.994;0.201;0.734;0.756
ENST00000449762_90_90;0.215;0.873;0.186;0.082;0.0;0.177;1.0;0.0;0.185;0.0;0.186;0.359;0.192;0.246;0.26;0.26;0.201;1.0;0.214;0.26
ENST00000497705_90_90;0.537;0.0;0.509;0.0;0.03;0.484;0.0;1.0;0.508;0.169;0.362;0.0;0.525;0.514;0.537;0.537;0.502;0.0;0.58;0.537
ENST00000517566_90_90;0.909;0.22;0.756;0.028;0.022;0.901;0.185;0.508;1.0;0.112;0.556;0.089;0.964;0.836;0.791;0.791;0.941;0.21;0.765;0.791
ENST00000517686_90_90;0.117;0.0;0.112;0.0;0.089;0.106;0.0;0.169;0.112;1.0;0.0;0.0;0.116;0.08;0.083;0.083;0.127;0.0;0.17;0.083
ENST00000519415_90_90;0.523;0.177;0.558;0.0;0.0;0.528;0.186;0.362;0.556;0.0;1.0;0.15;0.577;0.61;0.643;0.643;0.493;0.218;0.525;0.643
ENST00000521592_90_90;0.09;0.317;0.091;0.0;0.0;0.087;0.359;0.0;0.089;0.0;0.15;1.0;0.092;0.112;0.118;0.118;0.094;0.359;0.099;0.118
ENST00000531443_90_90;0.873;0.185;0.78;0.029;0.023;0.869;0.192;0.525;0.964;0.116;0.577;0.092;1.0;0.791;0.827;0.827;0.9;0.219;0.795;0.827
ENSMUST00000022918_90_90;0.812;0.294;0.833;0.046;0.0;0.796;0.246;0.514;0.836;0.08;0.61;0.112;0.791;1.0;0.956;0.956;0.815;0.216;0.758;0.956
ENSMUST00000090095_90_90;0.774;0.246;0.871;0.048;0.0;0.756;0.26;0.537;0.791;0.083;0.643;0.118;0.827;0.956;1.0;1.0;0.779;0.226;0.785;1.0
ENSMUST00000090096_90_90;0.774;0.246;0.871;0.048;0.0;0.756;0.26;0.537;0.791;0.083;0.643;0.118;0.827;0.956;1.0;1.0;0.779;0.226;0.785;1.0
ENSMUST00000110297_90_90;0.95;0.239;0.78;0.036;0.028;0.994;0.201;0.502;0.941;0.127;0.493;0.094;0.9;0.815;0.779;0.779;1.0;0.18;0.714;0.779
ENSMUST00000166917_90_90;0.226;0.873;0.229;0.112;0.0;0.201;1.0;0.0;0.21;0.0;0.218;0.359;0.219;0.216;0.226;0.226;0.18;1.0;0.182;0.226
ENSMUST00000170127_90_90;0.851;0.206;0.885;0.069;0.06;0.734;0.214;0.58;0.765;0.17;0.525;0.099;0.795;0.758;0.785;0.785;0.714;0.182;1.0;0.785
ENSMUST00000179393_90_90;0.774;0.246;0.871;0.048;0.0;0.756;0.26;0.537;0.791;0.083;0.643;0.118;0.827;0.956;1.0;1.0;0.779;0.226;0.785;1.0
